strategy,weight,sym,dir,m,res,factor_id,p
bttp_aave_001,0.0095,AAVE,R,B,1h,bttp_aave,"[96, 124, 0.6]"
bttp_aave_002,0.0095,AAVE,R,B,1h,bttp_aave,"[8, 192, 2.0]"
bttp_aave_003,0.0095,AAVE,R,B,1h,bttp_aave,"[96, 124, 0.8]"
bttp_aave_004,0.0095,AAVE,R,B,1h,bttp_aave,"[84, 124, 0.8]"
bttp_aave_005,0.0095,AAVE,R,B,1h,bttp_aave,"[36, 124, 2.0]"
bttp_aave_006,0.0095,AAVE,R,B,1h,bttp_aave,"[12, 98, 1.2]"
bttp_aave_007,0.0095,AAVE,R,B,1h,bttp_aave,"[42, 155, 2.2]"
bttp_aave_008,0.0095,AAVE,R,B,1h,bttp_aave,"[42, 41, 1.8]"
bttp_aave_009,0.0095,AAVE,R,R,1h,bttp_aave,"[96, 124, 0.65]"
bttp_aave_010,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 155, 0.75]"
bttp_aave_011,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 124, 0.6]"
bttp_aave_012,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 155, 0.8]"
bttp_aave_013,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 124, 0.85]"
bttp_aave_014,0.0095,AAVE,R,R,1h,bttp_aave,"[72, 155, 0.6]"
bttp_aave_015,0.0095,AAVE,R,R,1h,bttp_aave,"[96, 98, 0.55]"
bttp_aave_016,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 155, 0.6]"
bttp_aave_017,0.0095,AAVE,R,R,1h,bttp_aave,"[84, 98, 0.8]"
bttp_bnb_001,0.0272,BNB,R,B,1h,bttp_bnb,"[60, 1075, 0.8]"
bttp_bnb_002,0.0272,BNB,R,B,1h,bttp_bnb,"[84, 1075, 1.0]"
bttp_bnb_003,0.0272,BNB,R,B,1h,bttp_bnb,"[48, 1292, 0.6]"
bttp_bnb_004,0.0272,BNB,R,B,1h,bttp_bnb,"[6, 1075, 0.8]"
bttp_bnb_005,0.0272,BNB,R,B,1h,bttp_bnb,"[60, 1075, 0.6]"
