t,ts,value
1735689600,2025-01-01 00:00:00,4.6561
1735693200,2025-01-01 01:00:00,4.6883
1735696800,2025-01-01 02:00:00,4.5991
1735700400,2025-01-01 03:00:00,4.5928
1735704000,2025-01-01 04:00:00,4.6275
1735707600,2025-01-01 05:00:00,4.596
1735711200,2025-01-01 06:00:00,4.4348
1735714800,2025-01-01 07:00:00,4.3163
1735718400,2025-01-01 08:00:00,4.4555
1735722000,2025-01-01 09:00:00,4.4645
1735725600,2025-01-01 10:00:00,4.531
1735729200,2025-01-01 11:00:00,4.4437
1735732800,2025-01-01 12:00:00,4.423
1735736400,2025-01-01 13:00:00,4.4289
1735740000,2025-01-01 14:00:00,4.3706
1735743600,2025-01-01 15:00:00,4.3333
1735747200,2025-01-01 16:00:00,4.4025
1735750800,2025-01-01 17:00:00,4.3163
1735754400,2025-01-01 18:00:00,4.3248
1735758000,2025-01-01 19:00:00,4.4555
1735761600,2025-01-01 20:00:00,4.4437
1735765200,2025-01-01 21:00:00,4.3763
1735768800,2025-01-01 22:00:00,4.3677
1735772400,2025-01-01 23:00:00,4.4259
1735776000,2025-01-02 00:00:00,4.3996
1735779600,2025-01-02 01:00:00,4.5066
1735783200,2025-01-02 02:00:00,4.4795
1735786800,2025-01-02 03:00:00,4.4765
1735790400,2025-01-02 04:00:00,4.5494
1735794000,2025-01-02 05:00:00,4.4496
1735797600,2025-01-02 06:00:00,4.5463
1735801200,2025-01-02 07:00:00,4.4825
1735804800,2025-01-02 08:00:00,4.4526
1735808400,2025-01-02 09:00:00,4.531
1735812000,2025-01-02 10:00:00,4.4466
1735815600,2025-01-02 11:00:00,4.4915
1735819200,2025-01-02 12:00:00,4.4615
1735822800,2025-01-02 13:00:00,4.4318
1735826400,2025-01-02 14:00:00,4.3763
1735830000,2025-01-02 15:00:00,4.4675
1735833600,2025-01-02 16:00:00,4.4555
1735837200,2025-01-02 17:00:00,4.5127
1735840800,2025-01-02 18:00:00,4.4915
1735844400,2025-01-02 19:00:00,4.4825
1735848000,2025-01-02 20:00:00,4.5096
1735851600,2025-01-02 21:00:00,4.6085
1735855200,2025-01-02 22:00:00,4.698
1735858800,2025-01-02 23:00:00,4.6786
1735862400,2025-01-03 00:00:00,4.8038
1735866000,2025-01-03 01:00:00,4.8824
1735869600,2025-01-03 02:00:00,4.8582
1735873200,2025-01-03 03:00:00,4.9666
1735876800,2025-01-03 04:00:00,4.9916
1735880400,2025-01-03 05:00:00,4.848
1735884000,2025-01-03 06:00:00,4.8343
1735887600,2025-01-03 07:00:00,4.8651
1735891200,2025-01-03 08:00:00,4.8173
1735894800,2025-01-03 09:00:00,4.8548
1735898400,2025-01-03 10:00:00,4.9382
1735902000,2025-01-03 11:00:00,4.9312
1735905600,2025-01-03 12:00:00,4.7904
1735909200,2025-01-03 13:00:00,4.9067
1735912800,2025-01-03 14:00:00,4.9382
1735916400,2025-01-03 15:00:00,4.9277
1735920000,2025-01-03 16:00:00,4.9595
1735923600,2025-01-03 17:00:00,4.8893
1735927200,2025-01-03 18:00:00,4.8445
1735930800,2025-01-03 19:00:00,4.7703
1735934400,2025-01-03 20:00:00,4.8275
1735938000,2025-01-03 21:00:00,4.814
1735941600,2025-01-03 22:00:00,4.7737
1735945200,2025-01-03 23:00:00,4.8241
1735948800,2025-01-04 00:00:00,4.8343
1735952400,2025-01-04 01:00:00,4.6275
1735956000,2025-01-04 02:00:00,4.6721
1735959600,2025-01-04 03:00:00,4.9207
1735963200,2025-01-04 04:00:00,4.9559
1735966800,2025-01-04 05:00:00,4.9102
1735970400,2025-01-04 06:00:00,4.8858
1735974000,2025-01-04 07:00:00,4.9418
1735977600,2025-01-04 08:00:00,4.9242
1735981200,2025-01-04 09:00:00,4.8928
1735984800,2025-01-04 10:00:00,4.8824
1735988400,2025-01-04 11:00:00,4.9595
1735992000,2025-01-04 12:00:00,4.7637
1735995600,2025-01-04 13:00:00,4.7504
1735999200,2025-01-04 14:00:00,4.7438
1736002800,2025-01-04 15:00:00,4.4705
1736006400,2025-01-04 16:00:00,4.5494
1736010000,2025-01-04 17:00:00,4.4585
1736013600,2025-01-04 18:00:00,4.3562
1736017200,2025-01-04 19:00:00,4.2056
1736020800,2025-01-04 20:00:00,4.102
1736024400,2025-01-04 21:00:00,4.0327
1736028000,2025-01-04 22:00:00,4.1046
1736031600,2025-01-04 23:00:00,4.102
1736035200,2025-01-05 00:00:00,4.0942
1736038800,2025-01-05 01:00:00,4.0942
1736042400,2025-01-05 02:00:00,4.144
1736046000,2025-01-05 03:00:00,4.1573
