t,ts,value
1735689600,2025-01-01 00:00:00,2.4471
1735693200,2025-01-01 01:00:00,2.3367
1735696800,2025-01-01 02:00:00,2.3014
1735700400,2025-01-01 03:00:00,2.2949
1735704000,2025-01-01 04:00:00,2.3124
1735707600,2025-01-01 05:00:00,2.3829
1735711200,2025-01-01 06:00:00,2.3829
1735714800,2025-01-01 07:00:00,2.3864
1735718400,2025-01-01 08:00:00,2.3933
1735722000,2025-01-01 09:00:00,2.4235
1735725600,2025-01-01 10:00:00,2.3852
1735729200,2025-01-01 11:00:00,2.3411
1735732800,2025-01-01 12:00:00,2.3875
1735736400,2025-01-01 13:00:00,2.3625
1735740000,2025-01-01 14:00:00,2.358
1735743600,2025-01-01 15:00:00,2.34
1735747200,2025-01-01 16:00:00,2.3841
1735750800,2025-01-01 17:00:00,2.3979
1735754400,2025-01-01 18:00:00,2.4223
1735758000,2025-01-01 19:00:00,2.4235
1735761600,2025-01-01 20:00:00,2.399
1735765200,2025-01-01 21:00:00,2.406
1735768800,2025-01-01 22:00:00,2.3921
1735772400,2025-01-01 23:00:00,2.391
1735776000,2025-01-02 00:00:00,2.6075
1735779600,2025-01-02 01:00:00,2.6765
1735783200,2025-01-02 02:00:00,2.7369
1735786800,2025-01-02 03:00:00,2.7286
1735790400,2025-01-02 04:00:00,2.6088
1735794000,2025-01-02 05:00:00,2.5894
1735797600,2025-01-02 06:00:00,2.6284
1735801200,2025-01-02 07:00:00,2.6062
1735804800,2025-01-02 08:00:00,2.5186
1735808400,2025-01-02 09:00:00,2.4388
1735812000,2025-01-02 10:00:00,2.42
1735815600,2025-01-02 11:00:00,2.4223
1735819200,2025-01-02 12:00:00,2.42
1735822800,2025-01-02 13:00:00,2.427
1735826400,2025-01-02 14:00:00,2.413
1735830000,2025-01-02 15:00:00,2.4831
1735833600,2025-01-02 16:00:00,2.6245
1735837200,2025-01-02 17:00:00,2.6969
1735840800,2025-01-02 18:00:00,2.6914
1735844400,2025-01-02 19:00:00,2.6684
1735848000,2025-01-02 20:00:00,2.6955
1735851600,2025-01-02 21:00:00,2.6832
1735855200,2025-01-02 22:00:00,2.6792
1735858800,2025-01-02 23:00:00,2.6955
1735862400,2025-01-03 00:00:00,2.7078
1735866000,2025-01-03 01:00:00,2.7453
1735869600,2025-01-03 02:00:00,2.7439
1735873200,2025-01-03 03:00:00,2.7651
1735876800,2025-01-03 04:00:00,2.7538
1735880400,2025-01-03 05:00:00,2.7216
1735884000,2025-01-03 06:00:00,2.7313
1735887600,2025-01-03 07:00:00,2.7951
1735891200,2025-01-03 08:00:00,2.8895
1735894800,2025-01-03 09:00:00,2.8655
1735898400,2025-01-03 10:00:00,2.864
1735902000,2025-01-03 11:00:00,2.83
1735905600,2025-01-03 12:00:00,2.73
1735909200,2025-01-03 13:00:00,2.73
1735912800,2025-01-03 14:00:00,2.6738
1735916400,2025-01-03 15:00:00,2.6324
1735920000,2025-01-03 16:00:00,2.5075
1735923600,2025-01-03 17:00:00,2.5651
1735927200,2025-01-03 18:00:00,2.5474
1735930800,2025-01-03 19:00:00,2.5486
1735934400,2025-01-03 20:00:00,2.5436
1735938000,2025-01-03 21:00:00,2.5211
1735941600,2025-01-03 22:00:00,2.5149
1735945200,2025-01-03 23:00:00,2.499
1735948800,2025-01-04 00:00:00,2.5894
1735952400,2025-01-04 01:00:00,2.5638
1735956000,2025-01-04 02:00:00,2.56
1735959600,2025-01-04 03:00:00,2.5386
1735963200,2025-01-04 04:00:00,2.5199
1735966800,2025-01-04 05:00:00,2.5587
1735970400,2025-01-04 06:00:00,2.5511
1735974000,2025-01-04 07:00:00,2.5486
1735977600,2025-01-04 08:00:00,2.5088
1735981200,2025-01-04 09:00:00,2.5386
1735984800,2025-01-04 10:00:00,2.5638
1735988400,2025-01-04 11:00:00,2.5714
1735992000,2025-01-04 12:00:00,2.5932
1735995600,2025-01-04 13:00:00,2.663
1735999200,2025-01-04 14:00:00,2.6711
1736002800,2025-01-04 15:00:00,2.7425
