t,ts,value
1735689600,2025-01-01 00:00:00,1.9197
1735693200,2025-01-01 01:00:00,1.9351
1735696800,2025-01-01 02:00:00,1.9551
1735700400,2025-01-01 03:00:00,1.936
1735704000,2025-01-01 04:00:00,1.9377
1735707600,2025-01-01 05:00:00,1.9682
1735711200,2025-01-01 06:00:00,1.9753
1735714800,2025-01-01 07:00:00,1.9851
1735718400,2025-01-01 08:00:00,1.9595
1735722000,2025-01-01 09:00:00,1.924
1735725600,2025-01-01 10:00:00,1.9214
1735729200,2025-01-01 11:00:00,1.9682
1735732800,2025-01-01 12:00:00,1.9762
1735736400,2025-01-01 13:00:00,1.9638
1735740000,2025-01-01 14:00:00,1.8802
1735743600,2025-01-01 15:00:00,1.8498
1735747200,2025-01-01 16:00:00,1.8074
1735750800,2025-01-01 17:00:00,1.8289
1735754400,2025-01-01 18:00:00,1.8313
1735758000,2025-01-01 19:00:00,1.8225
1735761600,2025-01-01 20:00:00,1.7863
1735765200,2025-01-01 21:00:00,1.7556
1735768800,2025-01-01 22:00:00,1.7189
1735772400,2025-01-01 23:00:00,1.6838
1735776000,2025-01-02 00:00:00,1.6767
1735779600,2025-01-02 01:00:00,1.6504
1735783200,2025-01-02 02:00:00,1.6455
1735786800,2025-01-02 03:00:00,1.6364
1735790400,2025-01-02 04:00:00,1.5394
1735794000,2025-01-02 05:00:00,1.5069
1735797600,2025-01-02 06:00:00,1.4981
1735801200,2025-01-02 07:00:00,1.4963
1735804800,2025-01-02 08:00:00,1.4558
1735808400,2025-01-02 09:00:00,1.4207
1735812000,2025-01-02 10:00:00,1.354
1735815600,2025-01-02 11:00:00,1.3191
1735819200,2025-01-02 12:00:00,1.2868
1735822800,2025-01-02 13:00:00,1.2302
1735826400,2025-01-02 14:00:00,1.2287
1735830000,2025-01-02 15:00:00,1.2533
1735833600,2025-01-02 16:00:00,1.1626
1735837200,2025-01-02 17:00:00,1.2075
1735840800,2025-01-02 18:00:00,1.1964
1735844400,2025-01-02 19:00:00,1.1368
1735848000,2025-01-02 20:00:00,1.1308
1735851600,2025-01-02 21:00:00,1.1286
1735855200,2025-01-02 22:00:00,1.129
1735858800,2025-01-02 23:00:00,1.1459
1735862400,2025-01-03 00:00:00,1.1422
1735866000,2025-01-03 01:00:00,1.1358
1735869600,2025-01-03 02:00:00,1.1496
1735873200,2025-01-03 03:00:00,1.1524
1735876800,2025-01-03 04:00:00,1.1468
1735880400,2025-01-03 05:00:00,1.1542
1735884000,2025-01-03 06:00:00,1.1598
1735887600,2025-01-03 07:00:00,1.1542
1735891200,2025-01-03 08:00:00,1.1983
1735894800,2025-01-03 09:00:00,1.2396
1735898400,2025-01-03 10:00:00,1.2386
1735902000,2025-01-03 11:00:00,1.2743
1735905600,2025-01-03 12:00:00,1.2805
1735909200,2025-01-03 13:00:00,1.2904
1735912800,2025-01-03 14:00:00,1.317
1735916400,2025-01-03 15:00:00,1.2568
1735920000,2025-01-03 16:00:00,1.1983
1735923600,2025-01-03 17:00:00,1.1763
1735927200,2025-01-03 18:00:00,1.1612
1735930800,2025-01-03 19:00:00,1.1245
1735934400,2025-01-03 20:00:00,1.0978
1735938000,2025-01-03 21:00:00,1.1044
1735941600,2025-01-03 22:00:00,1.0986
1735945200,2025-01-03 23:00:00,1.0881
1735948800,2025-01-04 00:00:00,1.0602
1735952400,2025-01-04 01:00:00,1.0812
1735956000,2025-01-04 02:00:00,1.0951
1735959600,2025-01-04 03:00:00,1.1084
1735963200,2025-01-04 04:00:00,1.107
1735966800,2025-01-04 05:00:00,1.1115
1735970400,2025-01-04 06:00:00,1.1115
1735974000,2025-01-04 07:00:00,1.124
1735977600,2025-01-04 08:00:00,1.1128
1735981200,2025-01-04 09:00:00,1.1313
1735984800,2025-01-04 10:00:00,1.1608
1735988400,2025-01-04 11:00:00,1.1796
1735992000,2025-01-04 12:00:00,1.1959
1735995600,2025-01-04 13:00:00,1.2031
1735999200,2025-01-04 14:00:00,1.2036
1736002800,2025-01-04 15:00:00,1.1896
1736006400,2025-01-04 16:00:00,1.1935
1736010000,2025-01-04 17:00:00,1.1968
1736013600,2025-01-04 18:00:00,1.1697
1736017200,2025-01-04 19:00:00,1.1697
1736020800,2025-01-04 20:00:00,1.1636
1736024400,2025-01-04 21:00:00,1.1381
1736028000,2025-01-04 22:00:00,1.1299
1736031600,2025-01-04 23:00:00,1.1281
1736035200,2025-01-05 00:00:00,1.1218
1736038800,2025-01-05 01:00:00,1.1061
1736042400,2025-01-05 02:00:00,1.0995
1736046000,2025-01-05 03:00:00,1.0969
1736049600,2025-01-05 04:00:00,1.1022
1736053200,2025-01-05 05:00:00,1.0912
1736056800,2025-01-05 06:00:00,1.0881
1736060400,2025-01-05 07:00:00,1.0838
1736064000,2025-01-05 08:00:00,1.1035
1736067600,2025-01-05 09:00:00,1.1186
1736071200,2025-01-05 10:00:00,1.1575
1736074800,2025-01-05 11:00:00,1.1848
1736078400,2025-01-05 12:00:00,1.2007
1736082000,2025-01-05 13:00:00,1.208
1736085600,2025-01-05 14:00:00,1.1815
1736089200,2025-01-05 15:00:00,1.1867
1736092800,2025-01-05 16:00:00,1.1716
1736096400,2025-01-05 17:00:00,1.1716
1736100000,2025-01-05 18:00:00,1.1968
1736103600,2025-01-05 19:00:00,1.1863
1736107200,2025-01-05 20:00:00,1.1739
1736110800,2025-01-05 21:00:00,1.1668
1736114400,2025-01-05 22:00:00,1.1441
1736118000,2025-01-05 23:00:00,1.1295
1736121600,2025-01-06 00:00:00,1.0991
1736125200,2025-01-06 01:00:00,1.0794
1736128800,2025-01-06 02:00:00,1.0956
1736132400,2025-01-06 03:00:00,1.0657
1736136000,2025-01-06 04:00:00,1.03
1736139600,2025-01-06 05:00:00,0.9873
1736143200,2025-01-06 06:00:00,0.9569
1736146800,2025-01-06 07:00:00,0.9547
1736150400,2025-01-06 08:00:00,0.9619
1736154000,2025-01-06 09:00:00,0.9643
1736157600,2025-01-06 10:00:00,0.9968
1736161200,2025-01-06 11:00:00,1.0458
1736164800,2025-01-06 12:00:00,1.0052
1736168400,2025-01-06 13:00:00,1.0048
1736172000,2025-01-06 14:00:00,0.99
1736175600,2025-01-06 15:00:00,0.8622
1736179200,2025-01-06 16:00:00,0.7759
1736182800,2025-01-06 17:00:00,0.7677
1736186400,2025-01-06 18:00:00,0.768
1736190000,2025-01-06 19:00:00,0.7668
1736193600,2025-01-06 20:00:00,0.764
1736197200,2025-01-06 21:00:00,0.7627
1736200800,2025-01-06 22:00:00,0.7671
1736204400,2025-01-06 23:00:00,0.7621
1736208000,2025-01-07 00:00:00,0.7768
1736211600,2025-01-07 01:00:00,0.7775
1736215200,2025-01-07 02:00:00,0.773
