t,ts,value
1735689600,2025-01-01 00:00:00,2.7189
1735693200,2025-01-01 01:00:00,2.7538
1735696800,2025-01-01 02:00:00,2.7481
1735700400,2025-01-01 03:00:00,2.7411
1735704000,2025-01-01 04:00:00,2.7051
1735707600,2025-01-01 05:00:00,2.592
1735711200,2025-01-01 06:00:00,2.5663
1735714800,2025-01-01 07:00:00,2.5651
1735718400,2025-01-01 08:00:00,2.6036
1735722000,2025-01-01 09:00:00,2.6483
1735725600,2025-01-01 10:00:00,2.6996
1735729200,2025-01-01 11:00:00,2.6846
1735732800,2025-01-01 12:00:00,2.6443
1735736400,2025-01-01 13:00:00,2.6792
1735740000,2025-01-01 14:00:00,2.5211
1735743600,2025-01-01 15:00:00,2.5249
1735747200,2025-01-01 16:00:00,2.4165
1735750800,2025-01-01 17:00:00,2.4317
1735754400,2025-01-01 18:00:00,2.5461
1735758000,2025-01-01 19:00:00,2.5663
1735761600,2025-01-01 20:00:00,2.4953
1735765200,2025-01-01 21:00:00,2.5348
1735768800,2025-01-01 22:00:00,2.5958
1735772400,2025-01-01 23:00:00,2.6576
1735776000,2025-01-02 00:00:00,2.5932
1735779600,2025-01-02 01:00:00,2.6114
1735783200,2025-01-02 02:00:00,2.3727
1735786800,2025-01-02 03:00:00,2.3715
1735790400,2025-01-02 04:00:00,2.3025
1735794000,2025-01-02 05:00:00,2.3445
1735797600,2025-01-02 06:00:00,2.3921
1735801200,2025-01-02 07:00:00,2.4002
1735804800,2025-01-02 08:00:00,2.3864
1735808400,2025-01-02 09:00:00,2.4083
1735812000,2025-01-02 10:00:00,2.3956
1735815600,2025-01-02 11:00:00,2.4317
1735819200,2025-01-02 12:00:00,2.4447
1735822800,2025-01-02 13:00:00,2.4916
1735826400,2025-01-02 14:00:00,2.3829
1735830000,2025-01-02 15:00:00,2.4518
1735833600,2025-01-02 16:00:00,2.4602
1735837200,2025-01-02 17:00:00,2.5298
1735840800,2025-01-02 18:00:00,2.5997
1735844400,2025-01-02 19:00:00,2.6284
1735848000,2025-01-02 20:00:00,2.6417
1735851600,2025-01-02 21:00:00,2.5855
1735855200,2025-01-02 22:00:00,2.6697
1735858800,2025-01-02 23:00:00,2.5855
1735862400,2025-01-03 00:00:00,2.5137
1735866000,2025-01-03 01:00:00,2.5125
1735869600,2025-01-03 02:00:00,2.5075
1735873200,2025-01-03 03:00:00,2.4305
1735876800,2025-01-03 04:00:00,2.2808
1735880400,2025-01-03 05:00:00,2.1807
1735884000,2025-01-03 06:00:00,2.2062
1735887600,2025-01-03 07:00:00,2.0175
1735891200,2025-01-03 08:00:00,2.0312
1735894800,2025-01-03 09:00:00,1.9851
1735898400,2025-01-03 10:00:00,2.0525
1735902000,2025-01-03 11:00:00,2.1143
1735905600,2025-01-03 12:00:00,2.1008
1735909200,2025-01-03 13:00:00,1.9507
1735912800,2025-01-03 14:00:00,1.9317
1735916400,2025-01-03 15:00:00,1.8458
1735920000,2025-01-03 16:00:00,1.7255
1735923600,2025-01-03 17:00:00,1.8209
1735927200,2025-01-03 18:00:00,1.8711
1735930800,2025-01-03 19:00:00,1.886
1735934400,2025-01-03 20:00:00,1.8555
1735938000,2025-01-03 21:00:00,1.8727
1735941600,2025-01-03 22:00:00,1.9104
1735945200,2025-01-03 23:00:00,1.8523
1735948800,2025-01-04 00:00:00,1.8539
1735952400,2025-01-04 01:00:00,1.858
1735956000,2025-01-04 02:00:00,1.8482
1735959600,2025-01-04 03:00:00,1.8727
1735963200,2025-01-04 04:00:00,1.8977
1735966800,2025-01-04 05:00:00,1.8843
1735970400,2025-01-04 06:00:00,1.8994
1735974000,2025-01-04 07:00:00,1.8902
1735977600,2025-01-04 08:00:00,1.936
1735981200,2025-01-04 09:00:00,2.0395
1735984800,2025-01-04 10:00:00,2.1085
1735988400,2025-01-04 11:00:00,2.1133
1735992000,2025-01-04 12:00:00,2.125
1735995600,2025-01-04 13:00:00,2.0628
1735999200,2025-01-04 14:00:00,2.0349
1736002800,2025-01-04 15:00:00,2.231
1736006400,2025-01-04 16:00:00,2.2895
1736010000,2025-01-04 17:00:00,2.2884
1736013600,2025-01-04 18:00:00,2.3003
1736017200,2025-01-04 19:00:00,2.3113
1736020800,2025-01-04 20:00:00,2.2279
1736024400,2025-01-04 21:00:00,2.2342
1736028000,2025-01-04 22:00:00,2.198
1736031600,2025-01-04 23:00:00,2.2196
1736035200,2025-01-05 00:00:00,2.3367
1736038800,2025-01-05 01:00:00,2.3818
1736042400,2025-01-05 02:00:00,2.3841
1736046000,2025-01-05 03:00:00,2.4317
1736049600,2025-01-05 04:00:00,2.3467
1736053200,2025-01-05 05:00:00,2.3933
1736056800,2025-01-05 06:00:00,2.3921
1736060400,2025-01-05 07:00:00,2.4247
1736064000,2025-01-05 08:00:00,2.3568
1736067600,2025-01-05 09:00:00,2.3875
1736071200,2025-01-05 10:00:00,2.4188
1736074800,2025-01-05 11:00:00,2.4807
1736078400,2025-01-05 12:00:00,2.5051
1736082000,2025-01-05 13:00:00,2.488
1736085600,2025-01-05 14:00:00,2.4698
1736089200,2025-01-05 15:00:00,2.4953
1736092800,2025-01-05 16:00:00,2.51
1736096400,2025-01-05 17:00:00,2.5063
1736100000,2025-01-05 18:00:00,2.5125
1736103600,2025-01-05 19:00:00,2.5125
1736107200,2025-01-05 20:00:00,2.4674
1736110800,2025-01-05 21:00:00,2.471
1736114400,2025-01-05 22:00:00,2.4176
1736118000,2025-01-05 23:00:00,2.5174
