t,ts,value
1735689600,2025-01-01 00:00:00,1.7586
1735693200,2025-01-01 01:00:00,1.7663
1735696800,2025-01-01 02:00:00,1.733
1735700400,2025-01-01 03:00:00,1.7503
1735704000,2025-01-01 04:00:00,1.73
1735707600,2025-01-01 05:00:00,1.7049
1735711200,2025-01-01 06:00:00,1.702
1735714800,2025-01-01 07:00:00,1.7503
1735718400,2025-01-01 08:00:00,1.6788
1735722000,2025-01-01 09:00:00,1.7005
1735725600,2025-01-01 10:00:00,1.6911
1735729200,2025-01-01 11:00:00,1.6925
1735732800,2025-01-01 12:00:00,1.7211
1735736400,2025-01-01 13:00:00,1.6392
1735740000,2025-01-01 14:00:00,1.6483
1735743600,2025-01-01 15:00:00,1.6392
1735747200,2025-01-01 16:00:00,1.642
1735750800,2025-01-01 17:00:00,1.5681
1735754400,2025-01-01 18:00:00,1.5641
1735758000,2025-01-01 19:00:00,1.59
1735761600,2025-01-01 20:00:00,1.5806
1735765200,2025-01-01 21:00:00,1.551
1735768800,2025-01-01 22:00:00,1.5374
1735772400,2025-01-01 23:00:00,1.5634
1735776000,2025-01-02 00:00:00,1.5031
1735779600,2025-01-02 01:00:00,1.5291
1735783200,2025-01-02 02:00:00,1.4637
1735786800,2025-01-02 03:00:00,1.4528
1735790400,2025-01-02 04:00:00,1.4765
1735794000,2025-01-02 05:00:00,1.5145
1735797600,2025-01-02 06:00:00,1.5006
1735801200,2025-01-02 07:00:00,1.551
1735804800,2025-01-02 08:00:00,1.5419
1735808400,2025-01-02 09:00:00,1.7218
1735812000,2025-01-02 10:00:00,1.7167
1735815600,2025-01-02 11:00:00,1.6781
1735819200,2025-01-02 12:00:00,1.6983
1735822800,2025-01-02 13:00:00,1.6638
1735826400,2025-01-02 14:00:00,1.6781
1735830000,2025-01-02 15:00:00,1.6745
1735833600,2025-01-02 16:00:00,1.6976
1735837200,2025-01-02 17:00:00,1.739
1735840800,2025-01-02 18:00:00,1.7196
1735844400,2025-01-02 19:00:00,1.7196
1735848000,2025-01-02 20:00:00,1.7503
1735851600,2025-01-02 21:00:00,1.7586
1735855200,2025-01-02 22:00:00,1.7503
1735858800,2025-01-02 23:00:00,1.713
1735862400,2025-01-03 00:00:00,1.7263
1735866000,2025-01-03 01:00:00,1.7541
1735869600,2025-01-03 02:00:00,1.8531
1735873200,2025-01-03 03:00:00,1.9525
1735876800,2025-01-03 04:00:00,1.9525
1735880400,2025-01-03 05:00:00,1.9274
1735884000,2025-01-03 06:00:00,1.924
1735887600,2025-01-03 07:00:00,1.9647
1735891200,2025-01-03 08:00:00,1.9189
1735894800,2025-01-03 09:00:00,1.8563
1735898400,2025-01-03 10:00:00,1.7902
1735902000,2025-01-03 11:00:00,1.8121
1735905600,2025-01-03 12:00:00,1.8986
1735909200,2025-01-03 13:00:00,1.8977
1735912800,2025-01-03 14:00:00,1.8106
1735916400,2025-01-03 15:00:00,1.6709
1735920000,2025-01-03 16:00:00,1.6903
1735923600,2025-01-03 17:00:00,1.6896
1735927200,2025-01-03 18:00:00,1.7647
1735930800,2025-01-03 19:00:00,1.7709
1735934400,2025-01-03 20:00:00,1.7871
1735938000,2025-01-03 21:00:00,1.8385
1735941600,2025-01-03 22:00:00,1.8977
