t,ts,value
1735689600,2025-01-01 00:00:00,92039922.1
1735693200,2025-01-01 01:00:00,92188549.6
1735696800,2025-01-01 02:00:00,92075167.7
1735700400,2025-01-01 03:00:00,91967222.5
1735704000,2025-01-01 04:00:00,91679700.1
1735707600,2025-01-01 05:00:00,92332211.2
1735711200,2025-01-01 06:00:00,92349845.4
1735714800,2025-01-01 07:00:00,92530188.4
1735718400,2025-01-01 08:00:00,92191418.6
1735722000,2025-01-01 09:00:00,92009000.4
1735725600,2025-01-01 10:00:00,92007551.6
1735729200,2025-01-01 11:00:00,92297746.0
1735732800,2025-01-01 12:00:00,92663721.7
1735736400,2025-01-01 13:00:00,92836178.8
1735740000,2025-01-01 14:00:00,92512790.5
1735743600,2025-01-01 15:00:00,92658337.6
1735747200,2025-01-01 16:00:00,92675649.8
1735750800,2025-01-01 17:00:00,92576960.5
1735754400,2025-01-01 18:00:00,92953416.9
1735758000,2025-01-01 19:00:00,92726359.7
1735761600,2025-01-01 20:00:00,92719294.2
1735765200,2025-01-01 21:00:00,92951583.3
1735768800,2025-01-01 22:00:00,92917513.1
1735772400,2025-01-01 23:00:00,92925496.8
1735776000,2025-01-02 00:00:00,93114603.1
1735779600,2025-01-02 01:00:00,92888725.7
1735783200,2025-01-02 02:00:00,92721950.5
1735786800,2025-01-02 03:00:00,92784175.8
1735790400,2025-01-02 04:00:00,92509672.4
1735794000,2025-01-02 05:00:00,93095316.7
1735797600,2025-01-02 06:00:00,93448692.6
1735801200,2025-01-02 07:00:00,93664612.7
1735804800,2025-01-02 08:00:00,93987726.0
1735808400,2025-01-02 09:00:00,94079742.7
1735812000,2025-01-02 10:00:00,94606805.9
1735815600,2025-01-02 11:00:00,94301910.4
1735819200,2025-01-02 12:00:00,96069409.2
1735822800,2025-01-02 13:00:00,95629256.8
1735826400,2025-01-02 14:00:00,95699248.1
1735830000,2025-01-02 15:00:00,95442532.5
1735833600,2025-01-02 16:00:00,95372485.2
1735837200,2025-01-02 17:00:00,95603164.8
1735840800,2025-01-02 18:00:00,95774239.8
1735844400,2025-01-02 19:00:00,95937652.9
1735848000,2025-01-02 20:00:00,95901559.7
1735851600,2025-01-02 21:00:00,95873658.0
1735855200,2025-01-02 22:00:00,95350121.8
1735858800,2025-01-02 23:00:00,95469658.7
1735862400,2025-01-03 00:00:00,95512142.1
1735866000,2025-01-03 01:00:00,95632324.9
1735869600,2025-01-03 02:00:00,95383999.9
1735873200,2025-01-03 03:00:00,94277667.4
1735876800,2025-01-03 04:00:00,93893682.3
1735880400,2025-01-03 05:00:00,93404086.9
1735884000,2025-01-03 06:00:00,93323734.0
1735887600,2025-01-03 07:00:00,93061902.0
1735891200,2025-01-03 08:00:00,93087039.7
1735894800,2025-01-03 09:00:00,93882313.9
1735898400,2025-01-03 10:00:00,94448891.5
1735902000,2025-01-03 11:00:00,94389761.4
1735905600,2025-01-03 12:00:00,94511010.9
1735909200,2025-01-03 13:00:00,94714832.5
1735912800,2025-01-03 14:00:00,94580846.5
1735916400,2025-01-03 15:00:00,94472924.8
1735920000,2025-01-03 16:00:00,93869062.7
1735923600,2025-01-03 17:00:00,93848632.0
1735927200,2025-01-03 18:00:00,93847677.5
1735930800,2025-01-03 19:00:00,94332936.9
1735934400,2025-01-03 20:00:00,94373935.9
1735938000,2025-01-03 21:00:00,94071831.2
1735941600,2025-01-03 22:00:00,94041929.8
1735945200,2025-01-03 23:00:00,94277331.8
1735948800,2025-01-04 00:00:00,94021787.5
1735952400,2025-01-04 01:00:00,94475295.8
1735956000,2025-01-04 02:00:00,93096622.5
1735959600,2025-01-04 03:00:00,92445958.1
1735963200,2025-01-04 04:00:00,92402505.3
1735966800,2025-01-04 05:00:00,92260765.5
1735970400,2025-01-04 06:00:00,92180155.7
1735974000,2025-01-04 07:00:00,92404696.1
1735977600,2025-01-04 08:00:00,92126552.9
1735981200,2025-01-04 09:00:00,92222151.5
1735984800,2025-01-04 10:00:00,92233682.9
1735988400,2025-01-04 11:00:00,92325019.3
1735992000,2025-01-04 12:00:00,95103907.4
1735995600,2025-01-04 13:00:00,95386710.1
1735999200,2025-01-04 14:00:00,95733543.3
1736002800,2025-01-04 15:00:00,92395461.9
1736006400,2025-01-04 16:00:00,92793310.8
1736010000,2025-01-04 17:00:00,93003007.1
1736013600,2025-01-04 18:00:00,92924446.1
1736017200,2025-01-04 19:00:00,93070820.2
1736020800,2025-01-04 20:00:00,93344746.2
1736024400,2025-01-04 21:00:00,93347679.9
1736028000,2025-01-04 22:00:00,93349012.6
1736031600,2025-01-04 23:00:00,93402568.3
1736035200,2025-01-05 00:00:00,92928370.4
1736038800,2025-01-05 01:00:00,93624259.0
1736042400,2025-01-05 02:00:00,93389479.0
1736046000,2025-01-05 03:00:00,93173513.5
1736049600,2025-01-05 04:00:00,94454579.6
1736053200,2025-01-05 05:00:00,94208444.0
1736056800,2025-01-05 06:00:00,94365524.7
1736060400,2025-01-05 07:00:00,94369277.0
1736064000,2025-01-05 08:00:00,94678019.8
1736067600,2025-01-05 09:00:00,94555870.4
1736071200,2025-01-05 10:00:00,94603925.9
1736074800,2025-01-05 11:00:00,94677506.7
1736078400,2025-01-05 12:00:00,94439745.0
1736082000,2025-01-05 13:00:00,94362552.9
1736085600,2025-01-05 14:00:00,94051629.2
1736089200,2025-01-05 15:00:00,93703361.7
1736092800,2025-01-05 16:00:00,93497211.8
1736096400,2025-01-05 17:00:00,93628725.4
1736100000,2025-01-05 18:00:00,93735495.0
1736103600,2025-01-05 19:00:00,93973074.3
1736107200,2025-01-05 20:00:00,94170501.2
1736110800,2025-01-05 21:00:00,94102547.8
1736114400,2025-01-05 22:00:00,93470164.8
1736118000,2025-01-05 23:00:00,93090172.5
1736121600,2025-01-06 00:00:00,94433285.6
1736125200,2025-01-06 01:00:00,93658508.4
1736128800,2025-01-06 02:00:00,94289529.5
1736132400,2025-01-06 03:00:00,94112217.1
1736136000,2025-01-06 04:00:00,93653952.4
1736139600,2025-01-06 05:00:00,93741421.3
1736143200,2025-01-06 06:00:00,93866809.5
1736146800,2025-01-06 07:00:00,93545374.3
1736150400,2025-01-06 08:00:00,93553203.5
1736154000,2025-01-06 09:00:00,93750177.5
1736157600,2025-01-06 10:00:00,93097557.4
1736161200,2025-01-06 11:00:00,92944485.7
1736164800,2025-01-06 12:00:00,92247146.2
1736168400,2025-01-06 13:00:00,92481312.9
1736172000,2025-01-06 14:00:00,92146800.0
1736175600,2025-01-06 15:00:00,92232717.9
1736179200,2025-01-06 16:00:00,91958993.1
1736182800,2025-01-06 17:00:00,91178442.4
1736186400,2025-01-06 18:00:00,91106963.5
1736190000,2025-01-06 19:00:00,91072826.1
1736193600,2025-01-06 20:00:00,90149463.4
1736197200,2025-01-06 21:00:00,89572602.3
1736200800,2025-01-06 22:00:00,89084380.4
1736204400,2025-01-06 23:00:00,89327728.9
1736208000,2025-01-07 00:00:00,89613856.1
1736211600,2025-01-07 01:00:00,89422566.1
1736215200,2025-01-07 02:00:00,89504574.89999999
1736218800,2025-01-07 03:00:00,89342766.9
1736222400,2025-01-07 04:00:00,89572057.1
1736226000,2025-01-07 05:00:00,89746038.1
1736229600,2025-01-07 06:00:00,90071725.69999999
1736233200,2025-01-07 07:00:00,90103160.7
1736236800,2025-01-07 08:00:00,90114390.1
1736240400,2025-01-07 09:00:00,90003799.1
1736244000,2025-01-07 10:00:00,90192674.5
1736247600,2025-01-07 11:00:00,90463150.7
1736251200,2025-01-07 12:00:00,90986002.9
1736254800,2025-01-07 13:00:00,91157321.2
1736258400,2025-01-07 14:00:00,91363490.3
1736262000,2025-01-07 15:00:00,90505970.3
1736265600,2025-01-07 16:00:00,89786459.30000001
1736269200,2025-01-07 17:00:00,89983899.60000001
1736272800,2025-01-07 18:00:00,89871558.6
1736276400,2025-01-07 19:00:00,89923651.0
1736280000,2025-01-07 20:00:00,89702097.2
1736283600,2025-01-07 21:00:00,89409559.10000001
1736287200,2025-01-07 22:00:00,88866125.8
1736290800,2025-01-07 23:00:00,88717952.6
1736294400,2025-01-08 00:00:00,88205648.0
1736298000,2025-01-08 01:00:00,87856577.5
1736301600,2025-01-08 02:00:00,88140273.4
1736305200,2025-01-08 03:00:00,88714712.10000001
1736308800,2025-01-08 04:00:00,88787414.8
1736312400,2025-01-08 05:00:00,89302249.6
1736316000,2025-01-08 06:00:00,89392158.6
1736319600,2025-01-08 07:00:00,89494590.80000001
1736323200,2025-01-08 08:00:00,88419572.7
1736326800,2025-01-08 09:00:00,88620662.39999999
1736330400,2025-01-08 10:00:00,88737683.6
1736334000,2025-01-08 11:00:00,89032110.0
