t,ts,value
1735689600,2025-01-01 00:00:00,1910182590
1735693200,2025-01-01 01:00:00,1907191542
1735696800,2025-01-01 02:00:00,1913101606
1735700400,2025-01-01 03:00:00,1912950780
1735704000,2025-01-01 04:00:00,1916210573
1735707600,2025-01-01 05:00:00,1914364535
1735711200,2025-01-01 06:00:00,1919607652
1735714800,2025-01-01 07:00:00,1932268248
1735718400,2025-01-01 08:00:00,1928527906
1735722000,2025-01-01 09:00:00,1942446680
1735725600,2025-01-01 10:00:00,1944646465
1735729200,2025-01-01 11:00:00,1945880624
1735732800,2025-01-01 12:00:00,1939752433
1735736400,2025-01-01 13:00:00,1937029266
1735740000,2025-01-01 14:00:00,1928945297
1735743600,2025-01-01 15:00:00,1929489173
1735747200,2025-01-01 16:00:00,1919070554
1735750800,2025-01-01 17:00:00,1915465606
1735754400,2025-01-01 18:00:00,1921910876
1735758000,2025-01-01 19:00:00,1926834725
1735761600,2025-01-01 20:00:00,1928589237
1735765200,2025-01-01 21:00:00,1927449763
1735768800,2025-01-01 22:00:00,1927769766
1735772400,2025-01-01 23:00:00,1937070846
1735776000,2025-01-02 00:00:00,1955372327
1735779600,2025-01-02 01:00:00,1962283025
1735783200,2025-01-02 02:00:00,1972165267
1735786800,2025-01-02 03:00:00,1979761061
1735790400,2025-01-02 04:00:00,1978664736
1735794000,2025-01-02 05:00:00,1984599834
1735797600,2025-01-02 06:00:00,1994262928
1735801200,2025-01-02 07:00:00,2019217762
1735804800,2025-01-02 08:00:00,2022408702
1735808400,2025-01-02 09:00:00,2025758349
1735812000,2025-01-02 10:00:00,2026868400
1735815600,2025-01-02 11:00:00,2026189980
1735819200,2025-01-02 12:00:00,2024667796
1735822800,2025-01-02 13:00:00,2018344578
1735826400,2025-01-02 14:00:00,2005036113
1735830000,2025-01-02 15:00:00,1991857235
1735833600,2025-01-02 16:00:00,1986073027
1735837200,2025-01-02 17:00:00,1968172505
1735840800,2025-01-02 18:00:00,1967324034
1735844400,2025-01-02 19:00:00,1966109898
1735848000,2025-01-02 20:00:00,1964500821
1735851600,2025-01-02 21:00:00,1967006417
1735855200,2025-01-02 22:00:00,1972680990
1735858800,2025-01-02 23:00:00,1982030587
