t,ts,value
1735689600,2025-01-01 00:00:00,1251045.14
1735693200,2025-01-01 01:00:00,1247941.031
1735696800,2025-01-01 02:00:00,1248923.14
1735700400,2025-01-01 03:00:00,1251785.6690000002
1735704000,2025-01-01 04:00:00,1255045.265
1735707600,2025-01-01 05:00:00,1257004.3709999998
1735711200,2025-01-01 06:00:00,1261446.192
1735714800,2025-01-01 07:00:00,1263226.661
1735718400,2025-01-01 08:00:00,1263617.888
1735722000,2025-01-01 09:00:00,1265061.343
1735725600,2025-01-01 10:00:00,1265229.301
1735729200,2025-01-01 11:00:00,1263909.906
1735732800,2025-01-01 12:00:00,1267580.203
1735736400,2025-01-01 13:00:00,1265692.067
1735740000,2025-01-01 14:00:00,1273644.147
1735743600,2025-01-01 15:00:00,1275062.61
1735747200,2025-01-01 16:00:00,1274185.744
1735750800,2025-01-01 17:00:00,1270271.8129999998
1735754400,2025-01-01 18:00:00,1267145.725
1735758000,2025-01-01 19:00:00,1273730.221
1735761600,2025-01-01 20:00:00,1265606.259
1735765200,2025-01-01 21:00:00,1267270.942
1735768800,2025-01-01 22:00:00,1267406.791
1735772400,2025-01-01 23:00:00,1272849.762
1735776000,2025-01-02 00:00:00,1265335.714
1735779600,2025-01-02 01:00:00,1260780.069
1735783200,2025-01-02 02:00:00,1260656.713
1735786800,2025-01-02 03:00:00,1261056.953
1735790400,2025-01-02 04:00:00,1271861.837
1735794000,2025-01-02 05:00:00,1267487.66
1735797600,2025-01-02 06:00:00,1264092.273
1735801200,2025-01-02 07:00:00,1261770.498
1735804800,2025-01-02 08:00:00,1262831.515
1735808400,2025-01-02 09:00:00,1256820.139
1735812000,2025-01-02 10:00:00,1257323.05
1735815600,2025-01-02 11:00:00,1224537.014
1735819200,2025-01-02 12:00:00,1223181.5340000002
1735822800,2025-01-02 13:00:00,1218495.585
1735826400,2025-01-02 14:00:00,1205670.532
1735830000,2025-01-02 15:00:00,1207174.163
1735833600,2025-01-02 16:00:00,1212400.7680000002
1735837200,2025-01-02 17:00:00,1201783.4519999998
1735840800,2025-01-02 18:00:00,1204999.743
1735844400,2025-01-02 19:00:00,1208129.466
1735848000,2025-01-02 20:00:00,1214235.298
1735851600,2025-01-02 21:00:00,1214930.497
1735855200,2025-01-02 22:00:00,1216913.218
1735858800,2025-01-02 23:00:00,1218882.0010000002
1735862400,2025-01-03 00:00:00,1222685.72
1735866000,2025-01-03 01:00:00,1221757.806
1735869600,2025-01-03 02:00:00,1220237.2049999998
1735873200,2025-01-03 03:00:00,1218830.018
1735876800,2025-01-03 04:00:00,1221041.949
1735880400,2025-01-03 05:00:00,1220690.569
1735884000,2025-01-03 06:00:00,1221970.469
1735887600,2025-01-03 07:00:00,1215571.135
1735891200,2025-01-03 08:00:00,1216495.608
1735894800,2025-01-03 09:00:00,1222205.331
1735898400,2025-01-03 10:00:00,1225483.09
1735902000,2025-01-03 11:00:00,1226758.418
1735905600,2025-01-03 12:00:00,1224459.191
1735909200,2025-01-03 13:00:00,1226581.495
1735912800,2025-01-03 14:00:00,1234413.382
1735916400,2025-01-03 15:00:00,1234403.276
1735920000,2025-01-03 16:00:00,1238020.2729999998
1735923600,2025-01-03 17:00:00,1239149.1870000002
1735927200,2025-01-03 18:00:00,1241158.347
1735930800,2025-01-03 19:00:00,1241111.131
1735934400,2025-01-03 20:00:00,1238439.745
1735938000,2025-01-03 21:00:00,1235064.8169999998
1735941600,2025-01-03 22:00:00,1229657.498
1735945200,2025-01-03 23:00:00,1231723.512
1735948800,2025-01-04 00:00:00,1234691.718
1735952400,2025-01-04 01:00:00,1240379.7329999998
1735956000,2025-01-04 02:00:00,1241209.437
1735959600,2025-01-04 03:00:00,1239649.21
1735963200,2025-01-04 04:00:00,1232139.136
1735966800,2025-01-04 05:00:00,1232761.873
1735970400,2025-01-04 06:00:00,1235928.802
1735974000,2025-01-04 07:00:00,1237247.401
1735977600,2025-01-04 08:00:00,1232904.3469999998
1735981200,2025-01-04 09:00:00,1234950.81
1735984800,2025-01-04 10:00:00,1236954.05
1735988400,2025-01-04 11:00:00,1239956.3960000002
1735992000,2025-01-04 12:00:00,1241951.731
1735995600,2025-01-04 13:00:00,1250309.666
1735999200,2025-01-04 14:00:00,1255749.777
1736002800,2025-01-04 15:00:00,1238803.698
1736006400,2025-01-04 16:00:00,1241856.083
1736010000,2025-01-04 17:00:00,1250344.47
1736013600,2025-01-04 18:00:00,1248155.003
1736017200,2025-01-04 19:00:00,1247235.548
1736020800,2025-01-04 20:00:00,1252406.879
1736024400,2025-01-04 21:00:00,1253045.854
1736028000,2025-01-04 22:00:00,1256899.409
1736031600,2025-01-04 23:00:00,1258709.116
1736035200,2025-01-05 00:00:00,1258089.5890000002
1736038800,2025-01-05 01:00:00,1264046.001
1736042400,2025-01-05 02:00:00,1266645.207
1736046000,2025-01-05 03:00:00,1268918.2659999998
1736049600,2025-01-05 04:00:00,1270236.707
1736053200,2025-01-05 05:00:00,1261627.117
1736056800,2025-01-05 06:00:00,1259685.677
1736060400,2025-01-05 07:00:00,1271590.636
1736064000,2025-01-05 08:00:00,1253621.841
1736067600,2025-01-05 09:00:00,1257872.639
1736071200,2025-01-05 10:00:00,1258790.243
1736074800,2025-01-05 11:00:00,1254601.074
1736078400,2025-01-05 12:00:00,1251028.701
1736082000,2025-01-05 13:00:00,1248669.019
1736085600,2025-01-05 14:00:00,1247375.37
1736089200,2025-01-05 15:00:00,1250397.106
1736092800,2025-01-05 16:00:00,1252792.906
1736096400,2025-01-05 17:00:00,1254834.73
1736100000,2025-01-05 18:00:00,1261801.641
1736103600,2025-01-05 19:00:00,1262806.0620000002
1736107200,2025-01-05 20:00:00,1264355.29
1736110800,2025-01-05 21:00:00,1269789.001
1736114400,2025-01-05 22:00:00,1285842.8269999998
1736118000,2025-01-05 23:00:00,1292313.877
1736121600,2025-01-06 00:00:00,1295105.245
1736125200,2025-01-06 01:00:00,1298223.217
1736128800,2025-01-06 02:00:00,1299019.6160000002
1736132400,2025-01-06 03:00:00,1301895.883
1736136000,2025-01-06 04:00:00,1300392.351
1736139600,2025-01-06 05:00:00,1294012.826
1736143200,2025-01-06 06:00:00,1293531.8760000002
1736146800,2025-01-06 07:00:00,1291525.753
1736150400,2025-01-06 08:00:00,1286495.8839999998
1736154000,2025-01-06 09:00:00,1293903.925
1736157600,2025-01-06 10:00:00,1291672.685
1736161200,2025-01-06 11:00:00,1295094.578
1736164800,2025-01-06 12:00:00,1295031.956
1736168400,2025-01-06 13:00:00,1292450.531
1736172000,2025-01-06 14:00:00,1281269.685
1736175600,2025-01-06 15:00:00,1290017.593
1736179200,2025-01-06 16:00:00,1288085.328
1736182800,2025-01-06 17:00:00,1284365.655
1736186400,2025-01-06 18:00:00,1289184.104
1736190000,2025-01-06 19:00:00,1286502.487
1736193600,2025-01-06 20:00:00,1288006.508
1736197200,2025-01-06 21:00:00,1282610.211
1736200800,2025-01-06 22:00:00,1282864.429
1736204400,2025-01-06 23:00:00,1284508.642
1736208000,2025-01-07 00:00:00,1280404.157
1736211600,2025-01-07 01:00:00,1281249.057
1736215200,2025-01-07 02:00:00,1288905.663
1736218800,2025-01-07 03:00:00,1285706.533
1736222400,2025-01-07 04:00:00,1289166.13
1736226000,2025-01-07 05:00:00,1287502.5620000002
1736229600,2025-01-07 06:00:00,1276932.383
1736233200,2025-01-07 07:00:00,1271957.841
1736236800,2025-01-07 08:00:00,1274102.968
1736240400,2025-01-07 09:00:00,1286381.082
1736244000,2025-01-07 10:00:00,1291988.719
1736247600,2025-01-07 11:00:00,1285300.545
1736251200,2025-01-07 12:00:00,1312316.253
1736254800,2025-01-07 13:00:00,1310137.5750000002
1736258400,2025-01-07 14:00:00,1294211.465
1736262000,2025-01-07 15:00:00,1262644.588
1736265600,2025-01-07 16:00:00,1270290.003
1736269200,2025-01-07 17:00:00,1251487.684
1736272800,2025-01-07 18:00:00,1248550.579
1736276400,2025-01-07 19:00:00,1245680.431
1736280000,2025-01-07 20:00:00,1245277.223
1736283600,2025-01-07 21:00:00,1242951.487
1736287200,2025-01-07 22:00:00,1240912.096
1736290800,2025-01-07 23:00:00,1240896.912
1736294400,2025-01-08 00:00:00,1241397.931
1736298000,2025-01-08 01:00:00,1238494.993
1736301600,2025-01-08 02:00:00,1234132.686
1736305200,2025-01-08 03:00:00,1233694.973
1736308800,2025-01-08 04:00:00,1230497.477
1736312400,2025-01-08 05:00:00,1225631.252
1736316000,2025-01-08 06:00:00,1221268.802
1736319600,2025-01-08 07:00:00,1229837.966
1736323200,2025-01-08 08:00:00,1242811.312
1736326800,2025-01-08 09:00:00,1237397.859
1736330400,2025-01-08 10:00:00,1238973.4689999998
1736334000,2025-01-08 11:00:00,1238011.236
1736337600,2025-01-08 12:00:00,1236476.018
1736341200,2025-01-08 13:00:00,1233736.891
1736344800,2025-01-08 14:00:00,1232805.998
1736348400,2025-01-08 15:00:00,1230276.195
1736352000,2025-01-08 16:00:00,1223875.572
1736355600,2025-01-08 17:00:00,1224517.529
1736359200,2025-01-08 18:00:00,1209655.836
1736362800,2025-01-08 19:00:00,1203665.392
1736366400,2025-01-08 20:00:00,1204638.373
1736370000,2025-01-08 21:00:00,1206607.553
1736373600,2025-01-08 22:00:00,1202565.727
1736377200,2025-01-08 23:00:00,1199157.2680000002
1736380800,2025-01-09 00:00:00,1203106.361
1736384400,2025-01-09 01:00:00,1205366.9870000002
1736388000,2025-01-09 02:00:00,1204996.639
1736391600,2025-01-09 03:00:00,1204039.993
1736395200,2025-01-09 04:00:00,1204129.509
1736398800,2025-01-09 05:00:00,1205692.783
1736402400,2025-01-09 06:00:00,1207030.929
1736406000,2025-01-09 07:00:00,1199558.553
1736409600,2025-01-09 08:00:00,1202682.117
1736413200,2025-01-09 09:00:00,1206778.38
1736416800,2025-01-09 10:00:00,1213606.239
1736420400,2025-01-09 11:00:00,1221374.481
1736424000,2025-01-09 12:00:00,1223361.733
1736427600,2025-01-09 13:00:00,1210446.632
1736431200,2025-01-09 14:00:00,1207854.679
1736434800,2025-01-09 15:00:00,1226911.542
1736438400,2025-01-09 16:00:00,1236043.583
1736442000,2025-01-09 17:00:00,1235038.279
1736445600,2025-01-09 18:00:00,1224363.898
1736449200,2025-01-09 19:00:00,1214549.808
1736452800,2025-01-09 20:00:00,1209628.525
1736456400,2025-01-09 21:00:00,1207623.962
1736460000,2025-01-09 22:00:00,1211189.195
1736463600,2025-01-09 23:00:00,1215455.591
1736467200,2025-01-10 00:00:00,1219401.715
1736470800,2025-01-10 01:00:00,1219363.832
1736474400,2025-01-10 02:00:00,1222765.253
1736478000,2025-01-10 03:00:00,1224980.667
1736481600,2025-01-10 04:00:00,1227568.991
1736485200,2025-01-10 05:00:00,1227968.827
1736488800,2025-01-10 06:00:00,1230026.597
1736492400,2025-01-10 07:00:00,1234407.177
1736496000,2025-01-10 08:00:00,1233049.537
1736499600,2025-01-10 09:00:00,1237656.573
1736503200,2025-01-10 10:00:00,1239436.669
1736506800,2025-01-10 11:00:00,1236692.644
1736510400,2025-01-10 12:00:00,1231755.507
1736514000,2025-01-10 13:00:00,1230993.954
1736517600,2025-01-10 14:00:00,1241799.26
1736521200,2025-01-10 15:00:00,1244885.771
1736524800,2025-01-10 16:00:00,1246172.358
1736528400,2025-01-10 17:00:00,1242717.0
1736532000,2025-01-10 18:00:00,1249387.068
1736535600,2025-01-10 19:00:00,1244669.209
1736539200,2025-01-10 20:00:00,1240049.091
1736542800,2025-01-10 21:00:00,1239258.853
1736546400,2025-01-10 22:00:00,1242218.105
1736550000,2025-01-10 23:00:00,1221908.3120000002
1736553600,2025-01-11 00:00:00,1218679.987
1736557200,2025-01-11 01:00:00,1219373.2259999998
