t,ts,value
1735689600,2025-01-01 00:00:00,133649.969
1735693200,2025-01-01 01:00:00,133668.955
1735696800,2025-01-01 02:00:00,133683.864
1735700400,2025-01-01 03:00:00,133886.608
1735704000,2025-01-01 04:00:00,133740.181
1735707600,2025-01-01 05:00:00,133608.108
1735711200,2025-01-01 06:00:00,133431.947
1735714800,2025-01-01 07:00:00,133442.987
1735718400,2025-01-01 08:00:00,133505.377
1735722000,2025-01-01 09:00:00,132832.747
1735725600,2025-01-01 10:00:00,133105.59
1735729200,2025-01-01 11:00:00,133209.146
1735732800,2025-01-01 12:00:00,133209.355
1735736400,2025-01-01 13:00:00,133265.956
1735740000,2025-01-01 14:00:00,133391.823
1735743600,2025-01-01 15:00:00,133516.859
1735747200,2025-01-01 16:00:00,133921.168
1735750800,2025-01-01 17:00:00,133791.53
1735754400,2025-01-01 18:00:00,135683.936
1735758000,2025-01-01 19:00:00,136182.65
1735761600,2025-01-01 20:00:00,136095.36
1735765200,2025-01-01 21:00:00,135168.179
1735768800,2025-01-01 22:00:00,134824.515
1735772400,2025-01-01 23:00:00,134726.342
1735776000,2025-01-02 00:00:00,134277.526
1735779600,2025-01-02 01:00:00,138422.611
1735783200,2025-01-02 02:00:00,146689.28
1735786800,2025-01-02 03:00:00,152302.455
1735790400,2025-01-02 04:00:00,151034.37
1735794000,2025-01-02 05:00:00,148735.039
1735797600,2025-01-02 06:00:00,144340.257
1735801200,2025-01-02 07:00:00,144112.083
1735804800,2025-01-02 08:00:00,144388.584
1735808400,2025-01-02 09:00:00,144644.774
1735812000,2025-01-02 10:00:00,142971.113
1735815600,2025-01-02 11:00:00,141499.751
1735819200,2025-01-02 12:00:00,140490.667
1735822800,2025-01-02 13:00:00,140731.818
1735826400,2025-01-02 14:00:00,145045.355
1735830000,2025-01-02 15:00:00,144338.513
1735833600,2025-01-02 16:00:00,144564.226
1735837200,2025-01-02 17:00:00,144584.694
1735840800,2025-01-02 18:00:00,144698.952
1735844400,2025-01-02 19:00:00,144006.528
1735848000,2025-01-02 20:00:00,143154.456
1735851600,2025-01-02 21:00:00,142483.378
1735855200,2025-01-02 22:00:00,142466.943
1735858800,2025-01-02 23:00:00,142546.191
1735862400,2025-01-03 00:00:00,142406.148
1735866000,2025-01-03 01:00:00,141876.082
1735869600,2025-01-03 02:00:00,142275.612
1735873200,2025-01-03 03:00:00,142522.646
1735876800,2025-01-03 04:00:00,142146.172
1735880400,2025-01-03 05:00:00,142574.471
1735884000,2025-01-03 06:00:00,142347.234
1735887600,2025-01-03 07:00:00,142936.568
1735891200,2025-01-03 08:00:00,142148.757
1735894800,2025-01-03 09:00:00,141884.317
1735898400,2025-01-03 10:00:00,143442.701
1735902000,2025-01-03 11:00:00,143179.364
