t,ts,value
1735689600,2025-01-01 00:00:00,5.3613
1735693200,2025-01-01 01:00:00,5.3613
1735696800,2025-01-01 02:00:00,5.2112
1735700400,2025-01-01 03:00:00,5.1958
1735704000,2025-01-01 04:00:00,5.192
1735707600,2025-01-01 05:00:00,5.1728
1735711200,2025-01-01 06:00:00,5.0827
1735714800,2025-01-01 07:00:00,4.9312
1735718400,2025-01-01 08:00:00,5.0459
1735722000,2025-01-01 09:00:00,5.1275
1735725600,2025-01-01 10:00:00,5.192
1735729200,2025-01-01 11:00:00,5.079
1735732800,2025-01-01 12:00:00,5.0168
1735736400,2025-01-01 13:00:00,5.0386
1735740000,2025-01-01 14:00:00,4.9559
1735743600,2025-01-01 15:00:00,4.8997
1735747200,2025-01-01 16:00:00,5.0386
1735750800,2025-01-01 17:00:00,4.9242
1735754400,2025-01-01 18:00:00,4.9277
1735758000,2025-01-01 19:00:00,5.0024
1735761600,2025-01-01 20:00:00,5.0096
1735765200,2025-01-01 21:00:00,4.9382
1735768800,2025-01-01 22:00:00,4.9207
1735772400,2025-01-01 23:00:00,5.035
1735776000,2025-01-02 00:00:00,5.035
1735779600,2025-01-02 01:00:00,5.1538
1735783200,2025-01-02 02:00:00,5.1614
1735786800,2025-01-02 03:00:00,5.3816
1735790400,2025-01-02 04:00:00,5.3898
1735794000,2025-01-02 05:00:00,5.3131
1735797600,2025-01-02 06:00:00,5.4226
1735801200,2025-01-02 07:00:00,5.3939
1735804800,2025-01-02 08:00:00,5.2814
1735808400,2025-01-02 09:00:00,5.3694
1735812000,2025-01-02 10:00:00,5.3012
1735815600,2025-01-02 11:00:00,5.3291
1735819200,2025-01-02 12:00:00,5.3331
1735822800,2025-01-02 13:00:00,5.2775
1735826400,2025-01-02 14:00:00,5.2344
1735830000,2025-01-02 15:00:00,5.3452
1735833600,2025-01-02 16:00:00,5.3291
1735837200,2025-01-02 17:00:00,5.4061
1735840800,2025-01-02 18:00:00,5.402
1735844400,2025-01-02 19:00:00,5.3654
1735848000,2025-01-02 20:00:00,5.398
1735851600,2025-01-02 21:00:00,5.5189
1735855200,2025-01-02 22:00:00,5.6357
1735858800,2025-01-02 23:00:00,5.6401
1735862400,2025-01-03 00:00:00,5.7935
