t,ts,value
1735689600,2025-01-01 00:00:00,4.9809
1735693200,2025-01-01 01:00:00,5.0241
1735696800,2025-01-01 02:00:00,4.8893
1735700400,2025-01-01 03:00:00,4.8617
1735704000,2025-01-01 04:00:00,4.8651
1735707600,2025-01-01 05:00:00,4.767
1735711200,2025-01-01 06:00:00,4.7937
1735714800,2025-01-01 07:00:00,4.8173
1735718400,2025-01-01 08:00:00,4.8445
1735722000,2025-01-01 09:00:00,4.963
1735725600,2025-01-01 10:00:00,4.9524
1735729200,2025-01-01 11:00:00,4.9277
1735732800,2025-01-01 12:00:00,4.7013
1735736400,2025-01-01 13:00:00,4.6915
1735740000,2025-01-01 14:00:00,4.7471
1735743600,2025-01-01 15:00:00,4.7045
1735747200,2025-01-01 16:00:00,4.5991
1735750800,2025-01-01 17:00:00,4.6915
1735754400,2025-01-01 18:00:00,4.6915
1735758000,2025-01-01 19:00:00,4.7372
1735761600,2025-01-01 20:00:00,4.7471
1735765200,2025-01-01 21:00:00,4.7274
1735768800,2025-01-01 22:00:00,4.6306
1735772400,2025-01-01 23:00:00,4.7904
1735776000,2025-01-02 00:00:00,4.7405
1735779600,2025-01-02 01:00:00,4.7307
1735783200,2025-01-02 02:00:00,4.7504
1735786800,2025-01-02 03:00:00,4.9347
1735790400,2025-01-02 04:00:00,4.9595
1735794000,2025-01-02 05:00:00,5.0205
1735797600,2025-01-02 06:00:00,5.1125
1735801200,2025-01-02 07:00:00,5.0168
1735804800,2025-01-02 08:00:00,5.0864
1735808400,2025-01-02 09:00:00,5.0132
1735812000,2025-01-02 10:00:00,4.988
1735815600,2025-01-02 11:00:00,5.0864
1735819200,2025-01-02 12:00:00,5.1087
1735822800,2025-01-02 13:00:00,5.1614
1735826400,2025-01-02 14:00:00,5.3898
1735830000,2025-01-02 15:00:00,5.2893
1735833600,2025-01-02 16:00:00,5.3291
1735837200,2025-01-02 17:00:00,5.4185
1735840800,2025-01-02 18:00:00,5.4267
1735844400,2025-01-02 19:00:00,5.4725
1735848000,2025-01-02 20:00:00,5.4893
1735851600,2025-01-02 21:00:00,5.4475
1735855200,2025-01-02 22:00:00,5.5359
1735858800,2025-01-02 23:00:00,5.5274
1735862400,2025-01-03 00:00:00,5.6445
1735866000,2025-01-03 01:00:00,5.5359
1735869600,2025-01-03 02:00:00,5.5147
1735873200,2025-01-03 03:00:00,5.5574
1735876800,2025-01-03 04:00:00,5.4267
1735880400,2025-01-03 05:00:00,5.4144
1735884000,2025-01-03 06:00:00,5.4977
1735887600,2025-01-03 07:00:00,5.4641
1735891200,2025-01-03 08:00:00,5.3532
1735894800,2025-01-03 09:00:00,5.2112
1735898400,2025-01-03 10:00:00,5.1125
1735902000,2025-01-03 11:00:00,4.988
1735905600,2025-01-03 12:00:00,4.8858
1735909200,2025-01-03 13:00:00,4.9032
1735912800,2025-01-03 14:00:00,4.8789
1735916400,2025-01-03 15:00:00,4.9382
1735920000,2025-01-03 16:00:00,5.006
1735923600,2025-01-03 17:00:00,5.2422
1735927200,2025-01-03 18:00:00,5.25
1735930800,2025-01-03 19:00:00,5.3131
1735934400,2025-01-03 20:00:00,5.6711
1735938000,2025-01-03 21:00:00,5.6578
1735941600,2025-01-03 22:00:00,5.6578
1735945200,2025-01-03 23:00:00,5.605
1735948800,2025-01-04 00:00:00,5.7069
1735952400,2025-01-04 01:00:00,5.6445
1735956000,2025-01-04 02:00:00,5.5574
1735959600,2025-01-04 03:00:00,5.6445
1735963200,2025-01-04 04:00:00,5.6401
1735966800,2025-01-04 05:00:00,5.6667
1735970400,2025-01-04 06:00:00,5.7568
1735974000,2025-01-04 07:00:00,5.7797
1735977600,2025-01-04 08:00:00,5.7981
1735981200,2025-01-04 09:00:00,5.8871
1735984800,2025-01-04 10:00:00,5.9444
1735988400,2025-01-04 11:00:00,5.9686
1735992000,2025-01-04 12:00:00,5.8074
1735995600,2025-01-04 13:00:00,5.9156
1735999200,2025-01-04 14:00:00,5.8776
1736002800,2025-01-04 15:00:00,5.9686
1736006400,2025-01-04 16:00:00,5.9061
