t,ts,value
1735689600,2025-01-01 00:00:00,2.0488
1735693200,2025-01-01 01:00:00,2.095
1735696800,2025-01-01 02:00:00,2.0386
1735700400,2025-01-01 03:00:00,2.0012
1735704000,2025-01-01 04:00:00,1.9985
1735707600,2025-01-01 05:00:00,1.9028
1735711200,2025-01-01 06:00:00,1.9438
1735714800,2025-01-01 07:00:00,1.9851
1735718400,2025-01-01 08:00:00,1.9274
1735722000,2025-01-01 09:00:00,1.9403
1735725600,2025-01-01 10:00:00,1.9621
1735729200,2025-01-01 11:00:00,2.013
1735732800,2025-01-01 12:00:00,1.9691
1735736400,2025-01-01 13:00:00,1.9638
1735740000,2025-01-01 14:00:00,1.8969
1735743600,2025-01-01 15:00:00,1.8482
1735747200,2025-01-01 16:00:00,1.8289
1735750800,2025-01-01 17:00:00,1.9214
1735754400,2025-01-01 18:00:00,1.949
1735758000,2025-01-01 19:00:00,1.9223
1735761600,2025-01-01 20:00:00,1.9568
1735765200,2025-01-01 21:00:00,1.9481
1735768800,2025-01-01 22:00:00,1.963
1735772400,2025-01-01 23:00:00,1.949
1735776000,2025-01-02 00:00:00,1.9078
1735779600,2025-01-02 01:00:00,2.0377
1735783200,2025-01-02 02:00:00,2.0912
1735786800,2025-01-02 03:00:00,2.2701
1735790400,2025-01-02 04:00:00,2.2982
1735794000,2025-01-02 05:00:00,2.3411
1735797600,2025-01-02 06:00:00,2.7439
1735801200,2025-01-02 07:00:00,2.7552
1735804800,2025-01-02 08:00:00,2.7037
1735808400,2025-01-02 09:00:00,2.4294
1735812000,2025-01-02 10:00:00,2.3864
1735815600,2025-01-02 11:00:00,2.4153
1735819200,2025-01-02 12:00:00,2.3167
1735822800,2025-01-02 13:00:00,2.399
1735826400,2025-01-02 14:00:00,2.413
1735830000,2025-01-02 15:00:00,2.42
1735833600,2025-01-02 16:00:00,2.406
1735837200,2025-01-02 17:00:00,2.4305
1735840800,2025-01-02 18:00:00,2.4352
1735844400,2025-01-02 19:00:00,2.391
1735848000,2025-01-02 20:00:00,2.4831
1735851600,2025-01-02 21:00:00,2.4258
1735855200,2025-01-02 22:00:00,2.4746
1735858800,2025-01-02 23:00:00,2.453
1735862400,2025-01-03 00:00:00,2.4341
1735866000,2025-01-03 01:00:00,2.4831
1735869600,2025-01-03 02:00:00,2.5958
1735873200,2025-01-03 03:00:00,2.5868
1735876800,2025-01-03 04:00:00,2.6127
1735880400,2025-01-03 05:00:00,2.5971
1735884000,2025-01-03 06:00:00,2.5638
1735887600,2025-01-03 07:00:00,2.5651
1735891200,2025-01-03 08:00:00,2.592
1735894800,2025-01-03 09:00:00,2.5211
1735898400,2025-01-03 10:00:00,2.3647
1735902000,2025-01-03 11:00:00,2.3289
1735905600,2025-01-03 12:00:00,2.23
1735909200,2025-01-03 13:00:00,2.3289
1735912800,2025-01-03 14:00:00,2.3311
1735916400,2025-01-03 15:00:00,2.3875
1735920000,2025-01-03 16:00:00,2.4176
1735923600,2025-01-03 17:00:00,2.4471
1735927200,2025-01-03 18:00:00,2.3898
1735930800,2025-01-03 19:00:00,2.3422
1735934400,2025-01-03 20:00:00,2.3944
1735938000,2025-01-03 21:00:00,2.3212
1735941600,2025-01-03 22:00:00,2.3523
1735945200,2025-01-03 23:00:00,2.34
1735948800,2025-01-04 00:00:00,2.4106
1735952400,2025-01-04 01:00:00,2.3887
1735956000,2025-01-04 02:00:00,2.3568
1735959600,2025-01-04 03:00:00,2.51
1735963200,2025-01-04 04:00:00,2.5676
1735966800,2025-01-04 05:00:00,2.5689
1735970400,2025-01-04 06:00:00,2.5791
1735974000,2025-01-04 07:00:00,2.5613
1735977600,2025-01-04 08:00:00,2.7594
