t,ts,value
1735689600,2025-01-01 00:00:00,3.3611
1735693200,2025-01-01 01:00:00,3.4014
1735696800,2025-01-01 02:00:00,3.3745
1735700400,2025-01-01 03:00:00,3.3687
1735704000,2025-01-01 04:00:00,3.3497
1735707600,2025-01-01 05:00:00,3.268
1735711200,2025-01-01 06:00:00,3.2535
1735714800,2025-01-01 07:00:00,3.2427
1735718400,2025-01-01 08:00:00,3.2735
1735722000,2025-01-01 09:00:00,3.3029
1735725600,2025-01-01 10:00:00,3.3309
1735729200,2025-01-01 11:00:00,3.3271
1735732800,2025-01-01 12:00:00,3.2571
1735736400,2025-01-01 13:00:00,3.2845
1735740000,2025-01-01 14:00:00,3.1339
1735743600,2025-01-01 15:00:00,3.1017
1735747200,2025-01-01 16:00:00,3.0048
1735750800,2025-01-01 17:00:00,3.0258
1735754400,2025-01-01 18:00:00,3.1806
1735758000,2025-01-01 19:00:00,3.1824
1735761600,2025-01-01 20:00:00,3.095
1735765200,2025-01-01 21:00:00,3.1374
1735768800,2025-01-01 22:00:00,3.2034
1735772400,2025-01-01 23:00:00,3.3253
1735776000,2025-01-02 00:00:00,3.2123
1735779600,2025-01-02 01:00:00,3.2337
1735783200,2025-01-02 02:00:00,3.0766
1735786800,2025-01-02 03:00:00,3.2194
1735790400,2025-01-02 04:00:00,3.0984
1735794000,2025-01-02 05:00:00,3.1511
1735797600,2025-01-02 06:00:00,3.2105
1735801200,2025-01-02 07:00:00,3.2301
1735804800,2025-01-02 08:00:00,3.1946
1735808400,2025-01-02 09:00:00,3.223
1735812000,2025-01-02 10:00:00,3.1667
1735815600,2025-01-02 11:00:00,3.2265
1735819200,2025-01-02 12:00:00,3.3271
1735822800,2025-01-02 13:00:00,3.4131
1735826400,2025-01-02 14:00:00,3.2481
1735830000,2025-01-02 15:00:00,3.3783
1735833600,2025-01-02 16:00:00,3.4033
1735837200,2025-01-02 17:00:00,3.4883
1735840800,2025-01-02 18:00:00,3.5579
1735844400,2025-01-02 19:00:00,3.6147
1735848000,2025-01-02 20:00:00,3.6382
1735851600,2025-01-02 21:00:00,3.5956
1735855200,2025-01-02 22:00:00,3.6992
1735858800,2025-01-02 23:00:00,3.56
1735862400,2025-01-03 00:00:00,3.529
1735866000,2025-01-03 01:00:00,3.5228
1735869600,2025-01-03 02:00:00,3.5413
1735873200,2025-01-03 03:00:00,3.3592
1735876800,2025-01-03 04:00:00,3.2105
1735880400,2025-01-03 05:00:00,3.0437
1735884000,2025-01-03 06:00:00,3.042
1735887600,2025-01-03 07:00:00,2.8344
1735891200,2025-01-03 08:00:00,2.882
1735894800,2025-01-03 09:00:00,2.83
1735898400,2025-01-03 10:00:00,2.9063
1735902000,2025-01-03 11:00:00,2.937
1735905600,2025-01-03 12:00:00,2.8595
1735909200,2025-01-03 13:00:00,2.5423
1735912800,2025-01-03 14:00:00,2.5051
1735916400,2025-01-03 15:00:00,2.4376
1735920000,2025-01-03 16:00:00,2.2819
1735923600,2025-01-03 17:00:00,2.3956
1735927200,2025-01-03 18:00:00,2.4495
1735930800,2025-01-03 19:00:00,2.4471
1735934400,2025-01-03 20:00:00,2.4341
1735938000,2025-01-03 21:00:00,2.4542
1735941600,2025-01-03 22:00:00,2.4904
1735945200,2025-01-03 23:00:00,2.4002
1735948800,2025-01-04 00:00:00,2.3512
1735952400,2025-01-04 01:00:00,2.3681
1735956000,2025-01-04 02:00:00,2.5039
1735959600,2025-01-04 03:00:00,2.5149
1735963200,2025-01-04 04:00:00,2.5613
1735966800,2025-01-04 05:00:00,2.56
1735970400,2025-01-04 06:00:00,2.5474
1735974000,2025-01-04 07:00:00,2.5511
1735977600,2025-01-04 08:00:00,2.6153
1735981200,2025-01-04 09:00:00,2.7313
1735984800,2025-01-04 10:00:00,2.8256
1735988400,2025-01-04 11:00:00,2.8595
1735992000,2025-01-04 12:00:00,2.885
1735995600,2025-01-04 13:00:00,2.8153
