t,ts,value
1735689600,2025-01-01 00:00:00,3.7506
1735693200,2025-01-01 01:00:00,3.7574
1735696800,2025-01-01 02:00:00,3.7103
1735700400,2025-01-01 03:00:00,3.7148
1735704000,2025-01-01 04:00:00,3.697
1735707600,2025-01-01 05:00:00,3.6926
1735711200,2025-01-01 06:00:00,3.7037
1735714800,2025-01-01 07:00:00,3.7081
1735718400,2025-01-01 08:00:00,3.6992
1735722000,2025-01-01 09:00:00,3.717
1735725600,2025-01-01 10:00:00,3.7304
1735729200,2025-01-01 11:00:00,3.6642
1735732800,2025-01-01 12:00:00,3.6019
1735736400,2025-01-01 13:00:00,3.5893
1735740000,2025-01-01 14:00:00,3.5434
1735743600,2025-01-01 15:00:00,3.5372
1735747200,2025-01-01 16:00:00,3.5208
1735750800,2025-01-01 17:00:00,3.5641
1735754400,2025-01-01 18:00:00,3.5455
1735758000,2025-01-01 19:00:00,3.5537
1735761600,2025-01-01 20:00:00,3.4524
1735765200,2025-01-01 21:00:00,3.4703
1735768800,2025-01-01 22:00:00,3.4883
1735772400,2025-01-01 23:00:00,3.4743
1735776000,2025-01-02 00:00:00,3.5045
1735779600,2025-01-02 01:00:00,3.5767
1735783200,2025-01-02 02:00:00,3.6232
1735786800,2025-01-02 03:00:00,3.8473
1735790400,2025-01-02 04:00:00,3.8852
1735794000,2025-01-02 05:00:00,3.8544
1735797600,2025-01-02 06:00:00,3.7985
1735801200,2025-01-02 07:00:00,3.8972
1735804800,2025-01-02 08:00:00,3.9456
1735808400,2025-01-02 09:00:00,3.9044
1735812000,2025-01-02 10:00:00,3.8008
1735815600,2025-01-02 11:00:00,3.8876
1735819200,2025-01-02 12:00:00,3.89
1735822800,2025-01-02 13:00:00,3.8544
1735826400,2025-01-02 14:00:00,3.8146
1735830000,2025-01-02 15:00:00,3.9652
1735833600,2025-01-02 16:00:00,3.9116
1735837200,2025-01-02 17:00:00,3.995
1735840800,2025-01-02 18:00:00,3.9975
1735844400,2025-01-02 19:00:00,4.0403
1735848000,2025-01-02 20:00:00,4.102
1735851600,2025-01-02 21:00:00,4.1282
1735855200,2025-01-02 22:00:00,4.123
1735858800,2025-01-02 23:00:00,4.2192
1735862400,2025-01-03 00:00:00,4.3333
1735866000,2025-01-03 01:00:00,4.3107
1735869600,2025-01-03 02:00:00,4.3533
1735873200,2025-01-03 03:00:00,4.4054
1735876800,2025-01-03 04:00:00,4.3648
1735880400,2025-01-03 05:00:00,4.3505
1735884000,2025-01-03 06:00:00,4.423
1735887600,2025-01-03 07:00:00,4.4855
1735891200,2025-01-03 08:00:00,4.6054
1735894800,2025-01-03 09:00:00,4.4437
1735898400,2025-01-03 10:00:00,4.4201
1735902000,2025-01-03 11:00:00,4.385
1735905600,2025-01-03 12:00:00,4.3505
1735909200,2025-01-03 13:00:00,4.4526
1735912800,2025-01-03 14:00:00,4.3735
1735916400,2025-01-03 15:00:00,4.2938
1735920000,2025-01-03 16:00:00,3.9092
1735923600,2025-01-03 17:00:00,3.8473
1735927200,2025-01-03 18:00:00,3.7461
1735930800,2025-01-03 19:00:00,3.7125
1735934400,2025-01-03 20:00:00,4.0025
1735938000,2025-01-03 21:00:00,4.0403
1735941600,2025-01-03 22:00:00,3.7824
1735945200,2025-01-03 23:00:00,4.0531
1735948800,2025-01-04 00:00:00,4.0025
1735952400,2025-01-04 01:00:00,4.2576
1735956000,2025-01-04 02:00:00,4.4526
1735959600,2025-01-04 03:00:00,4.5463
1735963200,2025-01-04 04:00:00,4.5218
1735966800,2025-01-04 05:00:00,4.5249
1735970400,2025-01-04 06:00:00,4.6529
1735974000,2025-01-04 07:00:00,4.6022
1735977600,2025-01-04 08:00:00,4.6657
1735981200,2025-01-04 09:00:00,4.6433
1735984800,2025-01-04 10:00:00,4.6085
1735988400,2025-01-04 11:00:00,4.6085
1735992000,2025-01-04 12:00:00,4.618
1735995600,2025-01-04 13:00:00,4.4705
1735999200,2025-01-04 14:00:00,4.4675
1736002800,2025-01-04 15:00:00,4.4735
1736006400,2025-01-04 16:00:00,4.3792
1736010000,2025-01-04 17:00:00,4.3648
1736013600,2025-01-04 18:00:00,4.339
1736017200,2025-01-04 19:00:00,4.1813
1736020800,2025-01-04 20:00:00,4.2192
1736024400,2025-01-04 21:00:00,4.152
1736028000,2025-01-04 22:00:00,4.1335
1736031600,2025-01-04 23:00:00,4.1626
1736035200,2025-01-05 00:00:00,4.2247
1736038800,2025-01-05 01:00:00,4.4377
1736042400,2025-01-05 02:00:00,4.4675
1736046000,2025-01-05 03:00:00,4.4765
1736049600,2025-01-05 04:00:00,4.2301
1736053200,2025-01-05 05:00:00,4.2356
1736056800,2025-01-05 06:00:00,4.2138
1736060400,2025-01-05 07:00:00,4.2383
1736064000,2025-01-05 08:00:00,4.5066
1736067600,2025-01-05 09:00:00,4.5036
1736071200,2025-01-05 10:00:00,4.5525
1736074800,2025-01-05 11:00:00,4.5866
1736078400,2025-01-05 12:00:00,4.4975
1736082000,2025-01-05 13:00:00,4.5249
1736085600,2025-01-05 14:00:00,4.5866
1736089200,2025-01-05 15:00:00,4.5617
1736092800,2025-01-05 16:00:00,4.5679
1736096400,2025-01-05 17:00:00,4.5556
1736100000,2025-01-05 18:00:00,4.5804
1736103600,2025-01-05 19:00:00,4.6117
1736107200,2025-01-05 20:00:00,4.6915
1736110800,2025-01-05 21:00:00,4.7078
1736114400,2025-01-05 22:00:00,4.7241
1736118000,2025-01-05 23:00:00,4.4496
1736121600,2025-01-06 00:00:00,4.6721
1736125200,2025-01-06 01:00:00,4.6054
1736128800,2025-01-06 02:00:00,4.3079
1736132400,2025-01-06 03:00:00,4.2029
1736136000,2025-01-06 04:00:00,4.2659
1736139600,2025-01-06 05:00:00,4.2411
1736143200,2025-01-06 06:00:00,4.2743
1736146800,2025-01-06 07:00:00,4.4855
1736150400,2025-01-06 08:00:00,4.3277
1736154000,2025-01-06 09:00:00,4.4113
1736157600,2025-01-06 10:00:00,4.3648
1736161200,2025-01-06 11:00:00,4.2521
1736164800,2025-01-06 12:00:00,4.0327
1736168400,2025-01-06 13:00:00,4.0201
1736172000,2025-01-06 14:00:00,4.0403
1736175600,2025-01-06 15:00:00,3.6948
1736179200,2025-01-06 16:00:00,3.7348
1736182800,2025-01-06 17:00:00,3.9579
1736186400,2025-01-06 18:00:00,4.0531
1736190000,2025-01-06 19:00:00,4.1151
1736193600,2025-01-06 20:00:00,4.1099
1736197200,2025-01-06 21:00:00,4.1151
1736200800,2025-01-06 22:00:00,4.184
1736204400,2025-01-06 23:00:00,4.2301
1736208000,2025-01-07 00:00:00,4.3908
1736211600,2025-01-07 01:00:00,4.4555
1736215200,2025-01-07 02:00:00,4.5249
1736218800,2025-01-07 03:00:00,4.5157
1736222400,2025-01-07 04:00:00,4.5249
1736226000,2025-01-07 05:00:00,4.4795
1736229600,2025-01-07 06:00:00,4.4915
1736233200,2025-01-07 07:00:00,4.5525
1736236800,2025-01-07 08:00:00,3.9801
1736240400,2025-01-07 09:00:00,3.9776
1736244000,2025-01-07 10:00:00,3.985
1736247600,2025-01-07 11:00:00,4.2002
1736251200,2025-01-07 12:00:00,4.2687
1736254800,2025-01-07 13:00:00,4.1282
1736258400,2025-01-07 14:00:00,4.1948
1736262000,2025-01-07 15:00:00,4.5835
1736265600,2025-01-07 16:00:00,4.9488
1736269200,2025-01-07 17:00:00,4.7837
1736272800,2025-01-07 18:00:00,4.8241
1736276400,2025-01-07 19:00:00,4.6243
1736280000,2025-01-07 20:00:00,4.637
1736283600,2025-01-07 21:00:00,4.6433
1736287200,2025-01-07 22:00:00,4.5157
1736290800,2025-01-07 23:00:00,4.5279
1736294400,2025-01-08 00:00:00,4.277
1736298000,2025-01-08 01:00:00,4.2632
1736301600,2025-01-08 02:00:00,3.9456
1736305200,2025-01-08 03:00:00,3.8876
1736308800,2025-01-08 04:00:00,3.8379
1736312400,2025-01-08 05:00:00,3.845
1736316000,2025-01-08 06:00:00,3.7916
1736319600,2025-01-08 07:00:00,4.0302
1736323200,2025-01-08 08:00:00,4.0968
1736326800,2025-01-08 09:00:00,4.0916
1736330400,2025-01-08 10:00:00,4.0942
1736334000,2025-01-08 11:00:00,4.1099
1736337600,2025-01-08 12:00:00,3.8263
1736341200,2025-01-08 13:00:00,3.9603
1736344800,2025-01-08 14:00:00,3.9407
1736348400,2025-01-08 15:00:00,3.9727
1736352000,2025-01-08 16:00:00,3.8544
1736355600,2025-01-08 17:00:00,4.071
1736359200,2025-01-08 18:00:00,4.1099
1736362800,2025-01-08 19:00:00,4.211
1736366400,2025-01-08 20:00:00,4.2002
1736370000,2025-01-08 21:00:00,4.152
1736373600,2025-01-08 22:00:00,4.1467
1736377200,2025-01-08 23:00:00,4.1706
1736380800,2025-01-09 00:00:00,3.89
1736384400,2025-01-09 01:00:00,3.9188
1736388000,2025-01-09 02:00:00,3.8497
1736391600,2025-01-09 03:00:00,3.8426
1736395200,2025-01-09 04:00:00,3.8591
1736398800,2025-01-09 05:00:00,3.8733
1736402400,2025-01-09 06:00:00,3.8473
1736406000,2025-01-09 07:00:00,3.6838
1736409600,2025-01-09 08:00:00,3.7574
1736413200,2025-01-09 09:00:00,3.7529
1736416800,2025-01-09 10:00:00,3.7939
1736420400,2025-01-09 11:00:00,3.7687
1736424000,2025-01-09 12:00:00,3.7506
1736427600,2025-01-09 13:00:00,3.7416
1736431200,2025-01-09 14:00:00,3.7847
1736434800,2025-01-09 15:00:00,3.8054
1736438400,2025-01-09 16:00:00,3.8286
1736442000,2025-01-09 17:00:00,3.8309
1736445600,2025-01-09 18:00:00,3.8286
1736449200,2025-01-09 19:00:00,4.005
1736452800,2025-01-09 20:00:00,4.0327
1736456400,2025-01-09 21:00:00,3.985
1736460000,2025-01-09 22:00:00,3.9727
1736463600,2025-01-09 23:00:00,4.0226
1736467200,2025-01-10 00:00:00,3.8123
1736470800,2025-01-10 01:00:00,3.8054
1736474400,2025-01-10 02:00:00,3.7371
1736478000,2025-01-10 03:00:00,3.7214
1736481600,2025-01-10 04:00:00,3.7192
1736485200,2025-01-10 05:00:00,3.8286
1736488800,2025-01-10 06:00:00,3.8286
1736492400,2025-01-10 07:00:00,3.8544
1736496000,2025-01-10 08:00:00,3.8379
1736499600,2025-01-10 09:00:00,3.8544
1736503200,2025-01-10 10:00:00,3.8403
1736506800,2025-01-10 11:00:00,3.8544
1736510400,2025-01-10 12:00:00,3.8077
