t,ts,value
1735689600,2025-01-01 00:00:00,2.406
1735693200,2025-01-01 01:00:00,2.4211
1735696800,2025-01-01 02:00:00,2.4025
1735700400,2025-01-01 03:00:00,2.4258
1735704000,2025-01-01 04:00:00,2.4188
1735707600,2025-01-01 05:00:00,2.4435
1735711200,2025-01-01 06:00:00,2.465
1735714800,2025-01-01 07:00:00,2.4795
1735718400,2025-01-01 08:00:00,2.4807
1735722000,2025-01-01 09:00:00,2.4807
1735725600,2025-01-01 10:00:00,2.5112
1735729200,2025-01-01 11:00:00,2.5224
1735732800,2025-01-01 12:00:00,2.5088
1735736400,2025-01-01 13:00:00,2.4953
1735740000,2025-01-01 14:00:00,2.5224
1735743600,2025-01-01 15:00:00,2.4495
1735747200,2025-01-01 16:00:00,2.4235
1735750800,2025-01-01 17:00:00,2.4483
1735754400,2025-01-01 18:00:00,2.4072
1735758000,2025-01-01 19:00:00,2.4258
1735761600,2025-01-01 20:00:00,2.4258
1735765200,2025-01-01 21:00:00,2.4518
1735768800,2025-01-01 22:00:00,2.465
1735772400,2025-01-01 23:00:00,2.4376
1735776000,2025-01-02 00:00:00,2.4211
1735779600,2025-01-02 01:00:00,2.3967
1735783200,2025-01-02 02:00:00,2.4095
1735786800,2025-01-02 03:00:00,2.4626
1735790400,2025-01-02 04:00:00,2.4686
1735794000,2025-01-02 05:00:00,2.4868
1735797600,2025-01-02 06:00:00,2.5817
1735801200,2025-01-02 07:00:00,2.6036
1735804800,2025-01-02 08:00:00,2.56
1735808400,2025-01-02 09:00:00,2.5997
1735812000,2025-01-02 10:00:00,2.6075
1735815600,2025-01-02 11:00:00,2.5817
1735819200,2025-01-02 12:00:00,2.5753
1735822800,2025-01-02 13:00:00,2.5524
1735826400,2025-01-02 14:00:00,2.5002
1735830000,2025-01-02 15:00:00,2.5249
1735833600,2025-01-02 16:00:00,2.5842
1735837200,2025-01-02 17:00:00,2.5298
1735840800,2025-01-02 18:00:00,2.5461
1735844400,2025-01-02 19:00:00,2.5039
1735848000,2025-01-02 20:00:00,2.5199
1735851600,2025-01-02 21:00:00,2.5249
1735855200,2025-01-02 22:00:00,2.5842
1735858800,2025-01-02 23:00:00,2.6062
1735862400,2025-01-03 00:00:00,2.6751
1735866000,2025-01-03 01:00:00,2.6643
1735869600,2025-01-03 02:00:00,2.6724
1735873200,2025-01-03 03:00:00,2.6887
1735876800,2025-01-03 04:00:00,2.6941
1735880400,2025-01-03 05:00:00,2.6765
1735884000,2025-01-03 06:00:00,2.6996
1735887600,2025-01-03 07:00:00,2.7552
1735891200,2025-01-03 08:00:00,2.7651
1735894800,2025-01-03 09:00:00,2.8256
1735898400,2025-01-03 10:00:00,2.8447
1735902000,2025-01-03 11:00:00,2.8971
1735905600,2025-01-03 12:00:00,2.8521
1735909200,2025-01-03 13:00:00,2.8715
1735912800,2025-01-03 14:00:00,2.9216
1735916400,2025-01-03 15:00:00,2.885
1735920000,2025-01-03 16:00:00,2.8835
1735923600,2025-01-03 17:00:00,2.9108
1735927200,2025-01-03 18:00:00,2.9262
1735930800,2025-01-03 19:00:00,2.92
1735934400,2025-01-03 20:00:00,2.9479
1735938000,2025-01-03 21:00:00,3.0161
1735941600,2025-01-03 22:00:00,2.9841
1735945200,2025-01-03 23:00:00,2.9698
1735948800,2025-01-04 00:00:00,2.9841
1735952400,2025-01-04 01:00:00,2.9952
1735956000,2025-01-04 02:00:00,3.1118
1735959600,2025-01-04 03:00:00,3.1356
1735963200,2025-01-04 04:00:00,3.1169
1735966800,2025-01-04 05:00:00,3.1118
1735970400,2025-01-04 06:00:00,3.1459
1735974000,2025-01-04 07:00:00,3.1719
1735977600,2025-01-04 08:00:00,3.1186
1735981200,2025-01-04 09:00:00,3.1135
1735984800,2025-01-04 10:00:00,3.1017
1735988400,2025-01-04 11:00:00,3.1068
1735992000,2025-01-04 12:00:00,3.065
1735995600,2025-01-04 13:00:00,3.08
1735999200,2025-01-04 14:00:00,2.9761
1736002800,2025-01-04 15:00:00,2.876
1736006400,2025-01-04 16:00:00,2.9185
1736010000,2025-01-04 17:00:00,2.9857
1736013600,2025-01-04 18:00:00,3.0225
1736017200,2025-01-04 19:00:00,2.9952
1736020800,2025-01-04 20:00:00,2.973
1736024400,2025-01-04 21:00:00,2.973
1736028000,2025-01-04 22:00:00,3.0064
1736031600,2025-01-04 23:00:00,2.9698
1736035200,2025-01-05 00:00:00,3.0568
1736038800,2025-01-05 01:00:00,3.0717
1736042400,2025-01-05 02:00:00,3.1
1736046000,2025-01-05 03:00:00,3.0453
1736049600,2025-01-05 04:00:00,3.0486
1736053200,2025-01-05 05:00:00,3.065
1736056800,2025-01-05 06:00:00,3.0667
1736060400,2025-01-05 07:00:00,3.0306
1736064000,2025-01-05 08:00:00,3.0145
1736067600,2025-01-05 09:00:00,2.9604
1736071200,2025-01-05 10:00:00,3.0096
1736074800,2025-01-05 11:00:00,3.0016
1736078400,2025-01-05 12:00:00,2.9777
1736082000,2025-01-05 13:00:00,2.9841
1736085600,2025-01-05 14:00:00,2.9635
1736089200,2025-01-05 15:00:00,2.9401
1736092800,2025-01-05 16:00:00,2.9047
1736096400,2025-01-05 17:00:00,2.9231
