t,ts,value
1735689600,2025-01-01 00:00:00,0.6642
1735693200,2025-01-01 01:00:00,0.6852
1735696800,2025-01-01 02:00:00,0.7059
1735700400,2025-01-01 03:00:00,0.6586
1735704000,2025-01-01 04:00:00,0.6529
1735707600,2025-01-01 05:00:00,0.642
1735711200,2025-01-01 06:00:00,0.6329
1735714800,2025-01-01 07:00:00,0.6332
1735718400,2025-01-01 08:00:00,0.6412
1735722000,2025-01-01 09:00:00,0.6606
1735725600,2025-01-01 10:00:00,0.6932
1735729200,2025-01-01 11:00:00,0.7753
1735732800,2025-01-01 12:00:00,0.7854
1735736400,2025-01-01 13:00:00,0.8109
1735740000,2025-01-01 14:00:00,0.8505
1735743600,2025-01-01 15:00:00,0.7873
1735747200,2025-01-01 16:00:00,0.7553
1735750800,2025-01-01 17:00:00,0.7593
1735754400,2025-01-01 18:00:00,0.7097
1735758000,2025-01-01 19:00:00,0.6753
1735761600,2025-01-01 20:00:00,0.6883
1735765200,2025-01-01 21:00:00,0.7018
1735768800,2025-01-01 22:00:00,0.6846
1735772400,2025-01-01 23:00:00,0.6447
1735776000,2025-01-02 00:00:00,0.6192
1735779600,2025-01-02 01:00:00,0.6215
1735783200,2025-01-02 02:00:00,0.6124
1735786800,2025-01-02 03:00:00,0.6472
1735790400,2025-01-02 04:00:00,0.6324
1735794000,2025-01-02 05:00:00,0.5731
1735797600,2025-01-02 06:00:00,0.5615
1735801200,2025-01-02 07:00:00,0.5562
1735804800,2025-01-02 08:00:00,0.5654
1735808400,2025-01-02 09:00:00,0.5625
1735812000,2025-01-02 10:00:00,0.5972
1735815600,2025-01-02 11:00:00,0.7547
1735819200,2025-01-02 12:00:00,0.7167
1735822800,2025-01-02 13:00:00,0.71
1735826400,2025-01-02 14:00:00,0.7507
1735830000,2025-01-02 15:00:00,0.7024
1735833600,2025-01-02 16:00:00,0.7599
1735837200,2025-01-02 17:00:00,0.8083
1735840800,2025-01-02 18:00:00,0.7876
1735844400,2025-01-02 19:00:00,0.7476
1735848000,2025-01-02 20:00:00,0.7535
1735851600,2025-01-02 21:00:00,0.7461
1735855200,2025-01-02 22:00:00,0.8008
1735858800,2025-01-02 23:00:00,0.8339
1735862400,2025-01-03 00:00:00,0.7803
1735866000,2025-01-03 01:00:00,0.7969
1735869600,2025-01-03 02:00:00,0.806
1735873200,2025-01-03 03:00:00,0.7778
1735876800,2025-01-03 04:00:00,0.7999
1735880400,2025-01-03 05:00:00,0.795
1735884000,2025-01-03 06:00:00,0.8262
1735887600,2025-01-03 07:00:00,0.9001
1735891200,2025-01-03 08:00:00,0.9172
1735894800,2025-01-03 09:00:00,0.955
1735898400,2025-01-03 10:00:00,0.9904
1735902000,2025-01-03 11:00:00,0.9619
1735905600,2025-01-03 12:00:00,1.0986
1735909200,2025-01-03 13:00:00,1.1496
1735912800,2025-01-03 14:00:00,1.1636
1735916400,2025-01-03 15:00:00,1.2297
1735920000,2025-01-03 16:00:00,1.1896
1735923600,2025-01-03 17:00:00,1.1749
1735927200,2025-01-03 18:00:00,1.157
1735930800,2025-01-03 19:00:00,1.1556
1735934400,2025-01-03 20:00:00,1.1673
1735938000,2025-01-03 21:00:00,1.1796
1735941600,2025-01-03 22:00:00,1.1566
1735945200,2025-01-03 23:00:00,1.157
1735948800,2025-01-04 00:00:00,1.1519
1735952400,2025-01-04 01:00:00,1.1739
1735956000,2025-01-04 02:00:00,1.1739
1735959600,2025-01-04 03:00:00,1.1882
1735963200,2025-01-04 04:00:00,1.1901
1735966800,2025-01-04 05:00:00,1.1758
1735970400,2025-01-04 06:00:00,1.1659
1735974000,2025-01-04 07:00:00,1.2207
1735977600,2025-01-04 08:00:00,1.2346
1735981200,2025-01-04 09:00:00,1.2391
1735984800,2025-01-04 10:00:00,1.2691
1735988400,2025-01-04 11:00:00,1.2821
1735992000,2025-01-04 12:00:00,1.2237
1735995600,2025-01-04 13:00:00,1.2482
1735999200,2025-01-04 14:00:00,1.1468
1736002800,2025-01-04 15:00:00,1.116
1736006400,2025-01-04 16:00:00,1.1603
1736010000,2025-01-04 17:00:00,1.1645
1736013600,2025-01-04 18:00:00,1.1
1736017200,2025-01-04 19:00:00,1.0907
1736020800,2025-01-04 20:00:00,1.1115
1736024400,2025-01-04 21:00:00,1.0781
1736028000,2025-01-04 22:00:00,1.0725
1736031600,2025-01-04 23:00:00,1.0619
1736035200,2025-01-05 00:00:00,1.1636
