t,ts,value
1735689600,2025-01-01 00:00:00,1.918
1735693200,2025-01-01 01:00:00,1.9472
1735696800,2025-01-01 02:00:00,1.9412
1735700400,2025-01-01 03:00:00,1.9665
1735704000,2025-01-01 04:00:00,1.9197
1735707600,2025-01-01 05:00:00,1.8977
1735711200,2025-01-01 06:00:00,1.8802
1735714800,2025-01-01 07:00:00,1.9189
1735718400,2025-01-01 08:00:00,1.8893
1735722000,2025-01-01 09:00:00,1.9053
1735725600,2025-01-01 10:00:00,1.9002
1735729200,2025-01-01 11:00:00,1.9011
1735732800,2025-01-01 12:00:00,1.9394
1735736400,2025-01-01 13:00:00,1.8523
1735740000,2025-01-01 14:00:00,1.8629
1735743600,2025-01-01 15:00:00,1.7917
1735747200,2025-01-01 16:00:00,1.8433
1735750800,2025-01-01 17:00:00,1.751
1735754400,2025-01-01 18:00:00,1.733
1735758000,2025-01-01 19:00:00,1.733
1735761600,2025-01-01 20:00:00,1.7322
1735765200,2025-01-01 21:00:00,1.736
1735768800,2025-01-01 22:00:00,1.7034
1735772400,2025-01-01 23:00:00,1.7525
1735776000,2025-01-02 00:00:00,1.7012
1735779600,2025-01-02 01:00:00,1.7167
1735783200,2025-01-02 02:00:00,1.6455
1735786800,2025-01-02 03:00:00,1.7196
1735790400,2025-01-02 04:00:00,1.7278
1735794000,2025-01-02 05:00:00,1.7632
1735797600,2025-01-02 06:00:00,1.7925
1735801200,2025-01-02 07:00:00,1.8329
1735804800,2025-01-02 08:00:00,1.8281
1735808400,2025-01-02 09:00:00,2.0048
1735812000,2025-01-02 10:00:00,2.0211
1735815600,2025-01-02 11:00:00,1.9709
1735819200,2025-01-02 12:00:00,1.9595
1735822800,2025-01-02 13:00:00,1.918
1735826400,2025-01-02 14:00:00,1.949
1735830000,2025-01-02 15:00:00,1.9533
1735833600,2025-01-02 16:00:00,1.9967
1735837200,2025-01-02 17:00:00,2.0694
1735840800,2025-01-02 18:00:00,2.0285
1735844400,2025-01-02 19:00:00,2.0488
1735848000,2025-01-02 20:00:00,2.0779
1735851600,2025-01-02 21:00:00,2.0902
1735855200,2025-01-02 22:00:00,2.1085
1735858800,2025-01-02 23:00:00,2.0855
1735862400,2025-01-03 00:00:00,2.0921
1735866000,2025-01-03 01:00:00,2.1182
1735869600,2025-01-03 02:00:00,2.2584
1735873200,2025-01-03 03:00:00,2.459
1735876800,2025-01-03 04:00:00,2.4638
1735880400,2025-01-03 05:00:00,2.4674
1735884000,2025-01-03 06:00:00,2.4928
1735887600,2025-01-03 07:00:00,2.5186
1735891200,2025-01-03 08:00:00,2.4686
1735894800,2025-01-03 09:00:00,2.33
1735898400,2025-01-03 10:00:00,2.2031
1735902000,2025-01-03 11:00:00,2.198
1735905600,2025-01-03 12:00:00,2.2478
1735909200,2025-01-03 13:00:00,2.252
1735912800,2025-01-03 14:00:00,2.2541
1735916400,2025-01-03 15:00:00,2.046
1735920000,2025-01-03 16:00:00,2.0731
1735923600,2025-01-03 17:00:00,2.0845
1735927200,2025-01-03 18:00:00,2.1646
1735930800,2025-01-03 19:00:00,2.1797
1735934400,2025-01-03 20:00:00,2.2404
1735938000,2025-01-03 21:00:00,2.2541
1735941600,2025-01-03 22:00:00,2.4247
1735945200,2025-01-03 23:00:00,2.4941
1735948800,2025-01-04 00:00:00,2.5868
1735952400,2025-01-04 01:00:00,2.5868
1735956000,2025-01-04 02:00:00,2.7439
1735959600,2025-01-04 03:00:00,2.7495
1735963200,2025-01-04 04:00:00,2.6603
1735966800,2025-01-04 05:00:00,2.659
1735970400,2025-01-04 06:00:00,2.6603
1735974000,2025-01-04 07:00:00,2.6657
1735977600,2025-01-04 08:00:00,2.7793
1735981200,2025-01-04 09:00:00,2.7175
1735984800,2025-01-04 10:00:00,2.7425
1735988400,2025-01-04 11:00:00,2.6179
1735992000,2025-01-04 12:00:00,2.6298
1735995600,2025-01-04 13:00:00,2.6576
1735999200,2025-01-04 14:00:00,2.6311
1736002800,2025-01-04 15:00:00,2.6036
1736006400,2025-01-04 16:00:00,2.6075
1736010000,2025-01-04 17:00:00,2.6483
1736013600,2025-01-04 18:00:00,2.6536
1736017200,2025-01-04 19:00:00,2.6324
1736020800,2025-01-04 20:00:00,2.601
1736024400,2025-01-04 21:00:00,2.6617
1736028000,2025-01-04 22:00:00,2.6805
