t,ts,value
1735689600,2025-01-01 00:00:00,1434144.2244900009
1735693200,2025-01-01 01:00:00,835739.6510399994
1735696800,2025-01-01 02:00:00,740292.8086499993
1735700400,2025-01-01 03:00:00,468199.1505599999
1735704000,2025-01-01 04:00:00,955523.2206700012
1735707600,2025-01-01 05:00:00,1150241.5347999998
1735711200,2025-01-01 06:00:00,644944.7911700006
1735714800,2025-01-01 07:00:00,615824.5355800005
1735718400,2025-01-01 08:00:00,1328446.186479999
1735722000,2025-01-01 09:00:00,2880612.2851299923
1735725600,2025-01-01 10:00:00,1395019.0397300026
1735729200,2025-01-01 11:00:00,1270601.812200002
1735732800,2025-01-01 12:00:00,1467093.909740004
1735736400,2025-01-01 13:00:00,1709868.2831599973
1735740000,2025-01-01 14:00:00,1956336.5439900008
1735743600,2025-01-01 15:00:00,1243931.8109000016
1735747200,2025-01-01 16:00:00,1720705.5436600016
1735750800,2025-01-01 17:00:00,1602900.4050899998
1735754400,2025-01-01 18:00:00,2183381.1641200017
1735758000,2025-01-01 19:00:00,2287257.056710001
1735761600,2025-01-01 20:00:00,1711267.330040003
1735765200,2025-01-01 21:00:00,1821085.5041599995
1735768800,2025-01-01 22:00:00,1013740.6634800012
1735772400,2025-01-01 23:00:00,1125414.7818000002
1735776000,2025-01-02 00:00:00,4690789.852119981
1735779600,2025-01-02 01:00:00,1412332.7939299974
1735783200,2025-01-02 02:00:00,1179939.5556399983
1735786800,2025-01-02 03:00:00,535495.0791100007
1735790400,2025-01-02 04:00:00,1808692.0761200013
1735794000,2025-01-02 05:00:00,2323038.152799999
1735797600,2025-01-02 06:00:00,1218015.8932999992
1735801200,2025-01-02 07:00:00,1702575.6519799982
1735804800,2025-01-02 08:00:00,2272143.931279992
1735808400,2025-01-02 09:00:00,2205949.188700002
1735812000,2025-01-02 10:00:00,2452826.2975700004
1735815600,2025-01-02 11:00:00,1743251.470219998
1735819200,2025-01-02 12:00:00,4743369.36045
1735822800,2025-01-02 13:00:00,1873404.2882700027
1735826400,2025-01-02 14:00:00,5339230.16822999
1735830000,2025-01-02 15:00:00,2070016.2560199955
1735833600,2025-01-02 16:00:00,2200363.540420003
1735837200,2025-01-02 17:00:00,2619560.788550001
1735840800,2025-01-02 18:00:00,1985109.5464800023
1735844400,2025-01-02 19:00:00,1693248.8121500025
1735848000,2025-01-02 20:00:00,1033048.4749000012
