t,ts,value
1735689600,2025-01-01 00:00:00,4705765.511999993
1735693200,2025-01-01 01:00:00,2131909.929999999
1735696800,2025-01-01 02:00:00,3404162.997
1735700400,2025-01-01 03:00:00,2033511.361999999
1735704000,2025-01-01 04:00:00,2561210.870000006
1735707600,2025-01-01 05:00:00,2287486.3180000014
1735711200,2025-01-01 06:00:00,2002426.2050000008
1735714800,2025-01-01 07:00:00,1563781.5859999994
1735718400,2025-01-01 08:00:00,2500417.871999996
1735722000,2025-01-01 09:00:00,5840319.464000003
1735725600,2025-01-01 10:00:00,2780067.746
1735729200,2025-01-01 11:00:00,3803765.619000002
1735732800,2025-01-01 12:00:00,3692716.537000003
1735736400,2025-01-01 13:00:00,3552698.856999999
1735740000,2025-01-01 14:00:00,4326571.982000003
1735743600,2025-01-01 15:00:00,4671594.997000004
1735747200,2025-01-01 16:00:00,6888875.435999985
1735750800,2025-01-01 17:00:00,6233845.266000005
1735754400,2025-01-01 18:00:00,6900209.878000005
1735758000,2025-01-01 19:00:00,8911184.740000006
1735761600,2025-01-01 20:00:00,11200002.46799999
1735765200,2025-01-01 21:00:00,6826076.066000017
1735768800,2025-01-01 22:00:00,4089490.747999992
1735772400,2025-01-01 23:00:00,5385235.02399999
1735776000,2025-01-02 00:00:00,13701713.007999988
1735779600,2025-01-02 01:00:00,5100956.572000002
1735783200,2025-01-02 02:00:00,3089540.1640000003
1735786800,2025-01-02 03:00:00,2688019.394999998
1735790400,2025-01-02 04:00:00,6875291.770999992
1735794000,2025-01-02 05:00:00,3647963.7209999976
1735797600,2025-01-02 06:00:00,5551195.179999991
1735801200,2025-01-02 07:00:00,2987165.812000002
1735804800,2025-01-02 08:00:00,4609445.9199999925
1735808400,2025-01-02 09:00:00,11605386.663000006
1735812000,2025-01-02 10:00:00,10415286.231999984
1735815600,2025-01-02 11:00:00,6882315.717000023
1735819200,2025-01-02 12:00:00,5752902.530999991
1735822800,2025-01-02 13:00:00,7637485.025000004
1735826400,2025-01-02 14:00:00,13074670.880999958
1735830000,2025-01-02 15:00:00,7231153.86599996
1735833600,2025-01-02 16:00:00,7784933.692000027
1735837200,2025-01-02 17:00:00,9159088.968000006
1735840800,2025-01-02 18:00:00,4139138.506999996
1735844400,2025-01-02 19:00:00,3524944.102000005
1735848000,2025-01-02 20:00:00,5098768.541000017
1735851600,2025-01-02 21:00:00,3267300.8300000047
1735855200,2025-01-02 22:00:00,3842067.821000001
1735858800,2025-01-02 23:00:00,2870191.470000002
1735862400,2025-01-03 00:00:00,3343063.1299999948
1735866000,2025-01-03 01:00:00,5976905.590999968
1735869600,2025-01-03 02:00:00,6986042.21200003
1735873200,2025-01-03 03:00:00,3530010.444
1735876800,2025-01-03 04:00:00,3268883.7870000023
1735880400,2025-01-03 05:00:00,3751262.484000004
1735884000,2025-01-03 06:00:00,6014453.175000027
1735887600,2025-01-03 07:00:00,5369468.495999987
1735891200,2025-01-03 08:00:00,11709944.74600001
1735894800,2025-01-03 09:00:00,11930472.655000009
1735898400,2025-01-03 10:00:00,11137808.30600003
1735902000,2025-01-03 11:00:00,8401381.84900002
1735905600,2025-01-03 12:00:00,7604699.429000027
1735909200,2025-01-03 13:00:00,6302412.879000015
1735912800,2025-01-03 14:00:00,10271546.253999967
1735916400,2025-01-03 15:00:00,11414442.60200001
1735920000,2025-01-03 16:00:00,11546597.449999996
1735923600,2025-01-03 17:00:00,5763216.252999988
1735927200,2025-01-03 18:00:00,5118771.116999981
1735930800,2025-01-03 19:00:00,6283698.252999987
1735934400,2025-01-03 20:00:00,6930279.212999977
1735938000,2025-01-03 21:00:00,4707961.051999994
1735941600,2025-01-03 22:00:00,5406658.461000004
1735945200,2025-01-03 23:00:00,3133013.323000002
1735948800,2025-01-04 00:00:00,5904462.891000002
1735952400,2025-01-04 01:00:00,4751275.853999998
1735956000,2025-01-04 02:00:00,5338107.598999995
1735959600,2025-01-04 03:00:00,3178597.1069999984
1735963200,2025-01-04 04:00:00,2784601.9330000025
1735966800,2025-01-04 05:00:00,1985072.6249999977
1735970400,2025-01-04 06:00:00,1749700.5630000024
1735974000,2025-01-04 07:00:00,3578614.928999996
1735977600,2025-01-04 08:00:00,4049312.164000004
1735981200,2025-01-04 09:00:00,3452018.06899999
1735984800,2025-01-04 10:00:00,4427004.284999997
1735988400,2025-01-04 11:00:00,2625797.7540000034
1735992000,2025-01-04 12:00:00,7678102.392999999
1735995600,2025-01-04 13:00:00,5721610.786000004
