t,ts,value
1735689600,2025-01-01 00:00:00,266263.39182999986
1735693200,2025-01-01 01:00:00,904130.5638199992
1735696800,2025-01-01 02:00:00,271685.54971
1735700400,2025-01-01 03:00:00,121106.00582999992
1735704000,2025-01-01 04:00:00,128010.31536000008
1735707600,2025-01-01 05:00:00,307741.21482999966
1735711200,2025-01-01 06:00:00,150677.18069999988
1735714800,2025-01-01 07:00:00,124881.9266199998
1735718400,2025-01-01 08:00:00,223218.1865999996
1735722000,2025-01-01 09:00:00,825488.5505899995
1735725600,2025-01-01 10:00:00,193476.29447
1735729200,2025-01-01 11:00:00,200441.8235699996
1735732800,2025-01-01 12:00:00,213777.78165999992
1735736400,2025-01-01 13:00:00,599341.36149
1735740000,2025-01-01 14:00:00,341979.33242999966
1735743600,2025-01-01 15:00:00,430258.4065899996
1735747200,2025-01-01 16:00:00,640200.6991799987
1735750800,2025-01-01 17:00:00,282236.59561999975
1735754400,2025-01-01 18:00:00,247503.35441
1735758000,2025-01-01 19:00:00,270273.47542999993
1735761600,2025-01-01 20:00:00,382022.93463000027
1735765200,2025-01-01 21:00:00,257348.89500999963
1735768800,2025-01-01 22:00:00,154420.3451800001
1735772400,2025-01-01 23:00:00,246376.0779500005
1735776000,2025-01-02 00:00:00,926958.2805600002
1735779600,2025-01-02 01:00:00,415666.22131999966
1735783200,2025-01-02 02:00:00,274184.3840599999
1735786800,2025-01-02 03:00:00,155932.6342199998
1735790400,2025-01-02 04:00:00,290188.1386499998
1735794000,2025-01-02 05:00:00,263309.0649200001
1735797600,2025-01-02 06:00:00,161242.60440000004
1735801200,2025-01-02 07:00:00,458532.0946400003
1735804800,2025-01-02 08:00:00,381507.8952299997
1735808400,2025-01-02 09:00:00,364448.64252
1735812000,2025-01-02 10:00:00,435592.37974000006
1735815600,2025-01-02 11:00:00,187972.64101000005
1735819200,2025-01-02 12:00:00,283419.54034000007
1735822800,2025-01-02 13:00:00,231656.8462600003
1735826400,2025-01-02 14:00:00,826551.1360799997
1735830000,2025-01-02 15:00:00,404726.35955999966
1735833600,2025-01-02 16:00:00,537559.8207100001
1735837200,2025-01-02 17:00:00,334047.84695999994
1735840800,2025-01-02 18:00:00,242748.1332900005
1735844400,2025-01-02 19:00:00,157015.16938000006
1735848000,2025-01-02 20:00:00,248158.5897800004
1735851600,2025-01-02 21:00:00,145331.90660000013
1735855200,2025-01-02 22:00:00,356444.39789999905
1735858800,2025-01-02 23:00:00,274805.4807299999
1735862400,2025-01-03 00:00:00,677582.6457899993
1735866000,2025-01-03 01:00:00,400411.08982
1735869600,2025-01-03 02:00:00,325364.20139
1735873200,2025-01-03 03:00:00,287539.1697600002
1735876800,2025-01-03 04:00:00,321148.26320999995
1735880400,2025-01-03 05:00:00,209610.22835000005
1735884000,2025-01-03 06:00:00,166072.52862000003
1735887600,2025-01-03 07:00:00,396575.68876999966
1735891200,2025-01-03 08:00:00,438879.3908500003
1735894800,2025-01-03 09:00:00,534646.6453200004
1735898400,2025-01-03 10:00:00,254898.62525000016
1735902000,2025-01-03 11:00:00,505494.88368000026
1735905600,2025-01-03 12:00:00,568213.7468400011
1735909200,2025-01-03 13:00:00,503951.3146700003
1735912800,2025-01-03 14:00:00,673706.7558999999
1735916400,2025-01-03 15:00:00,777538.098409999
1735920000,2025-01-03 16:00:00,506565.2953500001
1735923600,2025-01-03 17:00:00,270348.5654299999
1735927200,2025-01-03 18:00:00,797541.2447500003
1735930800,2025-01-03 19:00:00,287495.2387999999
1735934400,2025-01-03 20:00:00,980811.65276
1735938000,2025-01-03 21:00:00,217123.61976
1735941600,2025-01-03 22:00:00,180433.51508000024
1735945200,2025-01-03 23:00:00,169107.17816999985
1735948800,2025-01-04 00:00:00,425809.9138500007
1735952400,2025-01-04 01:00:00,332455.48469999974
1735956000,2025-01-04 02:00:00,284578.43422999984
1735959600,2025-01-04 03:00:00,463157.76286
1735963200,2025-01-04 04:00:00,176423.01803999982
1735966800,2025-01-04 05:00:00,196839.65020999985
1735970400,2025-01-04 06:00:00,267081.76605999994
1735974000,2025-01-04 07:00:00,404690.1375700004
1735977600,2025-01-04 08:00:00,286799.9824200001
1735981200,2025-01-04 09:00:00,200802.83466999995
1735984800,2025-01-04 10:00:00,339783.2978599999
1735988400,2025-01-04 11:00:00,156372.47854999988
1735992000,2025-01-04 12:00:00,435575.9792100005
1735995600,2025-01-04 13:00:00,535396.9327699994
1735999200,2025-01-04 14:00:00,363761.6158400003
1736002800,2025-01-04 15:00:00,827865.7825700003
1736006400,2025-01-04 16:00:00,580379.8431599997
1736010000,2025-01-04 17:00:00,729517.0581600008
1736013600,2025-01-04 18:00:00,282385.99427999964
1736017200,2025-01-04 19:00:00,218878.6517099998
1736020800,2025-01-04 20:00:00,681170.3558099997
1736024400,2025-01-04 21:00:00,132296.12589000014
1736028000,2025-01-04 22:00:00,147938.02891999998
1736031600,2025-01-04 23:00:00,104633.0464900001
1736035200,2025-01-05 00:00:00,195766.34100000016
1736038800,2025-01-05 01:00:00,170211.67886999997
1736042400,2025-01-05 02:00:00,209760.3261300001
1736046000,2025-01-05 03:00:00,99430.17412
1736049600,2025-01-05 04:00:00,224519.6414099999
1736053200,2025-01-05 05:00:00,185207.94484000004
1736056800,2025-01-05 06:00:00,173524.18988999983
1736060400,2025-01-05 07:00:00,224029.86321
1736064000,2025-01-05 08:00:00,835498.9195100012
1736067600,2025-01-05 09:00:00,479362.7896600001
1736071200,2025-01-05 10:00:00,338041.4564400004
1736074800,2025-01-05 11:00:00,177007.91627000022
1736078400,2025-01-05 12:00:00,503982.5554900002
1736082000,2025-01-05 13:00:00,437483.2596699996
1736085600,2025-01-05 14:00:00,618219.3981900001
1736089200,2025-01-05 15:00:00,380347.3506
1736092800,2025-01-05 16:00:00,332370.9571800001
1736096400,2025-01-05 17:00:00,289332.5977099997
1736100000,2025-01-05 18:00:00,297747.42371000006
1736103600,2025-01-05 19:00:00,201942.09902
1736107200,2025-01-05 20:00:00,343896.34847000026
1736110800,2025-01-05 21:00:00,164338.36556000003
1736114400,2025-01-05 22:00:00,368441.00213
1736118000,2025-01-05 23:00:00,492588.89048999967
1736121600,2025-01-06 00:00:00,524633.5083100003
1736125200,2025-01-06 01:00:00,509142.08157000015
1736128800,2025-01-06 02:00:00,620298.5354099998
1736132400,2025-01-06 03:00:00,334055.04914000013
1736136000,2025-01-06 04:00:00,311257.88611
1736139600,2025-01-06 05:00:00,232412.0748199998
1736143200,2025-01-06 06:00:00,333059.8733899996
1736146800,2025-01-06 07:00:00,271351.7647100003
1736150400,2025-01-06 08:00:00,356869.7543700004
1736154000,2025-01-06 09:00:00,132084.3499600001
1736157600,2025-01-06 10:00:00,286721.8499000005
1736161200,2025-01-06 11:00:00,414129.7363300003
1736164800,2025-01-06 12:00:00,293376.45027999993
1736168400,2025-01-06 13:00:00,503015.13908
1736172000,2025-01-06 14:00:00,717629.4356400005
1736175600,2025-01-06 15:00:00,1029255.0115799992
1736179200,2025-01-06 16:00:00,728369.7127600013
1736182800,2025-01-06 17:00:00,835587.7597699986
1736186400,2025-01-06 18:00:00,300458.33755000023
1736190000,2025-01-06 19:00:00,248808.6879199997
1736193600,2025-01-06 20:00:00,533910.7617399999
1736197200,2025-01-06 21:00:00,997082.8039799996
1736200800,2025-01-06 22:00:00,290894.5375800002
1736204400,2025-01-06 23:00:00,248019.42794000023
1736208000,2025-01-07 00:00:00,324186.0746399999
1736211600,2025-01-07 01:00:00,356748.1908100002
1736215200,2025-01-07 02:00:00,174501.56748000003
1736218800,2025-01-07 03:00:00,220620.0227499997
1736222400,2025-01-07 04:00:00,169497.7600699999
1736226000,2025-01-07 05:00:00,141916.5996299999
1736229600,2025-01-07 06:00:00,215516.02470000024
1736233200,2025-01-07 07:00:00,422567.40207999945
1736236800,2025-01-07 08:00:00,363810.61141000025
1736240400,2025-01-07 09:00:00,204374.38798999973
1736244000,2025-01-07 10:00:00,207933.2241700002
1736247600,2025-01-07 11:00:00,1011759.5180600004
1736251200,2025-01-07 12:00:00,527774.97776
1736254800,2025-01-07 13:00:00,248852.86078000008
1736258400,2025-01-07 14:00:00,1913911.4109499992
1736262000,2025-01-07 15:00:00,4657144.835229998
1736265600,2025-01-07 16:00:00,989282.7172000012
1736269200,2025-01-07 17:00:00,894767.7009200015
1736272800,2025-01-07 18:00:00,808220.8008500021
1736276400,2025-01-07 19:00:00,611262.36834
1736280000,2025-01-07 20:00:00,647837.0062600004
1736283600,2025-01-07 21:00:00,812881.0403000022
1736287200,2025-01-07 22:00:00,526595.9102899994
1736290800,2025-01-07 23:00:00,479890.95518000016
1736294400,2025-01-08 00:00:00,354068.51853
1736298000,2025-01-08 01:00:00,278945.5191499999
1736301600,2025-01-08 02:00:00,358610.84464
1736305200,2025-01-08 03:00:00,713413.0359300004
1736308800,2025-01-08 04:00:00,1003469.2305500014
1736312400,2025-01-08 05:00:00,526608.5274900004
1736316000,2025-01-08 06:00:00,688522.9820500006
1736319600,2025-01-08 07:00:00,483470.5945799991
1736323200,2025-01-08 08:00:00,539142.7494399997
1736326800,2025-01-08 09:00:00,528163.7771200004
1736330400,2025-01-08 10:00:00,219484.86774000069
1736334000,2025-01-08 11:00:00,604295.75709
1736337600,2025-01-08 12:00:00,420127.0156200001
1736341200,2025-01-08 13:00:00,479401.2595000004
1736344800,2025-01-08 14:00:00,445181.3703800009
1736348400,2025-01-08 15:00:00,711398.3319999998
1736352000,2025-01-08 16:00:00,532153.427940001
1736355600,2025-01-08 17:00:00,2173714.9057500013
1736359200,2025-01-08 18:00:00,1071147.8418800016
1736362800,2025-01-08 19:00:00,1122469.488520001
1736366400,2025-01-08 20:00:00,486091.00771000056
1736370000,2025-01-08 21:00:00,424978.7666600007
1736373600,2025-01-08 22:00:00,460585.8051799997
1736377200,2025-01-08 23:00:00,306798.24183
1736380800,2025-01-09 00:00:00,350040.97492
1736384400,2025-01-09 01:00:00,419644.9551400001
1736388000,2025-01-09 02:00:00,557905.377050001
1736391600,2025-01-09 03:00:00,365244.77169999946
1736395200,2025-01-09 04:00:00,261874.96708999987
1736398800,2025-01-09 05:00:00,258470.12966999988
1736402400,2025-01-09 06:00:00,242399.6569299997
1736406000,2025-01-09 07:00:00,1752308.4222499975
1736409600,2025-01-09 08:00:00,642937.8386199992
1736413200,2025-01-09 09:00:00,554175.9431900015
1736416800,2025-01-09 10:00:00,510229.8504699996
1736420400,2025-01-09 11:00:00,394004.6679700002
1736424000,2025-01-09 12:00:00,449429.27817
1736427600,2025-01-09 13:00:00,1267206.80843
1736431200,2025-01-09 14:00:00,1113430.4231500046
1736434800,2025-01-09 15:00:00,761419.9166400007
1736438400,2025-01-09 16:00:00,652163.7766600011
1736442000,2025-01-09 17:00:00,973704.2144499985
1736445600,2025-01-09 18:00:00,694698.6254599992
1736449200,2025-01-09 19:00:00,734774.3054600004
1736452800,2025-01-09 20:00:00,1112890.0249400018
1736456400,2025-01-09 21:00:00,436517.953970001
1736460000,2025-01-09 22:00:00,346994.0989499996
1736463600,2025-01-09 23:00:00,289834.9411099994
1736467200,2025-01-10 00:00:00,292631.18161000026
1736470800,2025-01-10 01:00:00,210145.6275100001
1736474400,2025-01-10 02:00:00,368795.4211799996
1736478000,2025-01-10 03:00:00,192949.67171000032
1736481600,2025-01-10 04:00:00,249324.32028000004
1736485200,2025-01-10 05:00:00,330674.70378000056
1736488800,2025-01-10 06:00:00,223721.86016999988
1736492400,2025-01-10 07:00:00,681842.6466000002
1736496000,2025-01-10 08:00:00,478303.0147500007
1736499600,2025-01-10 09:00:00,365998.1712500001
1736503200,2025-01-10 10:00:00,328495.5946299999
1736506800,2025-01-10 11:00:00,237797.60145000025
1736510400,2025-01-10 12:00:00,199937.61295999977
1736514000,2025-01-10 13:00:00,1785741.9163999998
1736517600,2025-01-10 14:00:00,629102.0546400001
1736521200,2025-01-10 15:00:00,1102941.9309499983
1736524800,2025-01-10 16:00:00,540228.6037799988
1736528400,2025-01-10 17:00:00,568808.1597699999
1736532000,2025-01-10 18:00:00,406783.0791800002
1736535600,2025-01-10 19:00:00,321055.5409200009
1736539200,2025-01-10 20:00:00,164019.0984800001
1736542800,2025-01-10 21:00:00,147690.56805
1736546400,2025-01-10 22:00:00,157552.25346000012
1736550000,2025-01-10 23:00:00,102481.34668000005
1736553600,2025-01-11 00:00:00,153084.77487
1736557200,2025-01-11 01:00:00,146845.33285000012
1736560800,2025-01-11 02:00:00,92921.63467999992
1736564400,2025-01-11 03:00:00,163417.22556000017
1736568000,2025-01-11 04:00:00,140899.67991000004
1736571600,2025-01-11 05:00:00,147103.61256999994
1736575200,2025-01-11 06:00:00,137781.64604999978
1736578800,2025-01-11 07:00:00,141525.90022
1736582400,2025-01-11 08:00:00,205812.27153000003
1736586000,2025-01-11 09:00:00,122254.13994999974
1736589600,2025-01-11 10:00:00,208601.81205000007
1736593200,2025-01-11 11:00:00,182548.5458099999
1736596800,2025-01-11 12:00:00,210511.1353099997
1736600400,2025-01-11 13:00:00,312871.61064
1736604000,2025-01-11 14:00:00,217584.71495
1736607600,2025-01-11 15:00:00,186566.06564
1736611200,2025-01-11 16:00:00,201919.4002700001
1736614800,2025-01-11 17:00:00,185612.21733999992
1736618400,2025-01-11 18:00:00,85094.29722000005
1736622000,2025-01-11 19:00:00,143705.83142
1736625600,2025-01-11 20:00:00,358195.97574000026
1736629200,2025-01-11 21:00:00,458460.8598199991
1736632800,2025-01-11 22:00:00,233071.6484800001
1736636400,2025-01-11 23:00:00,232608.88219999985
1736640000,2025-01-12 00:00:00,275966.20854
1736643600,2025-01-12 01:00:00,128774.07662000008
1736647200,2025-01-12 02:00:00,222890.27485999977
1736650800,2025-01-12 03:00:00,215058.5160000001
1736654400,2025-01-12 04:00:00,135209.93070999984
1736658000,2025-01-12 05:00:00,103184.11148000008
1736661600,2025-01-12 06:00:00,387990.67086
1736665200,2025-01-12 07:00:00,206457.3906000002
1736668800,2025-01-12 08:00:00,205470.23715999984
1736672400,2025-01-12 09:00:00,337070.78369999985
1736676000,2025-01-12 10:00:00,301613.85549999995
1736679600,2025-01-12 11:00:00,164582.16507999995
1736683200,2025-01-12 12:00:00,226270.31636999967
1736686800,2025-01-12 13:00:00,152809.51496999996
1736690400,2025-01-12 14:00:00,233573.0160599999
1736694000,2025-01-12 15:00:00,367730.5207300001
1736697600,2025-01-12 16:00:00,290020.5570599998
1736701200,2025-01-12 17:00:00,170313.78489000007
1736704800,2025-01-12 18:00:00,194885.9310600001
1736708400,2025-01-12 19:00:00,146887.72599999997
1736712000,2025-01-12 20:00:00,144254.72560000003
1736715600,2025-01-12 21:00:00,149838.27827000004
1736719200,2025-01-12 22:00:00,374505.4199300007
1736722800,2025-01-12 23:00:00,274847.2077900003
1736726400,2025-01-13 00:00:00,807226.1872899997
1736730000,2025-01-13 01:00:00,568035.9784899997
1736733600,2025-01-13 02:00:00,560976.26277
1736737200,2025-01-13 03:00:00,763418.4334099999
1736740800,2025-01-13 04:00:00,626782.1084400006
1736744400,2025-01-13 05:00:00,641400.2930400015
1736748000,2025-01-13 06:00:00,1395300.9762599985
1736751600,2025-01-13 07:00:00,443759.1310799996
1736755200,2025-01-13 08:00:00,720194.142309999
1736758800,2025-01-13 09:00:00,808367.27291
1736762400,2025-01-13 10:00:00,895887.7408100005
1736766000,2025-01-13 11:00:00,872380.6513799977
1736769600,2025-01-13 12:00:00,918414.0422799988
1736773200,2025-01-13 13:00:00,784144.8242599989
1736776800,2025-01-13 14:00:00,2009966.897559999
1736780400,2025-01-13 15:00:00,1025270.4911399994
1736784000,2025-01-13 16:00:00,834628.9753900017
1736787600,2025-01-13 17:00:00,608992.9895100003
1736791200,2025-01-13 18:00:00,707661.7798400004
1736794800,2025-01-13 19:00:00,673528.5027699992
1736798400,2025-01-13 20:00:00,645537.1293799994
1736802000,2025-01-13 21:00:00,736441.7284299998
1736805600,2025-01-13 22:00:00,483572.4023500009
1736809200,2025-01-13 23:00:00,216790.15981999983
1736812800,2025-01-14 00:00:00,354063.9752099993
1736816400,2025-01-14 01:00:00,239849.04546000008
1736820000,2025-01-14 02:00:00,217212.1853900001
1736823600,2025-01-14 03:00:00,160075.08396000002
1736827200,2025-01-14 04:00:00,286301.4918099997
1736830800,2025-01-14 05:00:00,468724.1491099991
1736834400,2025-01-14 06:00:00,213957.1003900001
1736838000,2025-01-14 07:00:00,158377.33181999993
1736841600,2025-01-14 08:00:00,320867.6133500001
1736845200,2025-01-14 09:00:00,530259.9192200002
1736848800,2025-01-14 10:00:00,455100.12516000017
1736852400,2025-01-14 11:00:00,415459.4835999999
1736856000,2025-01-14 12:00:00,913648.955830003
1736859600,2025-01-14 13:00:00,929440.3784300012
1736863200,2025-01-14 14:00:00,501121.8453200003
1736866800,2025-01-14 15:00:00,648583.3909900001
1736870400,2025-01-14 16:00:00,695012.2989799995
1736874000,2025-01-14 17:00:00,380801.6676099994
1736877600,2025-01-14 18:00:00,246527.18864
1736881200,2025-01-14 19:00:00,207141.31565999976
1736884800,2025-01-14 20:00:00,272578.9123300001
1736888400,2025-01-14 21:00:00,180791.73927000025
1736892000,2025-01-14 22:00:00,213116.2316399998
1736895600,2025-01-14 23:00:00,638783.5987900009
1736899200,2025-01-15 00:00:00,518511.2893600001
1736902800,2025-01-15 01:00:00,508181.9752899996
1736906400,2025-01-15 02:00:00,421491.49286000046
1736910000,2025-01-15 03:00:00,263800.97569000005
1736913600,2025-01-15 04:00:00,261158.3271800001
1736917200,2025-01-15 05:00:00,506004.9722499993
1736920800,2025-01-15 06:00:00,403460.5533600002
1736924400,2025-01-15 07:00:00,727774.5537300005
1736928000,2025-01-15 08:00:00,827335.8730300007
1736931600,2025-01-15 09:00:00,720099.9846699993
1736935200,2025-01-15 10:00:00,461563.2948900012
1736938800,2025-01-15 11:00:00,536600.9649200003
