t,ts,value
1735689600,2025-01-01 00:00:00,842384.9529999978
1735693200,2025-01-01 01:00:00,216096.0100000004
1735696800,2025-01-01 02:00:00,266470.0130000002
1735700400,2025-01-01 03:00:00,393640.3109999997
1735704000,2025-01-01 04:00:00,452873.874
1735707600,2025-01-01 05:00:00,294067.5349999999
1735711200,2025-01-01 06:00:00,266832.04600000003
1735714800,2025-01-01 07:00:00,141634.94100000014
1735718400,2025-01-01 08:00:00,391667.6529999998
1735722000,2025-01-01 09:00:00,600205.9689999995
1735725600,2025-01-01 10:00:00,561725.4229999998
1735729200,2025-01-01 11:00:00,442641.3720000004
1735732800,2025-01-01 12:00:00,452572.3960000014
1735736400,2025-01-01 13:00:00,786265.2979999995
1735740000,2025-01-01 14:00:00,626856.4389999995
1735743600,2025-01-01 15:00:00,804980.4260000006
1735747200,2025-01-01 16:00:00,1762747.3539999947
1735750800,2025-01-01 17:00:00,1184427.4100000027
1735754400,2025-01-01 18:00:00,1248964.093000003
1735758000,2025-01-01 19:00:00,906982.0799999988
1735761600,2025-01-01 20:00:00,1208240.8030000024
1735765200,2025-01-01 21:00:00,712147.4619999992
1735768800,2025-01-01 22:00:00,428602.7199999995
1735772400,2025-01-01 23:00:00,450318.85199999966
1735776000,2025-01-02 00:00:00,1186611.619999998
1735779600,2025-01-02 01:00:00,625810.2650000013
1735783200,2025-01-02 02:00:00,726521.4850000001
1735786800,2025-01-02 03:00:00,217752.069
1735790400,2025-01-02 04:00:00,716249.9039999996
1735794000,2025-01-02 05:00:00,368034.5590000005
1735797600,2025-01-02 06:00:00,292313.25199999975
1735801200,2025-01-02 07:00:00,377942.0680000008
1735804800,2025-01-02 08:00:00,511688.3009999997
1735808400,2025-01-02 09:00:00,825549.1190000011
1735812000,2025-01-02 10:00:00,800897.462
1735815600,2025-01-02 11:00:00,878027.2550000005
1735819200,2025-01-02 12:00:00,585515.1440000002
1735822800,2025-01-02 13:00:00,495914.7469999995
1735826400,2025-01-02 14:00:00,2225284.2610000013
1735830000,2025-01-02 15:00:00,817683.6290000014
1735833600,2025-01-02 16:00:00,987514.8370000029
1735837200,2025-01-02 17:00:00,630677.5450000003
1735840800,2025-01-02 18:00:00,492917.27200000087
1735844400,2025-01-02 19:00:00,349830.8300000001
1735848000,2025-01-02 20:00:00,478384.0210000008
1735851600,2025-01-02 21:00:00,379559.5599999992
1735855200,2025-01-02 22:00:00,503276.4150000006
1735858800,2025-01-02 23:00:00,477710.5490000005
1735862400,2025-01-03 00:00:00,473395.7820000007
1735866000,2025-01-03 01:00:00,418392.3700000001
1735869600,2025-01-03 02:00:00,590308.2629999997
1735873200,2025-01-03 03:00:00,2214713.3840000066
1735876800,2025-01-03 04:00:00,2245402.7029999928
1735880400,2025-01-03 05:00:00,995242.4540000004
1735884000,2025-01-03 06:00:00,678704.0689999986
1735887600,2025-01-03 07:00:00,746796.0519999999
1735891200,2025-01-03 08:00:00,1182581.979000002
1735894800,2025-01-03 09:00:00,1680500.208999995
1735898400,2025-01-03 10:00:00,1768387.440999997
1735902000,2025-01-03 11:00:00,3020390.671999985
1735905600,2025-01-03 12:00:00,3584151.6209999938
1735909200,2025-01-03 13:00:00,9133451.433000026
1735912800,2025-01-03 14:00:00,4144913.95
1735916400,2025-01-03 15:00:00,2902432.060999997
1735920000,2025-01-03 16:00:00,7792932.429000028
1735923600,2025-01-03 17:00:00,3124186.4699999937
1735927200,2025-01-03 18:00:00,1540277.3300000003
1735930800,2025-01-03 19:00:00,1299071.400999999
1735934400,2025-01-03 20:00:00,1500250.65
1735938000,2025-01-03 21:00:00,1076231.115000001
1735941600,2025-01-03 22:00:00,1248115.2509999971
1735945200,2025-01-03 23:00:00,2193665.7009999976
1735948800,2025-01-04 00:00:00,3094091.562999984
1735952400,2025-01-04 01:00:00,2121722.946000011
1735956000,2025-01-04 02:00:00,1315719.0139999995
1735959600,2025-01-04 03:00:00,1049151.6259999992
1735963200,2025-01-04 04:00:00,857876.8289999999
1735966800,2025-01-04 05:00:00,792574.5359999993
1735970400,2025-01-04 06:00:00,655658.1230000014
1735974000,2025-01-04 07:00:00,914524.1690000002
1735977600,2025-01-04 08:00:00,2034878.0729999973
1735981200,2025-01-04 09:00:00,1425127.7119999968
1735984800,2025-01-04 10:00:00,1004767.2399999978
1735988400,2025-01-04 11:00:00,724932.1969999995
1735992000,2025-01-04 12:00:00,1519674.9570000006
1735995600,2025-01-04 13:00:00,1880386.074999999
1735999200,2025-01-04 14:00:00,2890345.566999995
1736002800,2025-01-04 15:00:00,3147318.603000001
1736006400,2025-01-04 16:00:00,1063082.812999997
1736010000,2025-01-04 17:00:00,1146090.3790000016
1736013600,2025-01-04 18:00:00,765329.2129999984
1736017200,2025-01-04 19:00:00,477910.541
1736020800,2025-01-04 20:00:00,724260.9460000006
1736024400,2025-01-04 21:00:00,420527.3010000008
1736028000,2025-01-04 22:00:00,520449.0449999996
1736031600,2025-01-04 23:00:00,521704.728
1736035200,2025-01-05 00:00:00,763136.2700000003
1736038800,2025-01-05 01:00:00,1261957.8190000004
1736042400,2025-01-05 02:00:00,463558.4919999996
1736046000,2025-01-05 03:00:00,635903.8710000025
1736049600,2025-01-05 04:00:00,2061128.8539999984
1736053200,2025-01-05 05:00:00,535818.9610000002
1736056800,2025-01-05 06:00:00,764421.3719999999
1736060400,2025-01-05 07:00:00,709611.0110000002
1736064000,2025-01-05 08:00:00,2511219.4750000043
1736067600,2025-01-05 09:00:00,866996.2089999991
1736071200,2025-01-05 10:00:00,767253.7310000012
1736074800,2025-01-05 11:00:00,556672.7709999997
1736078400,2025-01-05 12:00:00,769232.1719999993
1736082000,2025-01-05 13:00:00,1122575.0590000008
1736085600,2025-01-05 14:00:00,1484268.1309999998
1736089200,2025-01-05 15:00:00,1035616.7059999994
1736092800,2025-01-05 16:00:00,808390.3050000006
1736096400,2025-01-05 17:00:00,540326.9839999992
1736100000,2025-01-05 18:00:00,601956.9010000005
1736103600,2025-01-05 19:00:00,399900.9749999992
1736107200,2025-01-05 20:00:00,1237001.3610000005
1736110800,2025-01-05 21:00:00,411717.5239999998
1736114400,2025-01-05 22:00:00,840027.0959999996
1736118000,2025-01-05 23:00:00,747220.0220000009
1736121600,2025-01-06 00:00:00,1548807.5790000008
1736125200,2025-01-06 01:00:00,1761364.2840000049
1736128800,2025-01-06 02:00:00,1619619.1109999984
1736132400,2025-01-06 03:00:00,1875413.8060000003
1736136000,2025-01-06 04:00:00,841976.0750000005
1736139600,2025-01-06 05:00:00,1638425.7119999998
1736143200,2025-01-06 06:00:00,870342.2329999993
1736146800,2025-01-06 07:00:00,867889.4700000002
1736150400,2025-01-06 08:00:00,761144.6459999997
1736154000,2025-01-06 09:00:00,355301.8899999999
1736157600,2025-01-06 10:00:00,567367.1649999989
1736161200,2025-01-06 11:00:00,623024.5449999997
1736164800,2025-01-06 12:00:00,690557.9350000015
1736168400,2025-01-06 13:00:00,879237.9459999994
1736172000,2025-01-06 14:00:00,2072972.3240000028
1736175600,2025-01-06 15:00:00,3096475.098000001
1736179200,2025-01-06 16:00:00,2116080.1120000016
1736182800,2025-01-06 17:00:00,1325042.5739999998
1736186400,2025-01-06 18:00:00,860108.6229999992
1736190000,2025-01-06 19:00:00,640980.4860000001
1736193600,2025-01-06 20:00:00,870987.452000003
1736197200,2025-01-06 21:00:00,721059.7329999993
1736200800,2025-01-06 22:00:00,306861.69099999976
1736204400,2025-01-06 23:00:00,448125.0000000009
1736208000,2025-01-07 00:00:00,607486.7819999997
1736211600,2025-01-07 01:00:00,419947.2099999997
1736215200,2025-01-07 02:00:00,385782.0349999996
1736218800,2025-01-07 03:00:00,341137.20199999964
1736222400,2025-01-07 04:00:00,338368.6659999996
1736226000,2025-01-07 05:00:00,522538.7789999998
1736229600,2025-01-07 06:00:00,1117928.478000003
1736233200,2025-01-07 07:00:00,1334057.6849999984
