t,ts,value
1735689600,2025-01-01 00:00:00,7817028.555310017
1735693200,2025-01-01 01:00:00,5392091.585080013
1735696800,2025-01-01 02:00:00,5312806.468189972
1735700400,2025-01-01 03:00:00,3666538.454069996
1735704000,2025-01-01 04:00:00,2968356.449099998
1735707600,2025-01-01 05:00:00,4342866.88989999
1735711200,2025-01-01 06:00:00,2625025.122670004
1735714800,2025-01-01 07:00:00,3406968.735509993
1735718400,2025-01-01 08:00:00,7051711.450729986
1735722000,2025-01-01 09:00:00,9973667.735749986
1735725600,2025-01-01 10:00:00,4602556.747669996
1735729200,2025-01-01 11:00:00,8570301.387830013
1735732800,2025-01-01 12:00:00,7097847.480099977
1735736400,2025-01-01 13:00:00,6394715.20811
1735740000,2025-01-01 14:00:00,9293404.091680013
1735743600,2025-01-01 15:00:00,7227386.212469997
1735747200,2025-01-01 16:00:00,11116960.98336999
1735750800,2025-01-01 17:00:00,13223702.322840016
1735754400,2025-01-01 18:00:00,10624013.044839982
1735758000,2025-01-01 19:00:00,18975154.32037009
1735761600,2025-01-01 20:00:00,17929871.837980065
1735765200,2025-01-01 21:00:00,7985709.461109987
1735768800,2025-01-01 22:00:00,4312810.86162
1735772400,2025-01-01 23:00:00,6959848.847850019
1735776000,2025-01-02 00:00:00,25147377.417540096
1735779600,2025-01-02 01:00:00,12119006.223840008
1735783200,2025-01-02 02:00:00,6851387.152269986
1735786800,2025-01-02 03:00:00,3610242.310649987
1735790400,2025-01-02 04:00:00,8294749.253579996
1735794000,2025-01-02 05:00:00,9440311.570219954
1735797600,2025-01-02 06:00:00,5935037.124729987
1735801200,2025-01-02 07:00:00,8636484.82635999
1735804800,2025-01-02 08:00:00,8337072.937649961
1735808400,2025-01-02 09:00:00,9526644.077850046
1735812000,2025-01-02 10:00:00,12474541.456939954
1735815600,2025-01-02 11:00:00,9379578.058559952
1735819200,2025-01-02 12:00:00,9911650.133940002
1735822800,2025-01-02 13:00:00,6346714.243099993
1735826400,2025-01-02 14:00:00,18418038.746739928
1735830000,2025-01-02 15:00:00,12158477.647899956
1735833600,2025-01-02 16:00:00,10603851.292220028
1735837200,2025-01-02 17:00:00,11710424.86953002
1735840800,2025-01-02 18:00:00,4258526.765619994
1735844400,2025-01-02 19:00:00,3700925.826480005
1735848000,2025-01-02 20:00:00,4472833.02725999
1735851600,2025-01-02 21:00:00,4007177.3656999934
1735855200,2025-01-02 22:00:00,5256360.680980004
1735858800,2025-01-02 23:00:00,4326031.525359993
1735862400,2025-01-03 00:00:00,4701554.90385999
1735866000,2025-01-03 01:00:00,6061638.886159984
1735869600,2025-01-03 02:00:00,7653466.713409996
1735873200,2025-01-03 03:00:00,6117710.311519983
1735876800,2025-01-03 04:00:00,4270972.65755
1735880400,2025-01-03 05:00:00,4619021.863220015
1735884000,2025-01-03 06:00:00,5151375.071970007
1735887600,2025-01-03 07:00:00,6681932.362020013
1735891200,2025-01-03 08:00:00,10623909.509540038
1735894800,2025-01-03 09:00:00,10959448.203859964
1735898400,2025-01-03 10:00:00,7744840.818329988
1735902000,2025-01-03 11:00:00,10191196.92747003
1735905600,2025-01-03 12:00:00,11585011.570719987
1735909200,2025-01-03 13:00:00,10278267.394090028
1735912800,2025-01-03 14:00:00,18262901.839090016
1735916400,2025-01-03 15:00:00,17577653.862849906
1735920000,2025-01-03 16:00:00,22192176.39489006
1735923600,2025-01-03 17:00:00,11492393.89908998
1735927200,2025-01-03 18:00:00,9729162.911229996
1735930800,2025-01-03 19:00:00,9330095.88237005
1735934400,2025-01-03 20:00:00,7206869.375749972
1735938000,2025-01-03 21:00:00,6163554.530059986
1735941600,2025-01-03 22:00:00,5340986.21594
1735945200,2025-01-03 23:00:00,3832510.26869
1735948800,2025-01-04 00:00:00,6139862.567950002
1735952400,2025-01-04 01:00:00,7006965.981390009
1735956000,2025-01-04 02:00:00,6566742.959310007
1735959600,2025-01-04 03:00:00,4250252.669399996
1735963200,2025-01-04 04:00:00,4456737.081760002
1735966800,2025-01-04 05:00:00,3634907.429510002
1735970400,2025-01-04 06:00:00,3396538.442050002
1735974000,2025-01-04 07:00:00,4923394.017739992
1735977600,2025-01-04 08:00:00,6589236.201620016
1735981200,2025-01-04 09:00:00,3387678.10211999
1735984800,2025-01-04 10:00:00,7585193.983449984
1735988400,2025-01-04 11:00:00,5430397.447299986
1735992000,2025-01-04 12:00:00,12096983.326820027
1735995600,2025-01-04 13:00:00,11186989.793030033
1735999200,2025-01-04 14:00:00,9286244.91574
1736002800,2025-01-04 15:00:00,20730687.16087001
1736006400,2025-01-04 16:00:00,12562127.945999917
1736010000,2025-01-04 17:00:00,4313743.85468
1736013600,2025-01-04 18:00:00,5527613.270520015
1736017200,2025-01-04 19:00:00,5092278.402500007
1736020800,2025-01-04 20:00:00,5734268.437319997
1736024400,2025-01-04 21:00:00,9062087.58553
1736028000,2025-01-04 22:00:00,3049213.4174899966
1736031600,2025-01-04 23:00:00,2919208.93349
1736035200,2025-01-05 00:00:00,5566114.203640012
1736038800,2025-01-05 01:00:00,4587380.6280999845
1736042400,2025-01-05 02:00:00,4063158.7425100026
1736046000,2025-01-05 03:00:00,2861561.429709996
1736049600,2025-01-05 04:00:00,6703157.156559984
1736053200,2025-01-05 05:00:00,3391699.889419988
1736056800,2025-01-05 06:00:00,2734827.664250001
1736060400,2025-01-05 07:00:00,6405128.942300015
1736064000,2025-01-05 08:00:00,10686247.42752001
1736067600,2025-01-05 09:00:00,5792323.163100015
1736071200,2025-01-05 10:00:00,6549529.442860012
1736074800,2025-01-05 11:00:00,4417425.8643599935
1736078400,2025-01-05 12:00:00,7826923.438220001
1736082000,2025-01-05 13:00:00,4369613.34402
1736085600,2025-01-05 14:00:00,10013710.308290016
1736089200,2025-01-05 15:00:00,6621592.524419969
1736092800,2025-01-05 16:00:00,6107350.657490005
1736096400,2025-01-05 17:00:00,6476813.655939986
1736100000,2025-01-05 18:00:00,4811010.475069991
1736103600,2025-01-05 19:00:00,2898782.0636300016
1736107200,2025-01-05 20:00:00,4238698.226249983
1736110800,2025-01-05 21:00:00,2486847.3642800027
1736114400,2025-01-05 22:00:00,2461033.3654800016
1736118000,2025-01-05 23:00:00,5780077.453539994
1736121600,2025-01-06 00:00:00,7609197.427950004
1736125200,2025-01-06 01:00:00,9847310.513309982
1736128800,2025-01-06 02:00:00,18007351.56663002
1736132400,2025-01-06 03:00:00,10538172.351189964
1736136000,2025-01-06 04:00:00,10911976.972579977
1736139600,2025-01-06 05:00:00,8127854.9981600065
1736143200,2025-01-06 06:00:00,8359871.562919999
1736146800,2025-01-06 07:00:00,7306846.805830019
1736150400,2025-01-06 08:00:00,7525286.576379972
1736154000,2025-01-06 09:00:00,4072135.565379998
1736157600,2025-01-06 10:00:00,3242119.429799995
1736161200,2025-01-06 11:00:00,6968797.7699400205
1736164800,2025-01-06 12:00:00,7775701.248809983
1736168400,2025-01-06 13:00:00,11829087.255550036
