t,ts,value
1735689600,2025-01-01 00:00:00,6902568.964399978
1735693200,2025-01-01 01:00:00,8541544.952600008
1735696800,2025-01-01 02:00:00,6099307.610199984
1735700400,2025-01-01 03:00:00,8046568.211300013
1735704000,2025-01-01 04:00:00,3185856.127199988
1735707600,2025-01-01 05:00:00,2529267.3558999994
1735711200,2025-01-01 06:00:00,2932530.3754999903
1735714800,2025-01-01 07:00:00,2708861.238700002
1735718400,2025-01-01 08:00:00,4419494.864300019
1735722000,2025-01-01 09:00:00,8992280.317100018
1735725600,2025-01-01 10:00:00,9703633.840500012
1735729200,2025-01-01 11:00:00,7366926.892000027
1735732800,2025-01-01 12:00:00,6216718.821200002
1735736400,2025-01-01 13:00:00,8062541.212499997
1735740000,2025-01-01 14:00:00,10822617.48459994
1735743600,2025-01-01 15:00:00,5229146.460500013
1735747200,2025-01-01 16:00:00,6885615.893100008
1735750800,2025-01-01 17:00:00,4136038.792900023
1735754400,2025-01-01 18:00:00,3955001.3345999937
1735758000,2025-01-01 19:00:00,5643770.263299981
1735761600,2025-01-01 20:00:00,4801500.646199982
1735765200,2025-01-01 21:00:00,3246571.2030999926
1735768800,2025-01-01 22:00:00,3132824.895900017
1735772400,2025-01-01 23:00:00,4226750.488499992
1735776000,2025-01-02 00:00:00,31127156.50889969
1735779600,2025-01-02 01:00:00,8121806.833700019
1735783200,2025-01-02 02:00:00,10547922.835000033
1735786800,2025-01-02 03:00:00,10068291.356400035
1735790400,2025-01-02 04:00:00,16831261.31260003
1735794000,2025-01-02 05:00:00,8990737.312200008
1735797600,2025-01-02 06:00:00,7967666.715900025
1735801200,2025-01-02 07:00:00,4917985.055199983
1735804800,2025-01-02 08:00:00,9137349.512600034
1735808400,2025-01-02 09:00:00,16436444.110200014
1735812000,2025-01-02 10:00:00,11950543.30950003
1735815600,2025-01-02 11:00:00,8738440.545799984
1735819200,2025-01-02 12:00:00,7918900.067600007
1735822800,2025-01-02 13:00:00,8566774.170800002
1735826400,2025-01-02 14:00:00,19086867.11079998
1735830000,2025-01-02 15:00:00,22734559.430999845
1735833600,2025-01-02 16:00:00,14473101.893500011
1735837200,2025-01-02 17:00:00,13455908.868499998
1735840800,2025-01-02 18:00:00,4913896.4279000405
1735844400,2025-01-02 19:00:00,9742816.441899952
1735848000,2025-01-02 20:00:00,3041595.3392000254
1735851600,2025-01-02 21:00:00,2917195.2726000017
1735855200,2025-01-02 22:00:00,5162605.537600035
1735858800,2025-01-02 23:00:00,3235242.576000014
1735862400,2025-01-03 00:00:00,5663445.657799999
1735866000,2025-01-03 01:00:00,9244591.802899975
1735869600,2025-01-03 02:00:00,8905482.535400042
1735873200,2025-01-03 03:00:00,5373160.132399983
1735876800,2025-01-03 04:00:00,3861120.520100005
1735880400,2025-01-03 05:00:00,3815921.137699991
1735884000,2025-01-03 06:00:00,6161774.229100009
1735887600,2025-01-03 07:00:00,19124804.701199964
1735891200,2025-01-03 08:00:00,19542504.73570008
1735894800,2025-01-03 09:00:00,9359588.933400065
1735898400,2025-01-03 10:00:00,7063348.549500031
1735902000,2025-01-03 11:00:00,6976535.515399997
1735905600,2025-01-03 12:00:00,13872113.83160001
1735909200,2025-01-03 13:00:00,7301784.313000001
1735912800,2025-01-03 14:00:00,15919316.258299978
1735916400,2025-01-03 15:00:00,13014129.68079996
1735920000,2025-01-03 16:00:00,26645647.274700165
1735923600,2025-01-03 17:00:00,17243995.24409999
1735927200,2025-01-03 18:00:00,8468203.631799975
1735930800,2025-01-03 19:00:00,7431056.495299987
1735934400,2025-01-03 20:00:00,13697497.401200006
1735938000,2025-01-03 21:00:00,7046272.519000013
1735941600,2025-01-03 22:00:00,4851821.980700006
1735945200,2025-01-03 23:00:00,5765335.108900006
1735948800,2025-01-04 00:00:00,18190275.008299984
1735952400,2025-01-04 01:00:00,9259836.151299994
1735956000,2025-01-04 02:00:00,9151010.234299984
1735959600,2025-01-04 03:00:00,11680980.264999997
1735963200,2025-01-04 04:00:00,9759137.098999972
1735966800,2025-01-04 05:00:00,4926842.99159998
1735970400,2025-01-04 06:00:00,3864122.4190999935
1735974000,2025-01-04 07:00:00,3783561.165600002
1735977600,2025-01-04 08:00:00,10587240.6979
1735981200,2025-01-04 09:00:00,6728809.767200024
1735984800,2025-01-04 10:00:00,6185560.683800061
1735988400,2025-01-04 11:00:00,3356212.514899976
1735992000,2025-01-04 12:00:00,10391961.031800028
1735995600,2025-01-04 13:00:00,11030079.063900065
1735999200,2025-01-04 14:00:00,4663808.105599996
1736002800,2025-01-04 15:00:00,26804036.74309995
1736006400,2025-01-04 16:00:00,7399764.073299989
1736010000,2025-01-04 17:00:00,4585117.597900048
1736013600,2025-01-04 18:00:00,6895516.827000054
1736017200,2025-01-04 19:00:00,3555833.508199978
1736020800,2025-01-04 20:00:00,4521658.211600008
1736024400,2025-01-04 21:00:00,6324816.4269999815
1736028000,2025-01-04 22:00:00,4592945.681500023
1736031600,2025-01-04 23:00:00,4221248.973700015
1736035200,2025-01-05 00:00:00,4326194.526600016
1736038800,2025-01-05 01:00:00,6021670.1571000125
1736042400,2025-01-05 02:00:00,4453615.000400021
1736046000,2025-01-05 03:00:00,3395351.61670002
1736049600,2025-01-05 04:00:00,3756231.176500003
1736053200,2025-01-05 05:00:00,4568525.413900006
1736056800,2025-01-05 06:00:00,3055441.034200003
1736060400,2025-01-05 07:00:00,2018650.634699993
1736064000,2025-01-05 08:00:00,10392361.059100011
1736067600,2025-01-05 09:00:00,16546389.38040006
1736071200,2025-01-05 10:00:00,6851127.689400015
1736074800,2025-01-05 11:00:00,3422024.5683999923
1736078400,2025-01-05 12:00:00,5205711.017999998
1736082000,2025-01-05 13:00:00,4041377.962399982
1736085600,2025-01-05 14:00:00,13786073.387999946
1736089200,2025-01-05 15:00:00,7527314.888400022
1736092800,2025-01-05 16:00:00,4950832.9010000415
1736096400,2025-01-05 17:00:00,5073733.752900029
1736100000,2025-01-05 18:00:00,3780724.5265999846
1736103600,2025-01-05 19:00:00,3225396.978100004
1736107200,2025-01-05 20:00:00,4958913.660599973
1736110800,2025-01-05 21:00:00,2472256.3815000043
1736114400,2025-01-05 22:00:00,3752130.604600003
1736118000,2025-01-05 23:00:00,4228276.29679999
1736121600,2025-01-06 00:00:00,6926677.566999986
1736125200,2025-01-06 01:00:00,9067222.2612
1736128800,2025-01-06 02:00:00,19585599.44350005
1736132400,2025-01-06 03:00:00,4349800.550399998
1736136000,2025-01-06 04:00:00,5279906.931700048
1736139600,2025-01-06 05:00:00,4438244.7073
1736143200,2025-01-06 06:00:00,7241283.306399974
1736146800,2025-01-06 07:00:00,10458560.832299983
1736150400,2025-01-06 08:00:00,9777082.752800008
1736154000,2025-01-06 09:00:00,10105060.9585
1736157600,2025-01-06 10:00:00,15240752.424900046
1736161200,2025-01-06 11:00:00,10112663.247700015
1736164800,2025-01-06 12:00:00,6467682.126699998
1736168400,2025-01-06 13:00:00,10198197.96449997
1736172000,2025-01-06 14:00:00,25104659.50289981
1736175600,2025-01-06 15:00:00,19897455.132500064
1736179200,2025-01-06 16:00:00,45638679.41100039
1736182800,2025-01-06 17:00:00,25457949.608499818
1736186400,2025-01-06 18:00:00,5736891.9476999855
1736190000,2025-01-06 19:00:00,6704986.53150002
1736193600,2025-01-06 20:00:00,32977066.806199867
1736197200,2025-01-06 21:00:00,36887369.95299981
1736200800,2025-01-06 22:00:00,17957321.31209997
1736204400,2025-01-06 23:00:00,29975393.470399994
1736208000,2025-01-07 00:00:00,16392183.483500104
1736211600,2025-01-07 01:00:00,8148391.738500007
1736215200,2025-01-07 02:00:00,13055072.065899985
1736218800,2025-01-07 03:00:00,5667983.591700003
1736222400,2025-01-07 04:00:00,6858018.787999935
1736226000,2025-01-07 05:00:00,11782775.014199749
1736229600,2025-01-07 06:00:00,9483437.251499863
1736233200,2025-01-07 07:00:00,9058025.667799952
1736236800,2025-01-07 08:00:00,9848103.38629978
1736240400,2025-01-07 09:00:00,13851689.343700076
1736244000,2025-01-07 10:00:00,8240255.784100004
1736247600,2025-01-07 11:00:00,15007447.19580001
1736251200,2025-01-07 12:00:00,8054739.84739997
1736254800,2025-01-07 13:00:00,4751593.540199996
1736258400,2025-01-07 14:00:00,23208554.122299954
1736262000,2025-01-07 15:00:00,116553531.1466996
1736265600,2025-01-07 16:00:00,26094362.16129969
1736269200,2025-01-07 17:00:00,17423688.786800027
1736272800,2025-01-07 18:00:00,11564821.443699976
1736276400,2025-01-07 19:00:00,39622251.99109992
1736280000,2025-01-07 20:00:00,16165967.045500057
