t,ts,value
1735689600,2025-01-01 00:00:00,494355.2409999996
1735693200,2025-01-01 01:00:00,349304.21799999964
1735696800,2025-01-01 02:00:00,233452.2790000002
1735700400,2025-01-01 03:00:00,518186.919
1735704000,2025-01-01 04:00:00,461630.2510000005
1735707600,2025-01-01 05:00:00,301691.8309999997
1735711200,2025-01-01 06:00:00,320199.3449999997
1735714800,2025-01-01 07:00:00,164427.53399999993
1735718400,2025-01-01 08:00:00,557797.6840000006
1735722000,2025-01-01 09:00:00,730976.8209999999
1735725600,2025-01-01 10:00:00,555098.1579999997
1735729200,2025-01-01 11:00:00,341571.335
1735732800,2025-01-01 12:00:00,344458.7400000003
1735736400,2025-01-01 13:00:00,821832.6430000011
1735740000,2025-01-01 14:00:00,661289.0639999992
1735743600,2025-01-01 15:00:00,601862.9480000004
1735747200,2025-01-01 16:00:00,1310155.8130000017
1735750800,2025-01-01 17:00:00,1143632.9299999964
1735754400,2025-01-01 18:00:00,1139940.9730000016
1735758000,2025-01-01 19:00:00,842461.4310000011
1735761600,2025-01-01 20:00:00,922738.6750000004
1735765200,2025-01-01 21:00:00,803387.6269999995
1735768800,2025-01-01 22:00:00,490933.5849999998
1735772400,2025-01-01 23:00:00,296827.038
1735776000,2025-01-02 00:00:00,1085079.7459999984
1735779600,2025-01-02 01:00:00,640800.3740000017
1735783200,2025-01-02 02:00:00,684062.6150000005
1735786800,2025-01-02 03:00:00,457669.5679999997
1735790400,2025-01-02 04:00:00,647804.4460000013
1735794000,2025-01-02 05:00:00,391643.6680000005
1735797600,2025-01-02 06:00:00,417250.2579999999
1735801200,2025-01-02 07:00:00,445253.62199999887
1735804800,2025-01-02 08:00:00,420671.0689999994
1735808400,2025-01-02 09:00:00,920788.689999999
1735812000,2025-01-02 10:00:00,1001802.5309999991
1735815600,2025-01-02 11:00:00,835910.0429999992
1735819200,2025-01-02 12:00:00,1018866.1459999988
1735822800,2025-01-02 13:00:00,550664.6880000008
1735826400,2025-01-02 14:00:00,1861706.8170000007
1735830000,2025-01-02 15:00:00,1015096.3949999989
