t,ts,value
1735689600,2025-01-01 00:00:00,816223.3877999982
1735693200,2025-01-01 01:00:00,610363.9071099999
1735696800,2025-01-01 02:00:00,191712.69129000057
1735700400,2025-01-01 03:00:00,298227.9902199995
1735704000,2025-01-01 04:00:00,323633.68368
1735707600,2025-01-01 05:00:00,406485.4709200001
1735711200,2025-01-01 06:00:00,428432.5483800007
1735714800,2025-01-01 07:00:00,377409.3807400002
1735718400,2025-01-01 08:00:00,516045.66260000016
1735722000,2025-01-01 09:00:00,898809.0109699994
1735725600,2025-01-01 10:00:00,297374.1391600004
1735729200,2025-01-01 11:00:00,402675.6997699998
1735732800,2025-01-01 12:00:00,575021.278209999
1735736400,2025-01-01 13:00:00,674596.2513999993
1735740000,2025-01-01 14:00:00,512994.559260001
1735743600,2025-01-01 15:00:00,1430079.4370400023
1735747200,2025-01-01 16:00:00,1025310.8599699984
1735750800,2025-01-01 17:00:00,801557.5737599998
1735754400,2025-01-01 18:00:00,642471.5175100004
1735758000,2025-01-01 19:00:00,832202.5505700014
1735761600,2025-01-01 20:00:00,675386.7121999987
1735765200,2025-01-01 21:00:00,519657.6423600005
1735768800,2025-01-01 22:00:00,434570.4183599996
1735772400,2025-01-01 23:00:00,612109.4150999985
1735776000,2025-01-02 00:00:00,984824.09836
1735779600,2025-01-02 01:00:00,517531.1558800001
1735783200,2025-01-02 02:00:00,1265709.2528400011
1735786800,2025-01-02 03:00:00,1849417.328420001
1735790400,2025-01-02 04:00:00,786645.4373999999
1735794000,2025-01-02 05:00:00,881447.7143600016
1735797600,2025-01-02 06:00:00,750695.2139099996
1735801200,2025-01-02 07:00:00,673087.9575500009
1735804800,2025-01-02 08:00:00,664443.9403100003
1735808400,2025-01-02 09:00:00,3131087.368180005
1735812000,2025-01-02 10:00:00,654418.6388399993
1735815600,2025-01-02 11:00:00,704828.9796500003
1735819200,2025-01-02 12:00:00,717109.9828200014
1735822800,2025-01-02 13:00:00,960414.2036800008
1735826400,2025-01-02 14:00:00,1516308.958830007
1735830000,2025-01-02 15:00:00,1126522.345739999
1735833600,2025-01-02 16:00:00,1163724.9985800008
1735837200,2025-01-02 17:00:00,930346.20437
1735840800,2025-01-02 18:00:00,480181.9365100008
1735844400,2025-01-02 19:00:00,371606.8536400004
1735848000,2025-01-02 20:00:00,570158.2741300012
1735851600,2025-01-02 21:00:00,313289.4798400003
1735855200,2025-01-02 22:00:00,341680.96716999984
1735858800,2025-01-02 23:00:00,223925.6956000001
1735862400,2025-01-03 00:00:00,449327.88658000046
1735866000,2025-01-03 01:00:00,463406.7377599997
1735869600,2025-01-03 02:00:00,1184247.4788699988
1735873200,2025-01-03 03:00:00,677086.917140001
1735876800,2025-01-03 04:00:00,704596.943219999
1735880400,2025-01-03 05:00:00,696490.3914999996
1735884000,2025-01-03 06:00:00,379052.9148299997
1735887600,2025-01-03 07:00:00,772288.3418599983
1735891200,2025-01-03 08:00:00,550091.0618500003
1735894800,2025-01-03 09:00:00,670834.2110299998
1735898400,2025-01-03 10:00:00,390493.0977899997
1735902000,2025-01-03 11:00:00,444568.0495400006
1735905600,2025-01-03 12:00:00,556175.9385200003
1735909200,2025-01-03 13:00:00,763229.1157400006
1735912800,2025-01-03 14:00:00,983029.773100002
1735916400,2025-01-03 15:00:00,1323292.6480499995
1735920000,2025-01-03 16:00:00,961110.0711899992
1735923600,2025-01-03 17:00:00,651790.9257000004
1735927200,2025-01-03 18:00:00,729409.5307499999
1735930800,2025-01-03 19:00:00,393417.7022800002
1735934400,2025-01-03 20:00:00,690649.0054599993
1735938000,2025-01-03 21:00:00,571096.97485
1735941600,2025-01-03 22:00:00,248426.68509000007
1735945200,2025-01-03 23:00:00,733080.9591099998
1735948800,2025-01-04 00:00:00,911174.7251400003
1735952400,2025-01-04 01:00:00,533389.5792399996
1735956000,2025-01-04 02:00:00,610478.2686700005
1735959600,2025-01-04 03:00:00,166861.10242000018
1735963200,2025-01-04 04:00:00,516087.1757900007
1735966800,2025-01-04 05:00:00,387356.44116
1735970400,2025-01-04 06:00:00,195971.25525999983
1735974000,2025-01-04 07:00:00,532431.6300500003
1735977600,2025-01-04 08:00:00,737764.2347699994
1735981200,2025-01-04 09:00:00,286865.5707199997
1735984800,2025-01-04 10:00:00,563716.9726799993
1735988400,2025-01-04 11:00:00,389486.7588699995
1735992000,2025-01-04 12:00:00,503377.8427499999
1735995600,2025-01-04 13:00:00,281521.37387999974
1735999200,2025-01-04 14:00:00,270464.6201799997
1736002800,2025-01-04 15:00:00,1613928.5524500045
1736006400,2025-01-04 16:00:00,630598.3469499997
1736010000,2025-01-04 17:00:00,275743.6580900002
1736013600,2025-01-04 18:00:00,230655.2212699997
1736017200,2025-01-04 19:00:00,299568.79026
1736020800,2025-01-04 20:00:00,173142.98025999978
1736024400,2025-01-04 21:00:00,482292.8422099993
1736028000,2025-01-04 22:00:00,213456.22876000023
1736031600,2025-01-04 23:00:00,195752.96931
1736035200,2025-01-05 00:00:00,320221.23974999983
1736038800,2025-01-05 01:00:00,680140.666279999
1736042400,2025-01-05 02:00:00,429043.0590600003
1736046000,2025-01-05 03:00:00,273190.00508000015
1736049600,2025-01-05 04:00:00,439249.0943300001
1736053200,2025-01-05 05:00:00,365001.6896000003
1736056800,2025-01-05 06:00:00,187066.31056000016
1736060400,2025-01-05 07:00:00,250881.14506000004
1736064000,2025-01-05 08:00:00,526359.0506599997
1736067600,2025-01-05 09:00:00,895380.2115499995
1736071200,2025-01-05 10:00:00,509213.9867399996
1736074800,2025-01-05 11:00:00,384061.5386399999
1736078400,2025-01-05 12:00:00,292937.37113000004
1736082000,2025-01-05 13:00:00,362072.6205900002
1736085600,2025-01-05 14:00:00,640799.1436499988
1736089200,2025-01-05 15:00:00,775479.6538700021
1736092800,2025-01-05 16:00:00,374554.6664099998
1736096400,2025-01-05 17:00:00,389477.26107
1736100000,2025-01-05 18:00:00,267585.11594999983
1736103600,2025-01-05 19:00:00,286959.4064699995
1736107200,2025-01-05 20:00:00,803203.4300300007
1736110800,2025-01-05 21:00:00,474521.7065200001
1736114400,2025-01-05 22:00:00,275337.1069099997
1736118000,2025-01-05 23:00:00,316667.30421000015
1736121600,2025-01-06 00:00:00,599235.351059999
1736125200,2025-01-06 01:00:00,683347.7475700005
1736128800,2025-01-06 02:00:00,882150.9838599999
1736132400,2025-01-06 03:00:00,529644.5616199999
1736136000,2025-01-06 04:00:00,462659.62188000063
1736139600,2025-01-06 05:00:00,397221.2937199996
1736143200,2025-01-06 06:00:00,368940.3669199997
1736146800,2025-01-06 07:00:00,502768.14382999967
1736150400,2025-01-06 08:00:00,913000.2671300012
1736154000,2025-01-06 09:00:00,319514.86084999994
1736157600,2025-01-06 10:00:00,426571.2833000003
