t,ts,value
1735689600,2025-01-01 00:00:00,2.5563
1735693200,2025-01-01 01:00:00,2.4838
1735696800,2025-01-01 02:00:00,2.5299
1735700400,2025-01-01 03:00:00,2.5176
1735704000,2025-01-01 04:00:00,2.5422
1735707600,2025-01-01 05:00:00,2.5375
1735711200,2025-01-01 06:00:00,2.5066
1735714800,2025-01-01 07:00:00,2.4351
1735718400,2025-01-01 08:00:00,2.4468
1735722000,2025-01-01 09:00:00,2.4261
1735725600,2025-01-01 10:00:00,2.4102
1735729200,2025-01-01 11:00:00,2.4503
1735732800,2025-01-01 12:00:00,2.4574
1735736400,2025-01-01 13:00:00,2.4121
1735740000,2025-01-01 14:00:00,2.4391
1735743600,2025-01-01 15:00:00,2.4005
1735747200,2025-01-01 16:00:00,2.4189
1735750800,2025-01-01 17:00:00,2.4241
1735754400,2025-01-01 18:00:00,2.4195
1735758000,2025-01-01 19:00:00,2.4115
1735761600,2025-01-01 20:00:00,2.4253
1735765200,2025-01-01 21:00:00,2.4425
1735768800,2025-01-01 22:00:00,2.4367
1735772400,2025-01-01 23:00:00,2.4305
1735776000,2025-01-02 00:00:00,2.432
1735779600,2025-01-02 01:00:00,2.4255
1735783200,2025-01-02 02:00:00,2.4147
1735786800,2025-01-02 03:00:00,2.4597
1735790400,2025-01-02 04:00:00,2.4234
1735794000,2025-01-02 05:00:00,2.4409
1735797600,2025-01-02 06:00:00,2.4634
1735801200,2025-01-02 07:00:00,2.4795
1735804800,2025-01-02 08:00:00,2.4941
1735808400,2025-01-02 09:00:00,2.4877
1735812000,2025-01-02 10:00:00,2.4638
1735815600,2025-01-02 11:00:00,2.4618
1735819200,2025-01-02 12:00:00,2.4695
1735822800,2025-01-02 13:00:00,2.504
1735826400,2025-01-02 14:00:00,2.5529
1735830000,2025-01-02 15:00:00,2.5743
1735833600,2025-01-02 16:00:00,2.5826
1735837200,2025-01-02 17:00:00,2.6247
1735840800,2025-01-02 18:00:00,2.6322
1735844400,2025-01-02 19:00:00,2.6742
1735848000,2025-01-02 20:00:00,2.6804
1735851600,2025-01-02 21:00:00,2.7218
1735855200,2025-01-02 22:00:00,2.7245
1735858800,2025-01-02 23:00:00,2.7188
1735862400,2025-01-03 00:00:00,2.7175
1735866000,2025-01-03 01:00:00,2.6965
1735869600,2025-01-03 02:00:00,2.7571
1735873200,2025-01-03 03:00:00,2.7485
1735876800,2025-01-03 04:00:00,2.7082
1735880400,2025-01-03 05:00:00,2.71
1735884000,2025-01-03 06:00:00,2.7011
1735887600,2025-01-03 07:00:00,2.7407
1735891200,2025-01-03 08:00:00,2.7454
1735894800,2025-01-03 09:00:00,2.7557
1735898400,2025-01-03 10:00:00,2.7594
1735902000,2025-01-03 11:00:00,2.7822
1735905600,2025-01-03 12:00:00,2.8394
1735909200,2025-01-03 13:00:00,2.8557
1735912800,2025-01-03 14:00:00,2.8302
1735916400,2025-01-03 15:00:00,2.812
1735920000,2025-01-03 16:00:00,2.7381
1735923600,2025-01-03 17:00:00,2.7398
1735927200,2025-01-03 18:00:00,2.7397
1735930800,2025-01-03 19:00:00,2.724
1735934400,2025-01-03 20:00:00,2.7583
1735938000,2025-01-03 21:00:00,2.7582
1735941600,2025-01-03 22:00:00,2.7836
1735945200,2025-01-03 23:00:00,2.79
1735948800,2025-01-04 00:00:00,2.774
1735952400,2025-01-04 01:00:00,2.768
1735956000,2025-01-04 02:00:00,3.0172
1735959600,2025-01-04 03:00:00,3.0077
1735963200,2025-01-04 04:00:00,2.9565
1735966800,2025-01-04 05:00:00,2.9227
1735970400,2025-01-04 06:00:00,2.8589
1735974000,2025-01-04 07:00:00,2.8855
1735977600,2025-01-04 08:00:00,2.8796
1735981200,2025-01-04 09:00:00,2.8594
1735984800,2025-01-04 10:00:00,2.8468
1735988400,2025-01-04 11:00:00,2.8267
1735992000,2025-01-04 12:00:00,2.7487
1735995600,2025-01-04 13:00:00,2.7345
