t,ts,value
1735689600,2025-01-01 00:00:00,1.4417
1735693200,2025-01-01 01:00:00,1.4295
1735696800,2025-01-01 02:00:00,1.4688
1735700400,2025-01-01 03:00:00,1.4615
1735704000,2025-01-01 04:00:00,1.46
1735707600,2025-01-01 05:00:00,1.4609
1735711200,2025-01-01 06:00:00,1.4584
1735714800,2025-01-01 07:00:00,1.4581
1735718400,2025-01-01 08:00:00,1.4549
1735722000,2025-01-01 09:00:00,1.4561
1735725600,2025-01-01 10:00:00,1.4477
1735729200,2025-01-01 11:00:00,1.4457
1735732800,2025-01-01 12:00:00,1.4415
1735736400,2025-01-01 13:00:00,1.4287
1735740000,2025-01-01 14:00:00,1.4242
1735743600,2025-01-01 15:00:00,1.4241
1735747200,2025-01-01 16:00:00,1.4257
1735750800,2025-01-01 17:00:00,1.4242
1735754400,2025-01-01 18:00:00,1.4256
1735758000,2025-01-01 19:00:00,1.4224
1735761600,2025-01-01 20:00:00,1.4228
1735765200,2025-01-01 21:00:00,1.4239
1735768800,2025-01-01 22:00:00,1.4266
1735772400,2025-01-01 23:00:00,1.426
1735776000,2025-01-02 00:00:00,1.4375
1735779600,2025-01-02 01:00:00,1.4309
1735783200,2025-01-02 02:00:00,1.4091
1735786800,2025-01-02 03:00:00,1.4795
1735790400,2025-01-02 04:00:00,1.504
1735794000,2025-01-02 05:00:00,1.5085
1735797600,2025-01-02 06:00:00,1.5022
1735801200,2025-01-02 07:00:00,1.5058
1735804800,2025-01-02 08:00:00,1.5273
1735808400,2025-01-02 09:00:00,1.5291
1735812000,2025-01-02 10:00:00,1.5271
1735815600,2025-01-02 11:00:00,1.5274
1735819200,2025-01-02 12:00:00,1.5222
1735822800,2025-01-02 13:00:00,1.5251
1735826400,2025-01-02 14:00:00,1.5289
1735830000,2025-01-02 15:00:00,1.523
1735833600,2025-01-02 16:00:00,1.5226
1735837200,2025-01-02 17:00:00,1.5213
1735840800,2025-01-02 18:00:00,1.5198
1735844400,2025-01-02 19:00:00,1.5264
1735848000,2025-01-02 20:00:00,1.5246
1735851600,2025-01-02 21:00:00,1.5263
1735855200,2025-01-02 22:00:00,1.5287
1735858800,2025-01-02 23:00:00,1.5271
1735862400,2025-01-03 00:00:00,1.5342
1735866000,2025-01-03 01:00:00,1.5292
1735869600,2025-01-03 02:00:00,1.5581
1735873200,2025-01-03 03:00:00,1.5542
1735876800,2025-01-03 04:00:00,1.5507
1735880400,2025-01-03 05:00:00,1.554
1735884000,2025-01-03 06:00:00,1.5552
1735887600,2025-01-03 07:00:00,1.5696
1735891200,2025-01-03 08:00:00,1.6225
1735894800,2025-01-03 09:00:00,1.6204
1735898400,2025-01-03 10:00:00,1.6146
1735902000,2025-01-03 11:00:00,1.6106
1735905600,2025-01-03 12:00:00,1.5976
1735909200,2025-01-03 13:00:00,1.598
1735912800,2025-01-03 14:00:00,1.6077
1735916400,2025-01-03 15:00:00,1.6156
1735920000,2025-01-03 16:00:00,1.6637
1735923600,2025-01-03 17:00:00,1.6716
1735927200,2025-01-03 18:00:00,1.6738
1735930800,2025-01-03 19:00:00,1.6659
1735934400,2025-01-03 20:00:00,1.6731
1735938000,2025-01-03 21:00:00,1.6834
1735941600,2025-01-03 22:00:00,1.6883
1735945200,2025-01-03 23:00:00,1.6958
1735948800,2025-01-04 00:00:00,1.6894
1735952400,2025-01-04 01:00:00,1.6945
1735956000,2025-01-04 02:00:00,1.7841
1735959600,2025-01-04 03:00:00,1.7675
1735963200,2025-01-04 04:00:00,1.7686
1735966800,2025-01-04 05:00:00,1.7631
1735970400,2025-01-04 06:00:00,1.7666
1735974000,2025-01-04 07:00:00,1.7616
