t,ts,value
1735689600,2025-01-01 00:00:00,3.1435
1735693200,2025-01-01 01:00:00,3.0143
1735696800,2025-01-01 02:00:00,3.0192
1735700400,2025-01-01 03:00:00,3.0359
1735704000,2025-01-01 04:00:00,3.0485
1735707600,2025-01-01 05:00:00,3.1265
1735711200,2025-01-01 06:00:00,3.1108
1735714800,2025-01-01 07:00:00,3.1123
1735718400,2025-01-01 08:00:00,3.1026
1735722000,2025-01-01 09:00:00,2.9868
1735725600,2025-01-01 10:00:00,2.9634
1735729200,2025-01-01 11:00:00,2.9556
1735732800,2025-01-01 12:00:00,2.9036
1735736400,2025-01-01 13:00:00,3.0192
1735740000,2025-01-01 14:00:00,2.9792
1735743600,2025-01-01 15:00:00,2.9754
1735747200,2025-01-01 16:00:00,2.9965
1735750800,2025-01-01 17:00:00,3.0025
1735754400,2025-01-01 18:00:00,2.99
1735758000,2025-01-01 19:00:00,2.9815
1735761600,2025-01-01 20:00:00,2.9588
1735765200,2025-01-01 21:00:00,2.9637
1735768800,2025-01-01 22:00:00,2.9878
1735772400,2025-01-01 23:00:00,2.9982
1735776000,2025-01-02 00:00:00,3.0126
1735779600,2025-01-02 01:00:00,3.0035
1735783200,2025-01-02 02:00:00,3.013
1735786800,2025-01-02 03:00:00,3.0259
1735790400,2025-01-02 04:00:00,3.054
1735794000,2025-01-02 05:00:00,3.0425
1735797600,2025-01-02 06:00:00,3.046
1735801200,2025-01-02 07:00:00,3.0407
1735804800,2025-01-02 08:00:00,3.0954
1735808400,2025-01-02 09:00:00,3.0898
1735812000,2025-01-02 10:00:00,3.0589
1735815600,2025-01-02 11:00:00,3.0846
1735819200,2025-01-02 12:00:00,3.0789
1735822800,2025-01-02 13:00:00,3.0761
1735826400,2025-01-02 14:00:00,3.1307
1735830000,2025-01-02 15:00:00,3.1163
1735833600,2025-01-02 16:00:00,3.0628
1735837200,2025-01-02 17:00:00,3.1003
1735840800,2025-01-02 18:00:00,3.1017
1735844400,2025-01-02 19:00:00,3.1203
1735848000,2025-01-02 20:00:00,3.083
1735851600,2025-01-02 21:00:00,3.0667
1735855200,2025-01-02 22:00:00,3.1438
1735858800,2025-01-02 23:00:00,2.9569
