t,ts,value
1735689600,2025-01-01 00:00:00,2.0275
1735693200,2025-01-01 01:00:00,2.0293
1735696800,2025-01-01 02:00:00,2.0274
1735700400,2025-01-01 03:00:00,2.0337
1735704000,2025-01-01 04:00:00,2.0297
1735707600,2025-01-01 05:00:00,2.0319
1735711200,2025-01-01 06:00:00,2.0273
1735714800,2025-01-01 07:00:00,2.0243
1735718400,2025-01-01 08:00:00,2.0278
1735722000,2025-01-01 09:00:00,1.9993
1735725600,2025-01-01 10:00:00,2.0013
1735729200,2025-01-01 11:00:00,1.998
1735732800,2025-01-01 12:00:00,1.9727
1735736400,2025-01-01 13:00:00,1.9688
1735740000,2025-01-01 14:00:00,1.9667
1735743600,2025-01-01 15:00:00,1.9589
1735747200,2025-01-01 16:00:00,1.9388
1735750800,2025-01-01 17:00:00,1.9689
1735754400,2025-01-01 18:00:00,1.9941
1735758000,2025-01-01 19:00:00,2.016
1735761600,2025-01-01 20:00:00,2.0126
1735765200,2025-01-01 21:00:00,2.001
1735768800,2025-01-01 22:00:00,2.0
1735772400,2025-01-01 23:00:00,2.0169
1735776000,2025-01-02 00:00:00,2.0239
1735779600,2025-01-02 01:00:00,2.0395
1735783200,2025-01-02 02:00:00,2.0407
1735786800,2025-01-02 03:00:00,2.3106
1735790400,2025-01-02 04:00:00,2.3277
1735794000,2025-01-02 05:00:00,2.3108
1735797600,2025-01-02 06:00:00,2.3237
1735801200,2025-01-02 07:00:00,2.3051
1735804800,2025-01-02 08:00:00,2.3095
1735808400,2025-01-02 09:00:00,2.2919
1735812000,2025-01-02 10:00:00,2.2689
1735815600,2025-01-02 11:00:00,2.2688
1735819200,2025-01-02 12:00:00,2.2585
1735822800,2025-01-02 13:00:00,2.2852
1735826400,2025-01-02 14:00:00,2.362
1735830000,2025-01-02 15:00:00,2.3668
1735833600,2025-01-02 16:00:00,2.367
1735837200,2025-01-02 17:00:00,2.3839
1735840800,2025-01-02 18:00:00,2.3583
1735844400,2025-01-02 19:00:00,2.3535
1735848000,2025-01-02 20:00:00,2.3565
1735851600,2025-01-02 21:00:00,2.3438
1735855200,2025-01-02 22:00:00,2.3255
1735858800,2025-01-02 23:00:00,2.355
1735862400,2025-01-03 00:00:00,2.342
1735866000,2025-01-03 01:00:00,2.3087
1735869600,2025-01-03 02:00:00,2.2573
1735873200,2025-01-03 03:00:00,2.2473
1735876800,2025-01-03 04:00:00,2.2154
1735880400,2025-01-03 05:00:00,2.2208
1735884000,2025-01-03 06:00:00,2.2255
1735887600,2025-01-03 07:00:00,2.236
1735891200,2025-01-03 08:00:00,2.2043
1735894800,2025-01-03 09:00:00,2.1435
1735898400,2025-01-03 10:00:00,2.1079
1735902000,2025-01-03 11:00:00,2.1167
1735905600,2025-01-03 12:00:00,2.1293
1735909200,2025-01-03 13:00:00,2.1504
1735912800,2025-01-03 14:00:00,2.1456
1735916400,2025-01-03 15:00:00,2.1347
1735920000,2025-01-03 16:00:00,2.0997
1735923600,2025-01-03 17:00:00,2.1662
1735927200,2025-01-03 18:00:00,2.1906
1735930800,2025-01-03 19:00:00,2.2067
1735934400,2025-01-03 20:00:00,2.2056
1735938000,2025-01-03 21:00:00,2.209
1735941600,2025-01-03 22:00:00,2.1904
1735945200,2025-01-03 23:00:00,2.192
1735948800,2025-01-04 00:00:00,2.2018
1735952400,2025-01-04 01:00:00,2.2223
1735956000,2025-01-04 02:00:00,2.2563
1735959600,2025-01-04 03:00:00,2.2542
1735963200,2025-01-04 04:00:00,2.2485
1735966800,2025-01-04 05:00:00,2.2353
1735970400,2025-01-04 06:00:00,2.2112
1735974000,2025-01-04 07:00:00,2.1962
1735977600,2025-01-04 08:00:00,2.1996
1735981200,2025-01-04 09:00:00,2.2049
1735984800,2025-01-04 10:00:00,2.2054
1735988400,2025-01-04 11:00:00,2.1915
1735992000,2025-01-04 12:00:00,2.1567
1735995600,2025-01-04 13:00:00,2.1424
1735999200,2025-01-04 14:00:00,2.126
1736002800,2025-01-04 15:00:00,2.1638
1736006400,2025-01-04 16:00:00,2.1503
1736010000,2025-01-04 17:00:00,2.15
1736013600,2025-01-04 18:00:00,2.1534
1736017200,2025-01-04 19:00:00,2.1435
1736020800,2025-01-04 20:00:00,2.128
1736024400,2025-01-04 21:00:00,2.1357
1736028000,2025-01-04 22:00:00,2.1241
1736031600,2025-01-04 23:00:00,2.1197
1736035200,2025-01-05 00:00:00,2.1312
1736038800,2025-01-05 01:00:00,2.1113
1736042400,2025-01-05 02:00:00,2.0969
1736046000,2025-01-05 03:00:00,2.0951
1736049600,2025-01-05 04:00:00,2.0913
1736053200,2025-01-05 05:00:00,2.0929
1736056800,2025-01-05 06:00:00,2.0904
1736060400,2025-01-05 07:00:00,2.092
1736064000,2025-01-05 08:00:00,2.0893
1736067600,2025-01-05 09:00:00,2.0914
1736071200,2025-01-05 10:00:00,2.0992
1736074800,2025-01-05 11:00:00,2.0894
1736078400,2025-01-05 12:00:00,2.0812
1736082000,2025-01-05 13:00:00,2.0955
1736085600,2025-01-05 14:00:00,2.097
1736089200,2025-01-05 15:00:00,2.0907
1736092800,2025-01-05 16:00:00,2.0985
1736096400,2025-01-05 17:00:00,2.0958
1736100000,2025-01-05 18:00:00,2.0828
1736103600,2025-01-05 19:00:00,2.0853
1736107200,2025-01-05 20:00:00,2.0867
1736110800,2025-01-05 21:00:00,2.0991
1736114400,2025-01-05 22:00:00,2.0941
1736118000,2025-01-05 23:00:00,2.0956
1736121600,2025-01-06 00:00:00,2.0978
1736125200,2025-01-06 01:00:00,2.0985
1736128800,2025-01-06 02:00:00,2.1287
1736132400,2025-01-06 03:00:00,2.113
1736136000,2025-01-06 04:00:00,2.1019
1736139600,2025-01-06 05:00:00,2.1084
1736143200,2025-01-06 06:00:00,2.1168
1736146800,2025-01-06 07:00:00,2.1207
1736150400,2025-01-06 08:00:00,2.0891
1736154000,2025-01-06 09:00:00,2.1129
1736157600,2025-01-06 10:00:00,2.0982
1736161200,2025-01-06 11:00:00,2.0984
1736164800,2025-01-06 12:00:00,2.0918
1736168400,2025-01-06 13:00:00,2.087
1736172000,2025-01-06 14:00:00,2.0577
1736175600,2025-01-06 15:00:00,2.0277
1736179200,2025-01-06 16:00:00,2.052
1736182800,2025-01-06 17:00:00,2.0495
1736186400,2025-01-06 18:00:00,2.0488
1736190000,2025-01-06 19:00:00,2.0405
1736193600,2025-01-06 20:00:00,2.0366
1736197200,2025-01-06 21:00:00,2.043
1736200800,2025-01-06 22:00:00,2.0434
1736204400,2025-01-06 23:00:00,2.0463
1736208000,2025-01-07 00:00:00,2.0339
1736211600,2025-01-07 01:00:00,2.0328
1736215200,2025-01-07 02:00:00,2.0318
1736218800,2025-01-07 03:00:00,2.0844
1736222400,2025-01-07 04:00:00,2.0872
1736226000,2025-01-07 05:00:00,2.0755
1736229600,2025-01-07 06:00:00,2.0656
1736233200,2025-01-07 07:00:00,2.0715
1736236800,2025-01-07 08:00:00,2.0564
1736240400,2025-01-07 09:00:00,2.0504
1736244000,2025-01-07 10:00:00,2.0245
1736247600,2025-01-07 11:00:00,2.0408
1736251200,2025-01-07 12:00:00,2.047
1736254800,2025-01-07 13:00:00,2.036
1736258400,2025-01-07 14:00:00,2.0142
1736262000,2025-01-07 15:00:00,2.0386
1736265600,2025-01-07 16:00:00,1.9593
1736269200,2025-01-07 17:00:00,1.9925
1736272800,2025-01-07 18:00:00,1.9993
1736276400,2025-01-07 19:00:00,1.9939
1736280000,2025-01-07 20:00:00,2.0177
1736283600,2025-01-07 21:00:00,2.0001
1736287200,2025-01-07 22:00:00,1.9933
1736290800,2025-01-07 23:00:00,1.9914
1736294400,2025-01-08 00:00:00,1.9924
1736298000,2025-01-08 01:00:00,1.9723
1736301600,2025-01-08 02:00:00,1.9135
1736305200,2025-01-08 03:00:00,1.8584
1736308800,2025-01-08 04:00:00,1.8412
1736312400,2025-01-08 05:00:00,1.8417
1736316000,2025-01-08 06:00:00,1.854
1736319600,2025-01-08 07:00:00,1.8465
1736323200,2025-01-08 08:00:00,1.8432
1736326800,2025-01-08 09:00:00,1.8311
1736330400,2025-01-08 10:00:00,1.826
1736334000,2025-01-08 11:00:00,1.8271
1736337600,2025-01-08 12:00:00,1.811
1736341200,2025-01-08 13:00:00,1.8093
1736344800,2025-01-08 14:00:00,1.8073
1736348400,2025-01-08 15:00:00,1.7916
1736352000,2025-01-08 16:00:00,1.8078
1736355600,2025-01-08 17:00:00,1.7802
1736359200,2025-01-08 18:00:00,1.7575
1736362800,2025-01-08 19:00:00,1.7681
1736366400,2025-01-08 20:00:00,1.7578
1736370000,2025-01-08 21:00:00,1.7344
1736373600,2025-01-08 22:00:00,1.7024
1736377200,2025-01-08 23:00:00,1.7047
1736380800,2025-01-09 00:00:00,1.7071
1736384400,2025-01-09 01:00:00,1.7167
1736388000,2025-01-09 02:00:00,1.7215
1736391600,2025-01-09 03:00:00,1.7283
1736395200,2025-01-09 04:00:00,1.725
1736398800,2025-01-09 05:00:00,1.7223
1736402400,2025-01-09 06:00:00,1.7129
1736406000,2025-01-09 07:00:00,1.7002
1736409600,2025-01-09 08:00:00,1.7328
1736413200,2025-01-09 09:00:00,1.7331
1736416800,2025-01-09 10:00:00,1.737
1736420400,2025-01-09 11:00:00,1.7378
1736424000,2025-01-09 12:00:00,1.7403
1736427600,2025-01-09 13:00:00,1.7465
1736431200,2025-01-09 14:00:00,1.8094
1736434800,2025-01-09 15:00:00,1.7818
1736438400,2025-01-09 16:00:00,1.7744
1736442000,2025-01-09 17:00:00,1.7666
1736445600,2025-01-09 18:00:00,1.7889
1736449200,2025-01-09 19:00:00,1.7749
