t,ts,value
1735689600,2025-01-01 00:00:00,3.4181
1735693200,2025-01-01 01:00:00,3.4101
1735696800,2025-01-01 02:00:00,3.3871
1735700400,2025-01-01 03:00:00,3.3931
1735704000,2025-01-01 04:00:00,3.3398
1735707600,2025-01-01 05:00:00,3.3262
1735711200,2025-01-01 06:00:00,3.3301
1735714800,2025-01-01 07:00:00,3.3156
1735718400,2025-01-01 08:00:00,3.3444
1735722000,2025-01-01 09:00:00,3.3513
1735725600,2025-01-01 10:00:00,3.2991
1735729200,2025-01-01 11:00:00,3.2616
1735732800,2025-01-01 12:00:00,3.2215
1735736400,2025-01-01 13:00:00,3.2088
1735740000,2025-01-01 14:00:00,3.2079
1735743600,2025-01-01 15:00:00,3.2199
1735747200,2025-01-01 16:00:00,3.2376
1735750800,2025-01-01 17:00:00,3.2429
1735754400,2025-01-01 18:00:00,3.2263
1735758000,2025-01-01 19:00:00,3.1972
1735761600,2025-01-01 20:00:00,3.2117
1735765200,2025-01-01 21:00:00,3.2299
1735768800,2025-01-01 22:00:00,3.2564
1735772400,2025-01-01 23:00:00,3.255
1735776000,2025-01-02 00:00:00,3.2923
1735779600,2025-01-02 01:00:00,3.2574
1735783200,2025-01-02 02:00:00,3.1933
1735786800,2025-01-02 03:00:00,3.3313
1735790400,2025-01-02 04:00:00,3.323
1735794000,2025-01-02 05:00:00,3.3286
1735797600,2025-01-02 06:00:00,3.3446
1735801200,2025-01-02 07:00:00,3.2798
1735804800,2025-01-02 08:00:00,3.3276
1735808400,2025-01-02 09:00:00,3.2991
1735812000,2025-01-02 10:00:00,3.3606
1735815600,2025-01-02 11:00:00,3.3704
1735819200,2025-01-02 12:00:00,3.3935
1735822800,2025-01-02 13:00:00,3.4135
1735826400,2025-01-02 14:00:00,3.4363
1735830000,2025-01-02 15:00:00,3.4542
1735833600,2025-01-02 16:00:00,3.4541
1735837200,2025-01-02 17:00:00,3.4395
1735840800,2025-01-02 18:00:00,3.4437
1735844400,2025-01-02 19:00:00,3.4557
1735848000,2025-01-02 20:00:00,3.4783
1735851600,2025-01-02 21:00:00,3.513
1735855200,2025-01-02 22:00:00,3.5164
1735858800,2025-01-02 23:00:00,3.5027
1735862400,2025-01-03 00:00:00,3.5076
1735866000,2025-01-03 01:00:00,3.5207
1735869600,2025-01-03 02:00:00,3.555
1735873200,2025-01-03 03:00:00,3.5141
1735876800,2025-01-03 04:00:00,3.4138
1735880400,2025-01-03 05:00:00,3.3783
1735884000,2025-01-03 06:00:00,3.3204
1735887600,2025-01-03 07:00:00,3.3062
1735891200,2025-01-03 08:00:00,3.2309
1735894800,2025-01-03 09:00:00,3.2557
1735898400,2025-01-03 10:00:00,3.2534
1735902000,2025-01-03 11:00:00,3.2177
1735905600,2025-01-03 12:00:00,3.2058
1735909200,2025-01-03 13:00:00,2.9504
1735912800,2025-01-03 14:00:00,2.8487
1735916400,2025-01-03 15:00:00,2.7419
1735920000,2025-01-03 16:00:00,2.6949
1735923600,2025-01-03 17:00:00,2.7294
1735927200,2025-01-03 18:00:00,2.7566
1735930800,2025-01-03 19:00:00,2.7341
1735934400,2025-01-03 20:00:00,2.7715
1735938000,2025-01-03 21:00:00,2.8023
1735941600,2025-01-03 22:00:00,2.7959
1735945200,2025-01-03 23:00:00,2.7969
1735948800,2025-01-04 00:00:00,2.8802
1735952400,2025-01-04 01:00:00,2.9669
1735956000,2025-01-04 02:00:00,3.2092
1735959600,2025-01-04 03:00:00,3.2035
1735963200,2025-01-04 04:00:00,3.2488
1735966800,2025-01-04 05:00:00,3.2349
1735970400,2025-01-04 06:00:00,3.1823
1735974000,2025-01-04 07:00:00,3.131
1735977600,2025-01-04 08:00:00,3.0814
1735981200,2025-01-04 09:00:00,3.1278
1735984800,2025-01-04 10:00:00,3.1775
1735988400,2025-01-04 11:00:00,3.2009
1735992000,2025-01-04 12:00:00,3.2182
1735995600,2025-01-04 13:00:00,3.2564
1735999200,2025-01-04 14:00:00,3.1805
1736002800,2025-01-04 15:00:00,3.3132
1736006400,2025-01-04 16:00:00,3.3475
1736010000,2025-01-04 17:00:00,3.2968
1736013600,2025-01-04 18:00:00,3.2889
1736017200,2025-01-04 19:00:00,3.2889
1736020800,2025-01-04 20:00:00,3.2629
1736024400,2025-01-04 21:00:00,3.2644
1736028000,2025-01-04 22:00:00,3.299
1736031600,2025-01-04 23:00:00,3.2989
1736035200,2025-01-05 00:00:00,3.3149
1736038800,2025-01-05 01:00:00,3.3441
1736042400,2025-01-05 02:00:00,3.1816
1736046000,2025-01-05 03:00:00,3.1666
1736049600,2025-01-05 04:00:00,3.1672
1736053200,2025-01-05 05:00:00,3.1695
1736056800,2025-01-05 06:00:00,3.1564
1736060400,2025-01-05 07:00:00,3.1389
1736064000,2025-01-05 08:00:00,3.1469
1736067600,2025-01-05 09:00:00,3.1788
1736071200,2025-01-05 10:00:00,3.2141
1736074800,2025-01-05 11:00:00,3.2476
1736078400,2025-01-05 12:00:00,3.2705
1736082000,2025-01-05 13:00:00,3.3231
1736085600,2025-01-05 14:00:00,3.345
1736089200,2025-01-05 15:00:00,3.3702
1736092800,2025-01-05 16:00:00,3.4044
1736096400,2025-01-05 17:00:00,3.4016
1736100000,2025-01-05 18:00:00,3.4155
1736103600,2025-01-05 19:00:00,3.414
1736107200,2025-01-05 20:00:00,3.3972
1736110800,2025-01-05 21:00:00,3.3916
1736114400,2025-01-05 22:00:00,3.3571
1736118000,2025-01-05 23:00:00,3.3426
1736121600,2025-01-06 00:00:00,3.3356
1736125200,2025-01-06 01:00:00,3.3516
1736128800,2025-01-06 02:00:00,3.282
1736132400,2025-01-06 03:00:00,3.1884
1736136000,2025-01-06 04:00:00,3.1785
1736139600,2025-01-06 05:00:00,3.2198
1736143200,2025-01-06 06:00:00,3.3207
1736146800,2025-01-06 07:00:00,3.3255
1736150400,2025-01-06 08:00:00,3.3209
1736154000,2025-01-06 09:00:00,3.3543
1736157600,2025-01-06 10:00:00,3.3548
1736161200,2025-01-06 11:00:00,3.3449
1736164800,2025-01-06 12:00:00,3.3666
1736168400,2025-01-06 13:00:00,3.3238
1736172000,2025-01-06 14:00:00,3.3544
1736175600,2025-01-06 15:00:00,3.4219
1736179200,2025-01-06 16:00:00,3.4242
1736182800,2025-01-06 17:00:00,3.4645
1736186400,2025-01-06 18:00:00,3.4128
1736190000,2025-01-06 19:00:00,3.4103
1736193600,2025-01-06 20:00:00,3.444
1736197200,2025-01-06 21:00:00,3.4342
1736200800,2025-01-06 22:00:00,3.4395
1736204400,2025-01-06 23:00:00,3.4389
1736208000,2025-01-07 00:00:00,3.3983
1736211600,2025-01-07 01:00:00,3.4077
1736215200,2025-01-07 02:00:00,3.4142
1736218800,2025-01-07 03:00:00,3.4087
1736222400,2025-01-07 04:00:00,3.4078
1736226000,2025-01-07 05:00:00,3.3956
1736229600,2025-01-07 06:00:00,3.3799
1736233200,2025-01-07 07:00:00,3.3419
1736236800,2025-01-07 08:00:00,3.3273
1736240400,2025-01-07 09:00:00,3.3558
1736244000,2025-01-07 10:00:00,3.3678
1736247600,2025-01-07 11:00:00,3.3434
1736251200,2025-01-07 12:00:00,3.3954
1736254800,2025-01-07 13:00:00,3.4011
1736258400,2025-01-07 14:00:00,3.4135
1736262000,2025-01-07 15:00:00,3.5406
1736265600,2025-01-07 16:00:00,3.4186
1736269200,2025-01-07 17:00:00,3.3653
1736272800,2025-01-07 18:00:00,3.4321
1736276400,2025-01-07 19:00:00,3.4616
1736280000,2025-01-07 20:00:00,3.4893
1736283600,2025-01-07 21:00:00,3.5258
1736287200,2025-01-07 22:00:00,3.5142
1736290800,2025-01-07 23:00:00,3.4871
1736294400,2025-01-08 00:00:00,3.4867
1736298000,2025-01-08 01:00:00,3.4648
1736301600,2025-01-08 02:00:00,3.387
1736305200,2025-01-08 03:00:00,3.4121
1736308800,2025-01-08 04:00:00,3.362
1736312400,2025-01-08 05:00:00,3.3475
1736316000,2025-01-08 06:00:00,3.3494
1736319600,2025-01-08 07:00:00,3.3379
1736323200,2025-01-08 08:00:00,3.297
1736326800,2025-01-08 09:00:00,3.312
1736330400,2025-01-08 10:00:00,3.319
1736334000,2025-01-08 11:00:00,3.3291
1736337600,2025-01-08 12:00:00,3.308
1736341200,2025-01-08 13:00:00,3.2671
1736344800,2025-01-08 14:00:00,3.2622
1736348400,2025-01-08 15:00:00,3.1408
1736352000,2025-01-08 16:00:00,3.2267
1736355600,2025-01-08 17:00:00,3.3738
1736359200,2025-01-08 18:00:00,3.4181
1736362800,2025-01-08 19:00:00,3.36
1736366400,2025-01-08 20:00:00,3.3608
1736370000,2025-01-08 21:00:00,3.349
1736373600,2025-01-08 22:00:00,3.3015
1736377200,2025-01-08 23:00:00,3.2924
1736380800,2025-01-09 00:00:00,3.3023
1736384400,2025-01-09 01:00:00,3.334
1736388000,2025-01-09 02:00:00,3.3288
1736391600,2025-01-09 03:00:00,3.3703
1736395200,2025-01-09 04:00:00,3.3446
1736398800,2025-01-09 05:00:00,3.3566
1736402400,2025-01-09 06:00:00,3.3947
1736406000,2025-01-09 07:00:00,3.3892
1736409600,2025-01-09 08:00:00,3.4753
1736413200,2025-01-09 09:00:00,3.476
1736416800,2025-01-09 10:00:00,3.4315
1736420400,2025-01-09 11:00:00,3.4402
1736424000,2025-01-09 12:00:00,3.4347
1736427600,2025-01-09 13:00:00,3.4175
1736431200,2025-01-09 14:00:00,3.4102
1736434800,2025-01-09 15:00:00,3.4967
1736438400,2025-01-09 16:00:00,3.4947
1736442000,2025-01-09 17:00:00,3.5058
1736445600,2025-01-09 18:00:00,3.4928
1736449200,2025-01-09 19:00:00,3.4491
1736452800,2025-01-09 20:00:00,3.4421
1736456400,2025-01-09 21:00:00,3.472
1736460000,2025-01-09 22:00:00,3.4215
1736463600,2025-01-09 23:00:00,3.4401
1736467200,2025-01-10 00:00:00,3.4271
1736470800,2025-01-10 01:00:00,3.353
1736474400,2025-01-10 02:00:00,3.3785
1736478000,2025-01-10 03:00:00,3.4049
1736481600,2025-01-10 04:00:00,3.4055
1736485200,2025-01-10 05:00:00,3.5052
1736488800,2025-01-10 06:00:00,3.5074
1736492400,2025-01-10 07:00:00,3.4931
1736496000,2025-01-10 08:00:00,3.4381
1736499600,2025-01-10 09:00:00,3.424
1736503200,2025-01-10 10:00:00,3.4251
1736506800,2025-01-10 11:00:00,3.4537
1736510400,2025-01-10 12:00:00,3.4486
1736514000,2025-01-10 13:00:00,3.4871
1736517600,2025-01-10 14:00:00,3.4603
1736521200,2025-01-10 15:00:00,3.4882
1736524800,2025-01-10 16:00:00,3.4841
1736528400,2025-01-10 17:00:00,3.4935
1736532000,2025-01-10 18:00:00,3.476
1736535600,2025-01-10 19:00:00,3.5157
1736539200,2025-01-10 20:00:00,3.4754
1736542800,2025-01-10 21:00:00,3.4723
1736546400,2025-01-10 22:00:00,3.4588
1736550000,2025-01-10 23:00:00,3.454
1736553600,2025-01-11 00:00:00,3.4338
1736557200,2025-01-11 01:00:00,3.4531
1736560800,2025-01-11 02:00:00,3.5524
1736564400,2025-01-11 03:00:00,3.5959
1736568000,2025-01-11 04:00:00,3.5838
1736571600,2025-01-11 05:00:00,3.5485
1736575200,2025-01-11 06:00:00,3.5854
1736578800,2025-01-11 07:00:00,3.5724
1736582400,2025-01-11 08:00:00,3.5763
1736586000,2025-01-11 09:00:00,3.5484
1736589600,2025-01-11 10:00:00,3.5421
1736593200,2025-01-11 11:00:00,3.5276
1736596800,2025-01-11 12:00:00,3.5244
1736600400,2025-01-11 13:00:00,3.4843
1736604000,2025-01-11 14:00:00,3.4798
1736607600,2025-01-11 15:00:00,3.4452
1736611200,2025-01-11 16:00:00,3.4542
1736614800,2025-01-11 17:00:00,3.4224
1736618400,2025-01-11 18:00:00,3.4326
1736622000,2025-01-11 19:00:00,3.4401
1736625600,2025-01-11 20:00:00,3.4795
1736629200,2025-01-11 21:00:00,3.537
1736632800,2025-01-11 22:00:00,3.5444
1736636400,2025-01-11 23:00:00,3.5496
1736640000,2025-01-12 00:00:00,3.5093
1736643600,2025-01-12 01:00:00,3.536
1736647200,2025-01-12 02:00:00,3.5312
1736650800,2025-01-12 03:00:00,3.561
1736654400,2025-01-12 04:00:00,3.5658
1736658000,2025-01-12 05:00:00,3.5842
1736661600,2025-01-12 06:00:00,3.5497
1736665200,2025-01-12 07:00:00,3.559
1736668800,2025-01-12 08:00:00,3.518
1736672400,2025-01-12 09:00:00,3.5097
1736676000,2025-01-12 10:00:00,3.5136
1736679600,2025-01-12 11:00:00,3.4597
1736683200,2025-01-12 12:00:00,3.4801
1736686800,2025-01-12 13:00:00,3.4713
1736690400,2025-01-12 14:00:00,3.4545
1736694000,2025-01-12 15:00:00,3.4531
1736697600,2025-01-12 16:00:00,3.4508
1736701200,2025-01-12 17:00:00,3.457
1736704800,2025-01-12 18:00:00,3.4581
