t,ts,value
1735689600,2025-01-01 00:00:00,2.5394
1735693200,2025-01-01 01:00:00,2.4865
1735696800,2025-01-01 02:00:00,2.5251
1735700400,2025-01-01 03:00:00,2.5161
1735704000,2025-01-01 04:00:00,2.5192
1735707600,2025-01-01 05:00:00,2.5067
1735711200,2025-01-01 06:00:00,2.487
1735714800,2025-01-01 07:00:00,2.445
1735718400,2025-01-01 08:00:00,2.4177
1735722000,2025-01-01 09:00:00,2.4282
1735725600,2025-01-01 10:00:00,2.4472
1735729200,2025-01-01 11:00:00,2.4476
1735732800,2025-01-01 12:00:00,2.4369
1735736400,2025-01-01 13:00:00,2.4831
1735740000,2025-01-01 14:00:00,2.6007
1735743600,2025-01-01 15:00:00,2.5743
1735747200,2025-01-01 16:00:00,2.5729
1735750800,2025-01-01 17:00:00,2.6216
1735754400,2025-01-01 18:00:00,2.6557
1735758000,2025-01-01 19:00:00,2.6632
1735761600,2025-01-01 20:00:00,2.6327
1735765200,2025-01-01 21:00:00,2.7394
1735768800,2025-01-01 22:00:00,2.7986
1735772400,2025-01-01 23:00:00,2.8175
1735776000,2025-01-02 00:00:00,2.8189
1735779600,2025-01-02 01:00:00,2.9142
1735783200,2025-01-02 02:00:00,2.8794
1735786800,2025-01-02 03:00:00,3.0507
1735790400,2025-01-02 04:00:00,3.0726
1735794000,2025-01-02 05:00:00,2.9902
1735797600,2025-01-02 06:00:00,3.0084
1735801200,2025-01-02 07:00:00,2.9386
1735804800,2025-01-02 08:00:00,2.9352
1735808400,2025-01-02 09:00:00,2.9083
1735812000,2025-01-02 10:00:00,2.6908
1735815600,2025-01-02 11:00:00,2.6828
1735819200,2025-01-02 12:00:00,2.5984
1735822800,2025-01-02 13:00:00,2.6036
1735826400,2025-01-02 14:00:00,2.6948
1735830000,2025-01-02 15:00:00,2.7929
1735833600,2025-01-02 16:00:00,2.7925
1735837200,2025-01-02 17:00:00,2.8579
1735840800,2025-01-02 18:00:00,2.8768
1735844400,2025-01-02 19:00:00,2.8782
1735848000,2025-01-02 20:00:00,2.9639
1735851600,2025-01-02 21:00:00,3.0851
1735855200,2025-01-02 22:00:00,3.0788
1735858800,2025-01-02 23:00:00,3.0425
1735862400,2025-01-03 00:00:00,3.0118
1735866000,2025-01-03 01:00:00,3.0011
1735869600,2025-01-03 02:00:00,3.0535
1735873200,2025-01-03 03:00:00,3.1177
1735876800,2025-01-03 04:00:00,3.0809
1735880400,2025-01-03 05:00:00,3.1345
1735884000,2025-01-03 06:00:00,3.1456
1735887600,2025-01-03 07:00:00,3.2738
1735891200,2025-01-03 08:00:00,3.3252
1735894800,2025-01-03 09:00:00,3.3168
1735898400,2025-01-03 10:00:00,3.2792
