t,ts,value
1735689600,2025-01-01 00:00:00,2.2922
1735693200,2025-01-01 01:00:00,2.2949
1735696800,2025-01-01 02:00:00,2.3174
1735700400,2025-01-01 03:00:00,2.3182
1735704000,2025-01-01 04:00:00,2.2666
1735707600,2025-01-01 05:00:00,2.2577
1735711200,2025-01-01 06:00:00,2.2901
1735714800,2025-01-01 07:00:00,2.2763
1735718400,2025-01-01 08:00:00,2.2902
1735722000,2025-01-01 09:00:00,2.3056
1735725600,2025-01-01 10:00:00,2.2969
1735729200,2025-01-01 11:00:00,2.2864
1735732800,2025-01-01 12:00:00,2.274
1735736400,2025-01-01 13:00:00,2.2845
1735740000,2025-01-01 14:00:00,2.2895
1735743600,2025-01-01 15:00:00,2.3062
1735747200,2025-01-01 16:00:00,2.2748
1735750800,2025-01-01 17:00:00,2.2809
1735754400,2025-01-01 18:00:00,2.3098
1735758000,2025-01-01 19:00:00,2.2972
1735761600,2025-01-01 20:00:00,2.3244
1735765200,2025-01-01 21:00:00,2.308
1735768800,2025-01-01 22:00:00,2.3127
1735772400,2025-01-01 23:00:00,2.3282
1735776000,2025-01-02 00:00:00,2.3822
1735779600,2025-01-02 01:00:00,2.3651
1735783200,2025-01-02 02:00:00,2.3757
1735786800,2025-01-02 03:00:00,2.4402
1735790400,2025-01-02 04:00:00,2.4277
1735794000,2025-01-02 05:00:00,2.4256
1735797600,2025-01-02 06:00:00,2.4114
1735801200,2025-01-02 07:00:00,2.4009
1735804800,2025-01-02 08:00:00,2.3964
1735808400,2025-01-02 09:00:00,2.3792
1735812000,2025-01-02 10:00:00,2.3641
1735815600,2025-01-02 11:00:00,2.3508
1735819200,2025-01-02 12:00:00,2.3392
1735822800,2025-01-02 13:00:00,2.3461
1735826400,2025-01-02 14:00:00,2.3867
1735830000,2025-01-02 15:00:00,2.4025
1735833600,2025-01-02 16:00:00,2.3821
1735837200,2025-01-02 17:00:00,2.4274
1735840800,2025-01-02 18:00:00,2.4354
1735844400,2025-01-02 19:00:00,2.4226
1735848000,2025-01-02 20:00:00,2.4039
1735851600,2025-01-02 21:00:00,2.4246
1735855200,2025-01-02 22:00:00,2.4399
1735858800,2025-01-02 23:00:00,2.4484
1735862400,2025-01-03 00:00:00,2.4506
1735866000,2025-01-03 01:00:00,2.4531
1735869600,2025-01-03 02:00:00,2.4627
1735873200,2025-01-03 03:00:00,2.4665
1735876800,2025-01-03 04:00:00,2.4861
1735880400,2025-01-03 05:00:00,2.4719
1735884000,2025-01-03 06:00:00,2.4764
1735887600,2025-01-03 07:00:00,2.4812
1735891200,2025-01-03 08:00:00,2.4773
1735894800,2025-01-03 09:00:00,2.4867
1735898400,2025-01-03 10:00:00,2.5068
1735902000,2025-01-03 11:00:00,2.4967
1735905600,2025-01-03 12:00:00,2.5327
1735909200,2025-01-03 13:00:00,2.5881
1735912800,2025-01-03 14:00:00,2.5623
1735916400,2025-01-03 15:00:00,2.5604
1735920000,2025-01-03 16:00:00,2.5605
1735923600,2025-01-03 17:00:00,2.5831
1735927200,2025-01-03 18:00:00,2.595
1735930800,2025-01-03 19:00:00,2.606
1735934400,2025-01-03 20:00:00,2.6126
1735938000,2025-01-03 21:00:00,2.6087
1735941600,2025-01-03 22:00:00,2.6094
1735945200,2025-01-03 23:00:00,2.6112
1735948800,2025-01-04 00:00:00,2.6205
1735952400,2025-01-04 01:00:00,2.6938
1735956000,2025-01-04 02:00:00,2.7331
1735959600,2025-01-04 03:00:00,2.7427
1735963200,2025-01-04 04:00:00,2.7383
1735966800,2025-01-04 05:00:00,2.7388
1735970400,2025-01-04 06:00:00,2.7237
1735974000,2025-01-04 07:00:00,2.7039
1735977600,2025-01-04 08:00:00,2.6542
1735981200,2025-01-04 09:00:00,2.6637
1735984800,2025-01-04 10:00:00,2.7041
1735988400,2025-01-04 11:00:00,2.6801
1735992000,2025-01-04 12:00:00,2.683
1735995600,2025-01-04 13:00:00,2.6566
1735999200,2025-01-04 14:00:00,2.6358
1736002800,2025-01-04 15:00:00,2.6627
1736006400,2025-01-04 16:00:00,2.6993
1736010000,2025-01-04 17:00:00,2.7127
1736013600,2025-01-04 18:00:00,2.7193
1736017200,2025-01-04 19:00:00,2.7163
1736020800,2025-01-04 20:00:00,2.7051
1736024400,2025-01-04 21:00:00,2.7117
1736028000,2025-01-04 22:00:00,2.7139
1736031600,2025-01-04 23:00:00,2.7204
1736035200,2025-01-05 00:00:00,2.7106
1736038800,2025-01-05 01:00:00,2.7029
1736042400,2025-01-05 02:00:00,2.7118
