t,ts,value
1735689600,2025-01-01 00:00:00,1.2653
1735693200,2025-01-01 01:00:00,1.2694
1735696800,2025-01-01 02:00:00,1.2549
1735700400,2025-01-01 03:00:00,1.257
1735704000,2025-01-01 04:00:00,1.2708
1735707600,2025-01-01 05:00:00,1.266
1735711200,2025-01-01 06:00:00,1.2601
1735714800,2025-01-01 07:00:00,1.2614
1735718400,2025-01-01 08:00:00,1.2677
1735722000,2025-01-01 09:00:00,1.2762
1735725600,2025-01-01 10:00:00,1.268
1735729200,2025-01-01 11:00:00,1.2733
1735732800,2025-01-01 12:00:00,1.273
1735736400,2025-01-01 13:00:00,1.279
1735740000,2025-01-01 14:00:00,1.2842
1735743600,2025-01-01 15:00:00,1.2866
1735747200,2025-01-01 16:00:00,1.3043
1735750800,2025-01-01 17:00:00,1.3026
1735754400,2025-01-01 18:00:00,1.3227
1735758000,2025-01-01 19:00:00,1.3169
1735761600,2025-01-01 20:00:00,1.3221
1735765200,2025-01-01 21:00:00,1.3173
1735768800,2025-01-01 22:00:00,1.3233
1735772400,2025-01-01 23:00:00,1.3289
1735776000,2025-01-02 00:00:00,1.3303
1735779600,2025-01-02 01:00:00,1.3233
1735783200,2025-01-02 02:00:00,1.3202
1735786800,2025-01-02 03:00:00,1.3636
1735790400,2025-01-02 04:00:00,1.3737
1735794000,2025-01-02 05:00:00,1.3723
1735797600,2025-01-02 06:00:00,1.3759
1735801200,2025-01-02 07:00:00,1.3662
1735804800,2025-01-02 08:00:00,1.3615
1735808400,2025-01-02 09:00:00,1.3563
1735812000,2025-01-02 10:00:00,1.3231
1735815600,2025-01-02 11:00:00,1.3132
1735819200,2025-01-02 12:00:00,1.3248
1735822800,2025-01-02 13:00:00,1.3466
1735826400,2025-01-02 14:00:00,1.3694
1735830000,2025-01-02 15:00:00,1.3679
1735833600,2025-01-02 16:00:00,1.3677
1735837200,2025-01-02 17:00:00,1.3642
1735840800,2025-01-02 18:00:00,1.3637
1735844400,2025-01-02 19:00:00,1.3613
1735848000,2025-01-02 20:00:00,1.3666
1735851600,2025-01-02 21:00:00,1.364
1735855200,2025-01-02 22:00:00,1.3613
1735858800,2025-01-02 23:00:00,1.3561
1735862400,2025-01-03 00:00:00,1.35
1735866000,2025-01-03 01:00:00,1.372
1735869600,2025-01-03 02:00:00,1.372
1735873200,2025-01-03 03:00:00,1.3647
1735876800,2025-01-03 04:00:00,1.3453
1735880400,2025-01-03 05:00:00,1.3346
1735884000,2025-01-03 06:00:00,1.3336
1735887600,2025-01-03 07:00:00,1.3379
1735891200,2025-01-03 08:00:00,1.3439
1735894800,2025-01-03 09:00:00,1.3495
1735898400,2025-01-03 10:00:00,1.342
1735902000,2025-01-03 11:00:00,1.342
1735905600,2025-01-03 12:00:00,1.3444
1735909200,2025-01-03 13:00:00,1.3564
1735912800,2025-01-03 14:00:00,1.3687
1735916400,2025-01-03 15:00:00,1.514
1735920000,2025-01-03 16:00:00,1.507
1735923600,2025-01-03 17:00:00,1.5243
1735927200,2025-01-03 18:00:00,1.522
1735930800,2025-01-03 19:00:00,1.414
1735934400,2025-01-03 20:00:00,1.4118
1735938000,2025-01-03 21:00:00,1.4746
1735941600,2025-01-03 22:00:00,1.4396
1735945200,2025-01-03 23:00:00,1.4007
1735948800,2025-01-04 00:00:00,1.4706
1735952400,2025-01-04 01:00:00,1.4841
1735956000,2025-01-04 02:00:00,1.5948
1735959600,2025-01-04 03:00:00,1.5951
1735963200,2025-01-04 04:00:00,1.598
1735966800,2025-01-04 05:00:00,1.5834
1735970400,2025-01-04 06:00:00,1.5719
1735974000,2025-01-04 07:00:00,1.4809
1735977600,2025-01-04 08:00:00,1.4251
1735981200,2025-01-04 09:00:00,1.397
1735984800,2025-01-04 10:00:00,1.3608
1735988400,2025-01-04 11:00:00,1.3503
1735992000,2025-01-04 12:00:00,1.3545
1735995600,2025-01-04 13:00:00,1.4189
1735999200,2025-01-04 14:00:00,1.368
1736002800,2025-01-04 15:00:00,1.4536
1736006400,2025-01-04 16:00:00,1.5066
1736010000,2025-01-04 17:00:00,1.5292
1736013600,2025-01-04 18:00:00,1.5348
1736017200,2025-01-04 19:00:00,1.5659
1736020800,2025-01-04 20:00:00,1.5612
1736024400,2025-01-04 21:00:00,1.5651
1736028000,2025-01-04 22:00:00,1.5388
1736031600,2025-01-04 23:00:00,1.5329
1736035200,2025-01-05 00:00:00,1.5277
1736038800,2025-01-05 01:00:00,1.545
1736042400,2025-01-05 02:00:00,1.6268
1736046000,2025-01-05 03:00:00,1.6284
1736049600,2025-01-05 04:00:00,1.6368
1736053200,2025-01-05 05:00:00,1.6394
1736056800,2025-01-05 06:00:00,1.6496
1736060400,2025-01-05 07:00:00,1.6512
1736064000,2025-01-05 08:00:00,1.6823
1736067600,2025-01-05 09:00:00,1.6938
1736071200,2025-01-05 10:00:00,1.7118
1736074800,2025-01-05 11:00:00,1.7097
1736078400,2025-01-05 12:00:00,1.7306
1736082000,2025-01-05 13:00:00,1.7375
1736085600,2025-01-05 14:00:00,1.7452
1736089200,2025-01-05 15:00:00,1.7443
1736092800,2025-01-05 16:00:00,1.7332
1736096400,2025-01-05 17:00:00,1.7346
1736100000,2025-01-05 18:00:00,1.7463
1736103600,2025-01-05 19:00:00,1.7568
1736107200,2025-01-05 20:00:00,1.7601
1736110800,2025-01-05 21:00:00,1.7688
1736114400,2025-01-05 22:00:00,1.765
1736118000,2025-01-05 23:00:00,1.7692
1736121600,2025-01-06 00:00:00,1.7637
1736125200,2025-01-06 01:00:00,1.7773
1736128800,2025-01-06 02:00:00,1.7456
1736132400,2025-01-06 03:00:00,1.7494
1736136000,2025-01-06 04:00:00,1.7473
1736139600,2025-01-06 05:00:00,1.7428
1736143200,2025-01-06 06:00:00,1.7351
1736146800,2025-01-06 07:00:00,1.7295
1736150400,2025-01-06 08:00:00,1.7354
1736154000,2025-01-06 09:00:00,1.7581
1736157600,2025-01-06 10:00:00,1.7662
1736161200,2025-01-06 11:00:00,1.761
1736164800,2025-01-06 12:00:00,1.7561
1736168400,2025-01-06 13:00:00,1.7575
1736172000,2025-01-06 14:00:00,1.7789
1736175600,2025-01-06 15:00:00,1.7716
1736179200,2025-01-06 16:00:00,1.7728
1736182800,2025-01-06 17:00:00,1.7554
1736186400,2025-01-06 18:00:00,1.7625
1736190000,2025-01-06 19:00:00,1.7701
1736193600,2025-01-06 20:00:00,1.7485
1736197200,2025-01-06 21:00:00,1.7411
1736200800,2025-01-06 22:00:00,1.745
1736204400,2025-01-06 23:00:00,1.7438
1736208000,2025-01-07 00:00:00,1.7364
1736211600,2025-01-07 01:00:00,1.7366
1736215200,2025-01-07 02:00:00,1.7313
1736218800,2025-01-07 03:00:00,1.6765
1736222400,2025-01-07 04:00:00,1.6605
1736226000,2025-01-07 05:00:00,1.668
1736229600,2025-01-07 06:00:00,1.6677
1736233200,2025-01-07 07:00:00,1.6584
1736236800,2025-01-07 08:00:00,1.6722
1736240400,2025-01-07 09:00:00,1.6524
1736244000,2025-01-07 10:00:00,1.6575
1736247600,2025-01-07 11:00:00,1.6755
1736251200,2025-01-07 12:00:00,1.6729
1736254800,2025-01-07 13:00:00,1.672
1736258400,2025-01-07 14:00:00,1.7033
1736262000,2025-01-07 15:00:00,1.8284
1736265600,2025-01-07 16:00:00,1.7459
1736269200,2025-01-07 17:00:00,1.7436
1736272800,2025-01-07 18:00:00,1.7456
1736276400,2025-01-07 19:00:00,1.7285
1736280000,2025-01-07 20:00:00,1.6369
1736283600,2025-01-07 21:00:00,1.6229
1736287200,2025-01-07 22:00:00,1.6444
1736290800,2025-01-07 23:00:00,1.662
1736294400,2025-01-08 00:00:00,1.6472
1736298000,2025-01-08 01:00:00,1.6225
1736301600,2025-01-08 02:00:00,1.6077
1736305200,2025-01-08 03:00:00,1.5901
1736308800,2025-01-08 04:00:00,1.6058
1736312400,2025-01-08 05:00:00,1.597
1736316000,2025-01-08 06:00:00,1.5661
1736319600,2025-01-08 07:00:00,1.5981
1736323200,2025-01-08 08:00:00,1.5932
1736326800,2025-01-08 09:00:00,1.5484
1736330400,2025-01-08 10:00:00,1.5553
1736334000,2025-01-08 11:00:00,1.5609
1736337600,2025-01-08 12:00:00,1.5629
1736341200,2025-01-08 13:00:00,1.5512
1736344800,2025-01-08 14:00:00,1.5567
