t,ts,value
1735689600,2025-01-01 00:00:00,4.0815
1735693200,2025-01-01 01:00:00,4.088
1735696800,2025-01-01 02:00:00,4.1111
1735700400,2025-01-01 03:00:00,4.1375
1735704000,2025-01-01 04:00:00,4.1183
1735707600,2025-01-01 05:00:00,4.1345
1735711200,2025-01-01 06:00:00,4.1553
1735714800,2025-01-01 07:00:00,4.1497
1735718400,2025-01-01 08:00:00,4.1773
1735722000,2025-01-01 09:00:00,4.2916
1735725600,2025-01-01 10:00:00,4.1967
1735729200,2025-01-01 11:00:00,4.2096
1735732800,2025-01-01 12:00:00,4.2176
1735736400,2025-01-01 13:00:00,4.3167
1735740000,2025-01-01 14:00:00,4.353
1735743600,2025-01-01 15:00:00,4.3155
1735747200,2025-01-01 16:00:00,4.2647
1735750800,2025-01-01 17:00:00,4.2427
1735754400,2025-01-01 18:00:00,4.0283
1735758000,2025-01-01 19:00:00,3.9739
1735761600,2025-01-01 20:00:00,3.8627
1735765200,2025-01-01 21:00:00,3.8265
1735768800,2025-01-01 22:00:00,3.8413
1735772400,2025-01-01 23:00:00,3.8131
1735776000,2025-01-02 00:00:00,3.7555
1735779600,2025-01-02 01:00:00,3.6047
1735783200,2025-01-02 02:00:00,3.2019
1735786800,2025-01-02 03:00:00,3.3883
1735790400,2025-01-02 04:00:00,3.4426
1735794000,2025-01-02 05:00:00,3.5677
1735797600,2025-01-02 06:00:00,3.5997
1735801200,2025-01-02 07:00:00,3.6127
1735804800,2025-01-02 08:00:00,3.5212
1735808400,2025-01-02 09:00:00,3.5216
1735812000,2025-01-02 10:00:00,3.6244
1735815600,2025-01-02 11:00:00,3.8587
1735819200,2025-01-02 12:00:00,3.9579
1735822800,2025-01-02 13:00:00,3.981
1735826400,2025-01-02 14:00:00,3.9597
1735830000,2025-01-02 15:00:00,4.1554
1735833600,2025-01-02 16:00:00,4.1454
1735837200,2025-01-02 17:00:00,4.1427
1735840800,2025-01-02 18:00:00,4.269
1735844400,2025-01-02 19:00:00,4.2843
1735848000,2025-01-02 20:00:00,4.3431
1735851600,2025-01-02 21:00:00,4.3556
1735855200,2025-01-02 22:00:00,4.2787
1735858800,2025-01-02 23:00:00,4.191
1735862400,2025-01-03 00:00:00,4.1652
1735866000,2025-01-03 01:00:00,4.2423
1735869600,2025-01-03 02:00:00,3.7328
1735873200,2025-01-03 03:00:00,3.7622
1735876800,2025-01-03 04:00:00,3.7507
1735880400,2025-01-03 05:00:00,3.7249
1735884000,2025-01-03 06:00:00,3.7166
1735887600,2025-01-03 07:00:00,3.6793
1735891200,2025-01-03 08:00:00,3.7304
1735894800,2025-01-03 09:00:00,3.7157
1735898400,2025-01-03 10:00:00,3.5738
1735902000,2025-01-03 11:00:00,3.5103
1735905600,2025-01-03 12:00:00,3.7226
1735909200,2025-01-03 13:00:00,3.8085
1735912800,2025-01-03 14:00:00,3.8362
1735916400,2025-01-03 15:00:00,3.8973
1735920000,2025-01-03 16:00:00,4.1696
1735923600,2025-01-03 17:00:00,4.2323
1735927200,2025-01-03 18:00:00,4.2581
1735930800,2025-01-03 19:00:00,4.2948
1735934400,2025-01-03 20:00:00,4.3485
1735938000,2025-01-03 21:00:00,4.3688
1735941600,2025-01-03 22:00:00,4.3958
1735945200,2025-01-03 23:00:00,4.485
1735948800,2025-01-04 00:00:00,4.6417
1735952400,2025-01-04 01:00:00,4.7045
1735956000,2025-01-04 02:00:00,5.5336
1735959600,2025-01-04 03:00:00,5.5426
1735963200,2025-01-04 04:00:00,5.456
1735966800,2025-01-04 05:00:00,5.5007
1735970400,2025-01-04 06:00:00,5.4528
1735974000,2025-01-04 07:00:00,5.1778
1735977600,2025-01-04 08:00:00,5.2378
1735981200,2025-01-04 09:00:00,5.3038
1735984800,2025-01-04 10:00:00,5.2511
1735988400,2025-01-04 11:00:00,5.1446
1735992000,2025-01-04 12:00:00,4.5149
1735995600,2025-01-04 13:00:00,4.4636
1735999200,2025-01-04 14:00:00,4.4815
1736002800,2025-01-04 15:00:00,4.557
1736006400,2025-01-04 16:00:00,4.4941
1736010000,2025-01-04 17:00:00,4.5357
1736013600,2025-01-04 18:00:00,4.3841
1736017200,2025-01-04 19:00:00,4.371
1736020800,2025-01-04 20:00:00,4.3252
1736024400,2025-01-04 21:00:00,4.3521
1736028000,2025-01-04 22:00:00,4.4577
1736031600,2025-01-04 23:00:00,4.5159
1736035200,2025-01-05 00:00:00,4.5839
1736038800,2025-01-05 01:00:00,4.7841
1736042400,2025-01-05 02:00:00,4.3956
1736046000,2025-01-05 03:00:00,4.4156
1736049600,2025-01-05 04:00:00,4.4154
1736053200,2025-01-05 05:00:00,4.4247
1736056800,2025-01-05 06:00:00,4.3446
1736060400,2025-01-05 07:00:00,4.3322
1736064000,2025-01-05 08:00:00,4.3891
1736067600,2025-01-05 09:00:00,4.457
1736071200,2025-01-05 10:00:00,4.5897
1736074800,2025-01-05 11:00:00,4.6111
1736078400,2025-01-05 12:00:00,4.6135
1736082000,2025-01-05 13:00:00,4.6486
1736085600,2025-01-05 14:00:00,4.6275
1736089200,2025-01-05 15:00:00,4.6189
1736092800,2025-01-05 16:00:00,4.5736
1736096400,2025-01-05 17:00:00,4.5462
1736100000,2025-01-05 18:00:00,4.6003
1736103600,2025-01-05 19:00:00,4.619
1736107200,2025-01-05 20:00:00,4.6081
1736110800,2025-01-05 21:00:00,4.5809
1736114400,2025-01-05 22:00:00,4.5019
1736118000,2025-01-05 23:00:00,4.4358
1736121600,2025-01-06 00:00:00,4.4631
1736125200,2025-01-06 01:00:00,4.5006
1736128800,2025-01-06 02:00:00,4.3956
1736132400,2025-01-06 03:00:00,4.4265
1736136000,2025-01-06 04:00:00,4.4235
1736139600,2025-01-06 05:00:00,4.2943
1736143200,2025-01-06 06:00:00,4.2664
