t,ts,value
1735689600,2025-01-01 00:00:00,1.3307
1735693200,2025-01-01 01:00:00,1.2878
1735696800,2025-01-01 02:00:00,1.3464
1735700400,2025-01-01 03:00:00,1.3324
1735704000,2025-01-01 04:00:00,1.3156
1735707600,2025-01-01 05:00:00,1.2973
1735711200,2025-01-01 06:00:00,1.3012
1735714800,2025-01-01 07:00:00,1.3019
1735718400,2025-01-01 08:00:00,1.298
1735722000,2025-01-01 09:00:00,1.2929
1735725600,2025-01-01 10:00:00,1.2937
1735729200,2025-01-01 11:00:00,1.2689
1735732800,2025-01-01 12:00:00,1.2521
1735736400,2025-01-01 13:00:00,1.2428
1735740000,2025-01-01 14:00:00,1.2624
1735743600,2025-01-01 15:00:00,1.2672
1735747200,2025-01-01 16:00:00,1.2608
1735750800,2025-01-01 17:00:00,1.2526
1735754400,2025-01-01 18:00:00,1.2422
1735758000,2025-01-01 19:00:00,1.2467
1735761600,2025-01-01 20:00:00,1.2259
1735765200,2025-01-01 21:00:00,1.2319
1735768800,2025-01-01 22:00:00,1.2387
1735772400,2025-01-01 23:00:00,1.2131
1735776000,2025-01-02 00:00:00,1.2049
1735779600,2025-01-02 01:00:00,1.2381
1735783200,2025-01-02 02:00:00,1.2441
1735786800,2025-01-02 03:00:00,1.2882
1735790400,2025-01-02 04:00:00,1.2785
1735794000,2025-01-02 05:00:00,1.2628
1735797600,2025-01-02 06:00:00,1.2391
1735801200,2025-01-02 07:00:00,1.2518
1735804800,2025-01-02 08:00:00,1.2553
1735808400,2025-01-02 09:00:00,1.2677
1735812000,2025-01-02 10:00:00,1.3224
1735815600,2025-01-02 11:00:00,1.2398
1735819200,2025-01-02 12:00:00,1.2455
1735822800,2025-01-02 13:00:00,1.2512
1735826400,2025-01-02 14:00:00,1.2325
1735830000,2025-01-02 15:00:00,1.2687
1735833600,2025-01-02 16:00:00,1.322
1735837200,2025-01-02 17:00:00,1.3128
1735840800,2025-01-02 18:00:00,1.3583
1735844400,2025-01-02 19:00:00,1.3843
1735848000,2025-01-02 20:00:00,1.371
1735851600,2025-01-02 21:00:00,1.3546
1735855200,2025-01-02 22:00:00,1.3671
1735858800,2025-01-02 23:00:00,1.3804
1735862400,2025-01-03 00:00:00,1.377
1735866000,2025-01-03 01:00:00,1.3715
1735869600,2025-01-03 02:00:00,1.3554
1735873200,2025-01-03 03:00:00,1.3607
1735876800,2025-01-03 04:00:00,1.3746
1735880400,2025-01-03 05:00:00,1.4113
1735884000,2025-01-03 06:00:00,1.4413
1735887600,2025-01-03 07:00:00,1.4593
1735891200,2025-01-03 08:00:00,1.4637
1735894800,2025-01-03 09:00:00,1.4365
1735898400,2025-01-03 10:00:00,1.4294
1735902000,2025-01-03 11:00:00,1.4103
1735905600,2025-01-03 12:00:00,1.4015
1735909200,2025-01-03 13:00:00,1.395
1735912800,2025-01-03 14:00:00,1.3952
1735916400,2025-01-03 15:00:00,1.3833
1735920000,2025-01-03 16:00:00,1.34
1735923600,2025-01-03 17:00:00,1.3386
1735927200,2025-01-03 18:00:00,1.3503
1735930800,2025-01-03 19:00:00,1.3737
1735934400,2025-01-03 20:00:00,1.3939
1735938000,2025-01-03 21:00:00,1.4073
1735941600,2025-01-03 22:00:00,1.4041
1735945200,2025-01-03 23:00:00,1.4057
1735948800,2025-01-04 00:00:00,1.4157
1735952400,2025-01-04 01:00:00,1.4307
1735956000,2025-01-04 02:00:00,1.537
1735959600,2025-01-04 03:00:00,1.5405
1735963200,2025-01-04 04:00:00,1.5388
1735966800,2025-01-04 05:00:00,1.5463
1735970400,2025-01-04 06:00:00,1.5902
1735974000,2025-01-04 07:00:00,1.575
1735977600,2025-01-04 08:00:00,1.564
1735981200,2025-01-04 09:00:00,1.563
1735984800,2025-01-04 10:00:00,1.5667
1735988400,2025-01-04 11:00:00,1.57
1735992000,2025-01-04 12:00:00,1.5461
1735995600,2025-01-04 13:00:00,1.5464
1735999200,2025-01-04 14:00:00,1.5534
1736002800,2025-01-04 15:00:00,1.5591
1736006400,2025-01-04 16:00:00,1.5616
1736010000,2025-01-04 17:00:00,1.547
1736013600,2025-01-04 18:00:00,1.5676
1736017200,2025-01-04 19:00:00,1.552
1736020800,2025-01-04 20:00:00,1.5598
1736024400,2025-01-04 21:00:00,1.5575
1736028000,2025-01-04 22:00:00,1.5537
1736031600,2025-01-04 23:00:00,1.5356
1736035200,2025-01-05 00:00:00,1.5134
1736038800,2025-01-05 01:00:00,1.5215
1736042400,2025-01-05 02:00:00,1.5287
1736046000,2025-01-05 03:00:00,1.5224
1736049600,2025-01-05 04:00:00,1.482
1736053200,2025-01-05 05:00:00,1.4696
1736056800,2025-01-05 06:00:00,1.4602
1736060400,2025-01-05 07:00:00,1.4509
1736064000,2025-01-05 08:00:00,1.4535
1736067600,2025-01-05 09:00:00,1.4541
1736071200,2025-01-05 10:00:00,1.4599
1736074800,2025-01-05 11:00:00,1.4444
1736078400,2025-01-05 12:00:00,1.4748
1736082000,2025-01-05 13:00:00,1.4454
1736085600,2025-01-05 14:00:00,1.5117
1736089200,2025-01-05 15:00:00,1.4833
1736092800,2025-01-05 16:00:00,1.4643
1736096400,2025-01-05 17:00:00,1.478
1736100000,2025-01-05 18:00:00,1.4822
1736103600,2025-01-05 19:00:00,1.4909
1736107200,2025-01-05 20:00:00,1.489
1736110800,2025-01-05 21:00:00,1.4821
1736114400,2025-01-05 22:00:00,1.4783
1736118000,2025-01-05 23:00:00,1.4718
1736121600,2025-01-06 00:00:00,1.4606
1736125200,2025-01-06 01:00:00,1.4949
1736128800,2025-01-06 02:00:00,1.4436
1736132400,2025-01-06 03:00:00,1.4318
1736136000,2025-01-06 04:00:00,1.4
1736139600,2025-01-06 05:00:00,1.4023
1736143200,2025-01-06 06:00:00,1.4162
1736146800,2025-01-06 07:00:00,1.4021
1736150400,2025-01-06 08:00:00,1.4134
1736154000,2025-01-06 09:00:00,1.4128
1736157600,2025-01-06 10:00:00,1.4178
1736161200,2025-01-06 11:00:00,1.4123
1736164800,2025-01-06 12:00:00,1.4035
1736168400,2025-01-06 13:00:00,1.4222
1736172000,2025-01-06 14:00:00,1.4487
1736175600,2025-01-06 15:00:00,1.474
1736179200,2025-01-06 16:00:00,1.5052
1736182800,2025-01-06 17:00:00,1.4853
1736186400,2025-01-06 18:00:00,1.5295
1736190000,2025-01-06 19:00:00,1.5127
1736193600,2025-01-06 20:00:00,1.5366
1736197200,2025-01-06 21:00:00,1.5691
1736200800,2025-01-06 22:00:00,1.5929
1736204400,2025-01-06 23:00:00,1.6336
1736208000,2025-01-07 00:00:00,1.6005
1736211600,2025-01-07 01:00:00,1.6021
1736215200,2025-01-07 02:00:00,1.5975
1736218800,2025-01-07 03:00:00,1.6045
1736222400,2025-01-07 04:00:00,1.6098
1736226000,2025-01-07 05:00:00,1.6174
1736229600,2025-01-07 06:00:00,1.6077
1736233200,2025-01-07 07:00:00,1.5971
1736236800,2025-01-07 08:00:00,1.6135
1736240400,2025-01-07 09:00:00,1.6106
1736244000,2025-01-07 10:00:00,1.618
1736247600,2025-01-07 11:00:00,1.67
1736251200,2025-01-07 12:00:00,1.6995
1736254800,2025-01-07 13:00:00,1.6837
1736258400,2025-01-07 14:00:00,1.6648
1736262000,2025-01-07 15:00:00,1.6656
1736265600,2025-01-07 16:00:00,1.6529
1736269200,2025-01-07 17:00:00,1.6824
1736272800,2025-01-07 18:00:00,1.7152
1736276400,2025-01-07 19:00:00,1.787
