t,ts,value
1735689600,2025-01-01 00:00:00,2.9349
1735693200,2025-01-01 01:00:00,2.9482
1735696800,2025-01-01 02:00:00,2.9706
1735700400,2025-01-01 03:00:00,2.9721
1735704000,2025-01-01 04:00:00,2.9418
1735707600,2025-01-01 05:00:00,2.9005
1735711200,2025-01-01 06:00:00,2.8789
1735714800,2025-01-01 07:00:00,2.8532
1735718400,2025-01-01 08:00:00,2.8884
1735722000,2025-01-01 09:00:00,2.854
1735725600,2025-01-01 10:00:00,2.8144
1735729200,2025-01-01 11:00:00,2.7656
1735732800,2025-01-01 12:00:00,2.7376
1735736400,2025-01-01 13:00:00,2.7062
1735740000,2025-01-01 14:00:00,2.6779
1735743600,2025-01-01 15:00:00,2.6655
1735747200,2025-01-01 16:00:00,2.64
1735750800,2025-01-01 17:00:00,2.6255
1735754400,2025-01-01 18:00:00,2.6447
1735758000,2025-01-01 19:00:00,2.6798
1735761600,2025-01-01 20:00:00,2.6981
1735765200,2025-01-01 21:00:00,2.7309
1735768800,2025-01-01 22:00:00,2.7465
1735772400,2025-01-01 23:00:00,2.779
1735776000,2025-01-02 00:00:00,2.8008
1735779600,2025-01-02 01:00:00,2.776
1735783200,2025-01-02 02:00:00,2.7892
1735786800,2025-01-02 03:00:00,3.1005
1735790400,2025-01-02 04:00:00,3.1305
1735794000,2025-01-02 05:00:00,3.1907
1735797600,2025-01-02 06:00:00,3.2526
1735801200,2025-01-02 07:00:00,3.1472
1735804800,2025-01-02 08:00:00,3.1171
1735808400,2025-01-02 09:00:00,3.0653
1735812000,2025-01-02 10:00:00,3.0885
1735815600,2025-01-02 11:00:00,3.1019
1735819200,2025-01-02 12:00:00,3.2686
1735822800,2025-01-02 13:00:00,3.2371
1735826400,2025-01-02 14:00:00,3.3272
1735830000,2025-01-02 15:00:00,3.0131
1735833600,2025-01-02 16:00:00,3.0304
1735837200,2025-01-02 17:00:00,3.2176
1735840800,2025-01-02 18:00:00,3.2236
1735844400,2025-01-02 19:00:00,3.2484
1735848000,2025-01-02 20:00:00,3.23
1735851600,2025-01-02 21:00:00,3.2515
1735855200,2025-01-02 22:00:00,3.2955
1735858800,2025-01-02 23:00:00,3.219
1735862400,2025-01-03 00:00:00,3.1582
1735866000,2025-01-03 01:00:00,3.1789
1735869600,2025-01-03 02:00:00,3.4359
1735873200,2025-01-03 03:00:00,3.4552
1735876800,2025-01-03 04:00:00,3.4715
1735880400,2025-01-03 05:00:00,3.5005
1735884000,2025-01-03 06:00:00,3.5181
1735887600,2025-01-03 07:00:00,3.521
1735891200,2025-01-03 08:00:00,3.5463
1735894800,2025-01-03 09:00:00,3.5781
1735898400,2025-01-03 10:00:00,3.5856
1735902000,2025-01-03 11:00:00,3.5138
1735905600,2025-01-03 12:00:00,3.5208
1735909200,2025-01-03 13:00:00,3.4681
1735912800,2025-01-03 14:00:00,3.3501
1735916400,2025-01-03 15:00:00,3.2691
1735920000,2025-01-03 16:00:00,3.3391
1735923600,2025-01-03 17:00:00,3.2739
1735927200,2025-01-03 18:00:00,3.2776
1735930800,2025-01-03 19:00:00,3.3256
1735934400,2025-01-03 20:00:00,3.3548
1735938000,2025-01-03 21:00:00,3.3183
1735941600,2025-01-03 22:00:00,3.2954
1735945200,2025-01-03 23:00:00,3.3036
1735948800,2025-01-04 00:00:00,3.3907
1735952400,2025-01-04 01:00:00,3.4019
1735956000,2025-01-04 02:00:00,3.6452
1735959600,2025-01-04 03:00:00,3.6564
1735963200,2025-01-04 04:00:00,3.651
1735966800,2025-01-04 05:00:00,3.636
1735970400,2025-01-04 06:00:00,3.5943
1735974000,2025-01-04 07:00:00,3.5616
1735977600,2025-01-04 08:00:00,3.6135
1735981200,2025-01-04 09:00:00,3.432
1735984800,2025-01-04 10:00:00,3.4081
1735988400,2025-01-04 11:00:00,3.4224
1735992000,2025-01-04 12:00:00,3.4015
1735995600,2025-01-04 13:00:00,3.4129
1735999200,2025-01-04 14:00:00,3.4153
1736002800,2025-01-04 15:00:00,3.4426
1736006400,2025-01-04 16:00:00,3.5054
1736010000,2025-01-04 17:00:00,3.4842
1736013600,2025-01-04 18:00:00,3.5147
1736017200,2025-01-04 19:00:00,3.5356
1736020800,2025-01-04 20:00:00,3.5994
1736024400,2025-01-04 21:00:00,3.6184
1736028000,2025-01-04 22:00:00,3.6436
1736031600,2025-01-04 23:00:00,3.6192
1736035200,2025-01-05 00:00:00,3.6399
1736038800,2025-01-05 01:00:00,3.6147
1736042400,2025-01-05 02:00:00,3.4509
1736046000,2025-01-05 03:00:00,3.4524
1736049600,2025-01-05 04:00:00,3.4409
1736053200,2025-01-05 05:00:00,3.4586
1736056800,2025-01-05 06:00:00,3.4793
1736060400,2025-01-05 07:00:00,3.4667
1736064000,2025-01-05 08:00:00,3.39
1736067600,2025-01-05 09:00:00,3.3675
1736071200,2025-01-05 10:00:00,3.343
1736074800,2025-01-05 11:00:00,3.3144
1736078400,2025-01-05 12:00:00,3.3059
1736082000,2025-01-05 13:00:00,3.2503
1736085600,2025-01-05 14:00:00,3.2289
1736089200,2025-01-05 15:00:00,3.2433
1736092800,2025-01-05 16:00:00,3.2494
1736096400,2025-01-05 17:00:00,3.2709
1736100000,2025-01-05 18:00:00,3.2632
1736103600,2025-01-05 19:00:00,3.2919
1736107200,2025-01-05 20:00:00,3.3103
1736110800,2025-01-05 21:00:00,3.3475
1736114400,2025-01-05 22:00:00,3.3272
1736118000,2025-01-05 23:00:00,3.3211
1736121600,2025-01-06 00:00:00,3.2975
1736125200,2025-01-06 01:00:00,3.3102
1736128800,2025-01-06 02:00:00,3.2596
1736132400,2025-01-06 03:00:00,3.2678
1736136000,2025-01-06 04:00:00,3.2849
1736139600,2025-01-06 05:00:00,3.2745
1736143200,2025-01-06 06:00:00,3.2718
1736146800,2025-01-06 07:00:00,3.2569
1736150400,2025-01-06 08:00:00,3.2475
1736154000,2025-01-06 09:00:00,3.2544
1736157600,2025-01-06 10:00:00,3.1545
1736161200,2025-01-06 11:00:00,3.1517
1736164800,2025-01-06 12:00:00,3.1637
1736168400,2025-01-06 13:00:00,3.2074
1736172000,2025-01-06 14:00:00,3.3284
1736175600,2025-01-06 15:00:00,3.2944
1736179200,2025-01-06 16:00:00,3.4923
1736182800,2025-01-06 17:00:00,3.4477
1736186400,2025-01-06 18:00:00,3.4414
1736190000,2025-01-06 19:00:00,3.4268
1736193600,2025-01-06 20:00:00,3.4502
1736197200,2025-01-06 21:00:00,3.4925
1736200800,2025-01-06 22:00:00,3.4953
1736204400,2025-01-06 23:00:00,3.4891
1736208000,2025-01-07 00:00:00,3.4781
1736211600,2025-01-07 01:00:00,3.4561
1736215200,2025-01-07 02:00:00,3.4537
1736218800,2025-01-07 03:00:00,3.4869
1736222400,2025-01-07 04:00:00,3.495
1736226000,2025-01-07 05:00:00,3.5071
1736229600,2025-01-07 06:00:00,3.486
1736233200,2025-01-07 07:00:00,3.518
1736236800,2025-01-07 08:00:00,3.5077
1736240400,2025-01-07 09:00:00,3.417
1736244000,2025-01-07 10:00:00,3.427
1736247600,2025-01-07 11:00:00,3.443
1736251200,2025-01-07 12:00:00,3.3988
1736254800,2025-01-07 13:00:00,3.3791
1736258400,2025-01-07 14:00:00,3.3653
1736262000,2025-01-07 15:00:00,3.5316
1736265600,2025-01-07 16:00:00,3.5706
1736269200,2025-01-07 17:00:00,3.6961
1736272800,2025-01-07 18:00:00,3.6052
1736276400,2025-01-07 19:00:00,3.5668
