t,ts,value
1735689600,2025-01-01 00:00:00,2.4874
1735693200,2025-01-01 01:00:00,2.4895
1735696800,2025-01-01 02:00:00,2.4834
1735700400,2025-01-01 03:00:00,2.493
1735704000,2025-01-01 04:00:00,2.4858
1735707600,2025-01-01 05:00:00,2.4847
1735711200,2025-01-01 06:00:00,2.4759
1735714800,2025-01-01 07:00:00,2.4629
1735718400,2025-01-01 08:00:00,2.4569
1735722000,2025-01-01 09:00:00,2.4232
1735725600,2025-01-01 10:00:00,2.4014
1735729200,2025-01-01 11:00:00,2.3688
1735732800,2025-01-01 12:00:00,2.3685
1735736400,2025-01-01 13:00:00,2.3333
1735740000,2025-01-01 14:00:00,2.3655
1735743600,2025-01-01 15:00:00,2.3669
1735747200,2025-01-01 16:00:00,2.3724
1735750800,2025-01-01 17:00:00,2.3551
1735754400,2025-01-01 18:00:00,2.3386
1735758000,2025-01-01 19:00:00,2.3438
1735761600,2025-01-01 20:00:00,2.343
1735765200,2025-01-01 21:00:00,2.3251
1735768800,2025-01-01 22:00:00,2.4223
1735772400,2025-01-01 23:00:00,2.3948
1735776000,2025-01-02 00:00:00,2.3693
1735779600,2025-01-02 01:00:00,2.3727
1735783200,2025-01-02 02:00:00,2.3624
1735786800,2025-01-02 03:00:00,2.4456
1735790400,2025-01-02 04:00:00,2.45
1735794000,2025-01-02 05:00:00,2.5031
1735797600,2025-01-02 06:00:00,2.5298
1735801200,2025-01-02 07:00:00,2.5014
1735804800,2025-01-02 08:00:00,2.4921
1735808400,2025-01-02 09:00:00,2.4768
1735812000,2025-01-02 10:00:00,2.4589
1735815600,2025-01-02 11:00:00,2.4736
1735819200,2025-01-02 12:00:00,2.4655
1735822800,2025-01-02 13:00:00,2.518
1735826400,2025-01-02 14:00:00,2.5735
1735830000,2025-01-02 15:00:00,2.5794
1735833600,2025-01-02 16:00:00,2.5632
1735837200,2025-01-02 17:00:00,2.5745
1735840800,2025-01-02 18:00:00,2.5732
1735844400,2025-01-02 19:00:00,2.5741
1735848000,2025-01-02 20:00:00,2.5721
1735851600,2025-01-02 21:00:00,2.5649
1735855200,2025-01-02 22:00:00,2.5537
1735858800,2025-01-02 23:00:00,2.541
1735862400,2025-01-03 00:00:00,2.551
1735866000,2025-01-03 01:00:00,2.5699
1735869600,2025-01-03 02:00:00,2.5474
1735873200,2025-01-03 03:00:00,2.5127
1735876800,2025-01-03 04:00:00,2.518
1735880400,2025-01-03 05:00:00,2.5346
1735884000,2025-01-03 06:00:00,2.5187
1735887600,2025-01-03 07:00:00,2.4843
1735891200,2025-01-03 08:00:00,2.4766
1735894800,2025-01-03 09:00:00,2.4427
1735898400,2025-01-03 10:00:00,2.4621
1735902000,2025-01-03 11:00:00,2.4481
1735905600,2025-01-03 12:00:00,2.4594
1735909200,2025-01-03 13:00:00,2.4717
1735912800,2025-01-03 14:00:00,2.4688
1735916400,2025-01-03 15:00:00,2.3541
1735920000,2025-01-03 16:00:00,2.4171
1735923600,2025-01-03 17:00:00,2.4111
1735927200,2025-01-03 18:00:00,2.4059
1735930800,2025-01-03 19:00:00,2.4354
1735934400,2025-01-03 20:00:00,2.4313
1735938000,2025-01-03 21:00:00,2.4373
1735941600,2025-01-03 22:00:00,2.441
1735945200,2025-01-03 23:00:00,2.461
1735948800,2025-01-04 00:00:00,2.5091
1735952400,2025-01-04 01:00:00,2.3656
1735956000,2025-01-04 02:00:00,2.5562
1735959600,2025-01-04 03:00:00,2.5261
1735963200,2025-01-04 04:00:00,2.5216
1735966800,2025-01-04 05:00:00,2.5227
1735970400,2025-01-04 06:00:00,2.5127
1735974000,2025-01-04 07:00:00,2.4885
1735977600,2025-01-04 08:00:00,2.5145
1735981200,2025-01-04 09:00:00,2.6332
1735984800,2025-01-04 10:00:00,2.6235
1735988400,2025-01-04 11:00:00,2.6042
1735992000,2025-01-04 12:00:00,2.6026
1735995600,2025-01-04 13:00:00,2.5657
1735999200,2025-01-04 14:00:00,2.5493
1736002800,2025-01-04 15:00:00,2.5887
1736006400,2025-01-04 16:00:00,2.5854
1736010000,2025-01-04 17:00:00,2.5721
1736013600,2025-01-04 18:00:00,2.5708
1736017200,2025-01-04 19:00:00,2.5596
1736020800,2025-01-04 20:00:00,2.5473
1736024400,2025-01-04 21:00:00,2.547
1736028000,2025-01-04 22:00:00,2.5666
1736031600,2025-01-04 23:00:00,2.5691
1736035200,2025-01-05 00:00:00,2.5579
1736038800,2025-01-05 01:00:00,2.5599
1736042400,2025-01-05 02:00:00,2.4148
1736046000,2025-01-05 03:00:00,2.4269
1736049600,2025-01-05 04:00:00,2.4121
1736053200,2025-01-05 05:00:00,2.4112
1736056800,2025-01-05 06:00:00,2.4115
1736060400,2025-01-05 07:00:00,2.4141
1736064000,2025-01-05 08:00:00,2.4129
1736067600,2025-01-05 09:00:00,2.4108
1736071200,2025-01-05 10:00:00,2.4591
1736074800,2025-01-05 11:00:00,2.4893
1736078400,2025-01-05 12:00:00,2.5482
1736082000,2025-01-05 13:00:00,2.5568
1736085600,2025-01-05 14:00:00,2.566
1736089200,2025-01-05 15:00:00,2.5429
1736092800,2025-01-05 16:00:00,2.5457
1736096400,2025-01-05 17:00:00,2.5692
1736100000,2025-01-05 18:00:00,2.5752
1736103600,2025-01-05 19:00:00,2.5722
1736107200,2025-01-05 20:00:00,2.5791
1736110800,2025-01-05 21:00:00,2.5642
