t,ts,value
1735689600,2025-01-01 00:00:00,1.3384
1735693200,2025-01-01 01:00:00,1.3415
1735696800,2025-01-01 02:00:00,1.3673
1735700400,2025-01-01 03:00:00,1.3423
1735704000,2025-01-01 04:00:00,1.3557
1735707600,2025-01-01 05:00:00,1.2478
1735711200,2025-01-01 06:00:00,1.2486
1735714800,2025-01-01 07:00:00,1.2535
1735718400,2025-01-01 08:00:00,1.2917
1735722000,2025-01-01 09:00:00,1.2804
1735725600,2025-01-01 10:00:00,1.2704
1735729200,2025-01-01 11:00:00,1.2727
1735732800,2025-01-01 12:00:00,1.1896
1735736400,2025-01-01 13:00:00,1.1452
1735740000,2025-01-01 14:00:00,1.1374
1735743600,2025-01-01 15:00:00,1.1091
1735747200,2025-01-01 16:00:00,1.0948
1735750800,2025-01-01 17:00:00,1.1134
1735754400,2025-01-01 18:00:00,1.084
1735758000,2025-01-01 19:00:00,1.0691
1735761600,2025-01-01 20:00:00,1.0703
1735765200,2025-01-01 21:00:00,1.0829
1735768800,2025-01-01 22:00:00,1.1075
1735772400,2025-01-01 23:00:00,1.1218
1735776000,2025-01-02 00:00:00,1.1256
1735779600,2025-01-02 01:00:00,1.1566
1735783200,2025-01-02 02:00:00,1.1332
1735786800,2025-01-02 03:00:00,1.1349
1735790400,2025-01-02 04:00:00,1.1513
1735794000,2025-01-02 05:00:00,1.1872
1735797600,2025-01-02 06:00:00,1.1941
1735801200,2025-01-02 07:00:00,1.1864
1735804800,2025-01-02 08:00:00,1.1539
1735808400,2025-01-02 09:00:00,1.1397
1735812000,2025-01-02 10:00:00,1.1616
1735815600,2025-01-02 11:00:00,1.1458
1735819200,2025-01-02 12:00:00,1.1507
1735822800,2025-01-02 13:00:00,1.1425
1735826400,2025-01-02 14:00:00,1.133
1735830000,2025-01-02 15:00:00,1.137
1735833600,2025-01-02 16:00:00,1.1315
1735837200,2025-01-02 17:00:00,1.1368
1735840800,2025-01-02 18:00:00,1.1389
1735844400,2025-01-02 19:00:00,1.1516
1735848000,2025-01-02 20:00:00,1.1648
1735851600,2025-01-02 21:00:00,1.1531
1735855200,2025-01-02 22:00:00,1.1386
1735858800,2025-01-02 23:00:00,1.1569
1735862400,2025-01-03 00:00:00,1.1694
1735866000,2025-01-03 01:00:00,1.1815
1735869600,2025-01-03 02:00:00,1.156
1735873200,2025-01-03 03:00:00,1.1586
1735876800,2025-01-03 04:00:00,1.153
