t,ts,value
1735689600,2025-01-01 00:00:00,2.0674
1735693200,2025-01-01 01:00:00,2.0562
1735696800,2025-01-01 02:00:00,2.0777
1735700400,2025-01-01 03:00:00,2.0772
1735704000,2025-01-01 04:00:00,2.074
1735707600,2025-01-01 05:00:00,2.0694
1735711200,2025-01-01 06:00:00,2.0523
1735714800,2025-01-01 07:00:00,2.0485
1735718400,2025-01-01 08:00:00,2.046
1735722000,2025-01-01 09:00:00,2.0432
1735725600,2025-01-01 10:00:00,2.0654
1735729200,2025-01-01 11:00:00,2.0781
1735732800,2025-01-01 12:00:00,2.094
1735736400,2025-01-01 13:00:00,2.0666
1735740000,2025-01-01 14:00:00,2.0673
1735743600,2025-01-01 15:00:00,2.0487
1735747200,2025-01-01 16:00:00,2.0551
1735750800,2025-01-01 17:00:00,2.0543
1735754400,2025-01-01 18:00:00,2.075
1735758000,2025-01-01 19:00:00,2.0735
1735761600,2025-01-01 20:00:00,2.0522
1735765200,2025-01-01 21:00:00,2.0595
1735768800,2025-01-01 22:00:00,2.0713
1735772400,2025-01-01 23:00:00,2.0837
1735776000,2025-01-02 00:00:00,2.0885
1735779600,2025-01-02 01:00:00,2.0939
1735783200,2025-01-02 02:00:00,2.0504
1735786800,2025-01-02 03:00:00,2.5912
1735790400,2025-01-02 04:00:00,2.5915
1735794000,2025-01-02 05:00:00,2.5978
1735797600,2025-01-02 06:00:00,2.6248
1735801200,2025-01-02 07:00:00,2.6351
1735804800,2025-01-02 08:00:00,2.6116
1735808400,2025-01-02 09:00:00,2.6532
1735812000,2025-01-02 10:00:00,2.669
1735815600,2025-01-02 11:00:00,2.6613
1735819200,2025-01-02 12:00:00,2.6363
1735822800,2025-01-02 13:00:00,2.6146
1735826400,2025-01-02 14:00:00,2.6636
1735830000,2025-01-02 15:00:00,2.6581
1735833600,2025-01-02 16:00:00,2.6935
1735837200,2025-01-02 17:00:00,2.7423
1735840800,2025-01-02 18:00:00,2.7686
1735844400,2025-01-02 19:00:00,2.7959
1735848000,2025-01-02 20:00:00,2.795
1735851600,2025-01-02 21:00:00,2.8293
1735855200,2025-01-02 22:00:00,2.8502
1735858800,2025-01-02 23:00:00,2.8636
1735862400,2025-01-03 00:00:00,2.8975
1735866000,2025-01-03 01:00:00,2.9177
1735869600,2025-01-03 02:00:00,2.3758
1735873200,2025-01-03 03:00:00,2.4013
1735876800,2025-01-03 04:00:00,2.3993
1735880400,2025-01-03 05:00:00,2.398
1735884000,2025-01-03 06:00:00,2.3912
1735887600,2025-01-03 07:00:00,2.395
1735891200,2025-01-03 08:00:00,2.4042
1735894800,2025-01-03 09:00:00,2.3846
1735898400,2025-01-03 10:00:00,2.4076
1735902000,2025-01-03 11:00:00,2.4025
1735905600,2025-01-03 12:00:00,2.3944
1735909200,2025-01-03 13:00:00,2.4034
1735912800,2025-01-03 14:00:00,2.4356
1735916400,2025-01-03 15:00:00,2.3975
1735920000,2025-01-03 16:00:00,2.3734
1735923600,2025-01-03 17:00:00,2.3821
1735927200,2025-01-03 18:00:00,2.38
1735930800,2025-01-03 19:00:00,2.3971
1735934400,2025-01-03 20:00:00,2.4184
1735938000,2025-01-03 21:00:00,2.4295
1735941600,2025-01-03 22:00:00,2.439
1735945200,2025-01-03 23:00:00,2.4241
1735948800,2025-01-04 00:00:00,2.4248
1735952400,2025-01-04 01:00:00,2.4111
1735956000,2025-01-04 02:00:00,2.7884
1735959600,2025-01-04 03:00:00,2.7944
1735963200,2025-01-04 04:00:00,2.7948
1735966800,2025-01-04 05:00:00,2.7858
1735970400,2025-01-04 06:00:00,2.7862
1735974000,2025-01-04 07:00:00,2.7418
1735977600,2025-01-04 08:00:00,2.7697
1735981200,2025-01-04 09:00:00,2.7844
